SDMT_name,,Latitude,Longitude,Location,Vsz,Vs30_measured,max_depth_Vs,matched_depth_Vs,matched_Vsz,max_depth_CPT, Vsz_Andrus 2007-P, Vsz_Andrus 2007-H,, Vsz_Robertson 2009, Vsz_McGann 2015,Vsz_McGann 2018,Geology
SCPT,148998,-37.68843212,176.2301483,,188.09,200,24,24,188.09,24,188.59,154.91,,142.4,137.1,272.31,Holocene
SCPT,148999,-37.68859547,176.2307373,,203.97,216.96,24,24,203.97,24,203.52,167.17,,169.21,141.99,278.03,Holocene
SCPT,156298,-37.77789573,175.3044093,,210.12,221.72,24.5,24,208.42,24,194.15,159.48,,171.11,131.68,269.85,Pleistocene
SCPT,140257,-37.80242117,175.31021,,266.14,283.42,24,24,266.14,24,217.59,178.74,,197.23,149.21,326,Pleistocene
SCPT,14548,-43.57030407,172.683223,,317.32,338.18,24,24,317.32,24,220.57,181.18,,197.76,146.23,311.67,Pleistocene
SCPT,14550,-43.57034426,172.6827806,,376.31,401.34,24,24,376.31,24,230.98,189.74,,215.48,153.93,333.39,Pleistocene
SCPT,14539,-43.57544842,172.6426925,,399.56,426.24,24,24,399.56,24,258.31,212.18,,225.71,172.56,349.4,Pleistocene
SCPT,14540,-43.57151323,172.7114139,,278.86,293.68,25,24,274.87,24,184.41,151.48,,160.43,127.79,281.3,Pleistocene
SCPT,126232,-37.67250688,176.1623993,,181.18,190.44,25,25,181.18,25,149.81,123.06,,125.83,106.39,239.39,Holocene
SCPT,165739,-36.59360553,174.690526,,185.41,191.83,26.53,26,184.57,26,174.93,143.69,,131.48,130.25,284.61,Holocene
SCPT,156296,-37.77776753,175.3040533,,208.73,217.06,26,26,208.73,26,186.49,153.18,,167.94,127.34,268.28,Pleistocene
SCPT,192473,-37.156097,174.8984551,,254.23,264.62,26,26,254.23,26,230.6,189.42,,217.08,155.79,344.31,Pleistocene
SCPT,148995,-37.68831586,176.2305795,,199.08,204.85,27,27,199.08,27,183.91,151.07,,142.39,135.21,270.86,Holocene
SCPT,205817,-37.695901,176.06498,,225.61,232.27,27.5,27,225.61,27,203.43,167.1,,187.2,143.99,325.17,Pleistocene
SCPT,192465,-37.10513702,174.9512441,,186.59,189.97,28,28,186.59,28,180.53,148.29,,149.08,133.98,307.68,Holocene
SCPT,192483,-37.12250197,174.9359692,,210.59,213.71,28.26,28,209.83,28,173.64,142.63,,140.07,129.11,297.47,Holocene
SCPT,192480,-37.12286896,174.9355342,,211.44,214.67,28.41,28,210.76,28,179.32,147.3,,147.52,132.19,306.7,Holocene
SCPT,182797,-43.6105224,172.709824,,141.06,141.54,29.5,29,140.35,29,133.02,109.27,,105.19,105.94,251.08,Holocene
SCPT,156301,-37.77876842,175.3044818,,217.03,219,29,29,217.03,29,199.21,163.64,,182.01,134.22,280.54,Pleistocene
SCPT,165738,-36.5920887,174.689431,,156.1,156.1,30,29,155.21,29,167.04,137.21,,117.08,125.31,278.37,Holocene
SCPT,36413,-43.50112416,172.6860185,,174.96,174.96,30.9,29,173.78,29,269.26,221.18,,256.43,183.66,356.99,Holocene
SCPT,196093,-45.03527605,168.7483671,,252.19,252.19,30,28,247.99,28,215.54,177.05,,201.43,154,339.05,Holocene
SCPT,205818,-37.695946,176.06506,,207.56,207.56,30.5,29,205.05,29,196.08,161.06,,175.36,141.88,319.16,Pleistocene
SCPT,192457,-37.10498597,174.9519332,,195.7,195.7,31,29,192.8,29,187.53,154.04,,189.46,139.21,319.16,Holocene
SCPT,192469,-37.15592,174.8977342,,225.27,225.27,33.5,29,222.45,29,203.44,167.11,,177.74,144.96,335.57,Pleistocene
SCPT,154771,-41.31496046,174.8183887,,223.46,223.46,35.45,29,222.44,29,225.47,185.21,,156.25,173.5,329.31,Holocene
SCPT,154775,-41.3261796,174.8089279,,234.69,234.69,36.92,29,234.69,29,221.98,182.34,,163.31,165.76,326.54,Holocene
SDMT_100703,100699,-37.68911203,175.1836813,Waikato,221.056746,232.5610822,25,25,221.06,25,241.74,198.57,,206.04,165.62,322.33,Holocene
SDMT_122141,121811,-37.69200133,176.2389307,Tauranga,181.9666635,195.7450542,23,23,181.97,23,177.71,145.97,,151.52,124.04,261.69,Holocene
SDMT_123178,123151,-36.83850719,174.7579103,Auckland,170.9170008,173.972305,28.5,23,160.97,23,165.04,135.57,,238.33,132.09,313.25,Holocene
SDMT_123208,123167,-36.83852247,174.7559557,Auckland,165.1445052,175.5059902,24,24,165.14,24,152.62,125.37,,156.71,113.92,268.99,Holocene
SDMT_139896,139731,-37.79169366,175.2913497,Waikato,203.4450731,218.9523723,23,23,203.45,23,214.98,176.59,,204.99,147.21,284.32,Pleistocene
SDMT_139897,139730,-37.791576,175.291416,Waikato,212.4842834,252.5401928,15.5,15,208.75,15,182.92,150.25,,198.85,118.68,244.49,Pleistocene
SDMT_141748,141746,-36.66293171,174.4335251,Auckland,139.0085034,154.4682622,20,18,131.75,18,134.55,110.52,,11.77,100.11,251.48,Holocene
SDMT_156435,156427,-37.6816554,176.1689783,Tauranga,257.5344978,259.9459742,29.5,29,254.91,29,165.03,135.56,,162.66,115.65,261.53,Pleistocene
SDMT_156436,121825,-37.68170598,176.1694188,Tauranga,172.1235755,189.3430679,21,18,165.86,18,143.15,117.58,,132.81,98.18,220.73,Pleistocene
SDMT_156437,156429,-37.68197314,176.1691442,Tauranga,176.1844555,177.7329585,29,29,176.18,29,194.32,159.62,,177.32,131.91,272.32,Pleistocene
SDMT_156438,156430,-37.68224176,176.1690137,Tauranga,223.7799556,252.887924,19.5,19,221.06,19,150.37,123.52,,172.74,96.82,224,Pleistocene
SDMT_167294,126784,-36.86789512,174.7627939,Auckland,156.2465279,179.9110228,17,17,156.25,17,67.25,55.24,,160.47,69.78,235.31,Holocene
SDMT_173187,192322,-37.71743628,176.3207217,Tauranga,193.3182882,223.4997938,17.5,17,191.48,17,204.69,168.14,,182.83,133.38,258.66,Holocene
SDMT_178944,163043,-37.71002831,176.1003606,Tauranga,111.0490412,128.199554,16,16,111.05,16,122.29,100.45,,116.21,86.51,210.52,Holocene
SDMT_178947,163107,-37.71232476,176.1036423,Tauranga,108.308637,121.3619788,19,19,108.31,19,123.02,101.05,,102.2,91.19,223.62,Holocene
SDMT_183366,185461,-37.704813,176.122765,Tauranga,199.478626,199.478626,34,24,188.9,24,155.05,127.36,,123.14,115.93,273.23,Pleistocene
SDMT_66983,66982,-36.96135191,174.7762089,Auckland,188.4249535,212.5061661,19.5,19,185.99,19,165.55,135.99,,109.57,115.49,269.49,Holocene
SDMT_66984,66982,-36.96139696,174.77621,Auckland,176.8301171,199.2813435,19.5,19,174.23,19,165.55,135.99,,109.57,115.49,269.49,Holocene
SDMT_92524,91919,-37.81417975,175.3419468,Waikato,206.5519913,230.3886953,20.5,20,205.15,20,211.22,173.5,,191.33,140.95,286.52,Pleistocene
SDMT_92525,91920,-37.81467481,175.3424281,Waikato,205.5161484,226.3650859,21,21,205.52,21,221.25,181.74,,208.38,148.06,300.51,Pleistocene
SDMT_92526,91925,-37.69950771,175.2452876,Waikato,281.7614561,332.5345514,16.5,16,283.85,16,204.37,167.87,,209.55,132.81,285.19,Holocene
SDMT_92527,91926,-37.70537019,175.2511698,Waikato,198.1452756,223.6003255,19,19,198.15,19,182.23,149.69,,176.09,122.25,270.64,Pleistocene
SDMT_92534,91941,-37.74725903,175.3073666,Waikato,239.5761181,244.1141864,28.5,28,238.93,28,207.11,170.13,,176.72,148.73,282.84,Holocene
SDMT_92535,91949,-37.76110836,175.318444,Waikato,178.6956639,181.915116,28,28,178.7,28,173.92,142.86,,158.98,123.89,279.73,Holocene
SDMT_92536,91950,-37.7610017,175.3188266,Waikato,146.8840673,150.9425495,27.5,17,112.65,17,148.47,121.95,,146.42,101.82,233.64,Holocene
SDMT_92537,91951,-37.77044692,175.3306329,Waikato,168.5626268,168.5626268,31.5,29,166.73,29,207.52,170.46,,166.45,148.06,285.42,Holocene
SDMT_92538,91952,-37.77090352,175.3307834,Waikato,203.9719117,209.9039053,27.5,27,203.02,27,204.02,167.59,,180.64,143.6,281.57,Holocene
SDMT_92539,91968,-37.77745578,175.3339184,Waikato,164.6423202,187.6457251,18,18,164.64,18,189.76,155.87,,179.95,126.08,255.6,Holocene
SDMT_92540,91956,-37.792829,175.3439068,Waikato,147.5760901,156.7594636,24,24,147.58,24,183.44,150.68,,159.1,126.37,264.43,Holocene
SDMT_92541,91956,-37.79254624,175.3436253,Waikato,203.5106419,235.5132142,17.5,17,202.67,17,174.41,143.27,,170.37,113.24,240.26,Holocene
SDMT_92542,91957,-37.79357053,175.345134,Waikato,239.5761181,244.1141864,28.5,28,238.93,28,248.25,203.92,,218.27,174.3,320.67,Holocene
SDMT_92543,91960,-37.80994518,175.3437211,Waikato,199.7083206,225.3848887,19.5,19,197.45,19,223.85,183.88,,199.2,147.23,289.62,Holocene
SDMT_92544,91971,-37.81062086,175.3432768,Waikato,178.3671221,211.0179427,15,15,178.37,15,174.59,143.41,,154.18,107.24,211.37,Holocene
SDMT_92545,91962,-37.8164894,175.3431671,Waikato,240.37395,265.0579224,21.5,21,238.2,21,227.74,187.08,,214.18,152.29,304.31,Pleistocene
SDMT_92546,91963,-37.81647864,175.3423489,Waikato,245.3846602,258.2763994,25.5,25,244.04,25,226.37,185.95,,201.85,154.97,304.67,Pleistocene
SDMT_92547,91964,-37.79026501,175.3409756,Waikato,265.1412139,267.635603,29.5,29,264.22,29,233.23,191.58,,196.89,166.07,315.33,Pleistocene
SDMT_92548,91971,-37.81079467,175.343146,Waikato,249.3687703,282.1623838,19.5,15,242.84,15,174.59,143.41,,154.18,107.24,211.37,Holocene
SDMT_92549,91972,-37.80964524,175.3443023,Waikato,280.1098862,305.4897776,22.5,22,279.07,22,204.64,168.09,,179.1,138.29,281.2,Holocene
SDMT_92554,91980,-37.79008624,175.3411744,Waikato,241.7839782,273.4812908,19.5,19,240.11,19,192.35,158,,188.01,125.93,258.59,Pleistocene
SDMT_92555,91981,-37.76641788,175.3265787,Waikato,172.8772735,175.9738404,28.5,28,172.45,28,209.77,172.31,,33.27,150.41,298.66,Holocene
SDMT_92556,91982,-37.76649217,175.3264675,Waikato,175.4985026,180.485697,27,27,175.5,27,209.16,171.81,,67.8,146.66,286.99,Holocene
SDMT_92557,91983,-37.76637106,175.3266681,Waikato,179.4804037,182.716476,28,28,179.48,28,215.82,177.28,,182.81,152.37,294.34,Holocene
