SDMT_name,,Latitude,Longitude,Location,Vsz,Vs30_measured,max_depth_Vs,matched_depth_Vs,matched_Vsz,max_depth_CPT, Vsz_Andrus 2007-P, Vsz_Andrus 2007-H,, Vsz_Robertson 2009, Vsz_McGann 2015,Vsz_McGann 2018,Geology,,RES
SDMT_92538,91952,-37.77090352,175.3307834,Waikato,203.9719117,209.9039053,27.5,27,203.02,27,204.02,167.59,,180.64,143.6,281.57,Holocene,,0.34627284
SDMT_92539,91968,-37.77745578,175.3339184,Waikato,164.6423202,187.6457251,18,18,164.64,18,189.76,155.87,,179.95,126.08,255.6,Holocene,,0.266844646
SDMT_92540,91956,-37.792829,175.3439068,Waikato,147.5760901,156.7594636,24,24,147.58,24,183.44,150.68,,159.1,126.37,264.43,Holocene,,0.15515629
SDMT_92541,91956,-37.79254624,175.3436253,Waikato,203.5106419,235.5132142,17.5,17,202.67,17,174.41,143.27,,170.37,113.24,240.26,Holocene,,0.58206958
SDMT_92542,91957,-37.79357053,175.345134,Waikato,239.5761181,244.1141864,28.5,28,238.93,28,248.25,203.92,,218.27,174.3,320.67,Holocene,,0.315392669
SDMT_92543,91960,-37.80994518,175.3437211,Waikato,199.7083206,225.3848887,19.5,19,197.45,19,223.85,183.88,,199.2,147.23,289.62,Holocene,,0.293489398
SDMT_92544,91971,-37.81062086,175.3432768,Waikato,178.3671221,211.0179427,15,15,178.37,15,174.59,143.41,,154.18,107.24,211.37,Holocene,,0.508790731
SDMT_92548,91971,-37.81079467,175.343146,Waikato,249.3687703,282.1623838,19.5,15,242.84,15,174.59,143.41,,154.18,107.24,211.37,Holocene,,0.817333477
SDMT_92549,91972,-37.80964524,175.3443023,Waikato,280.1098862,305.4897776,22.5,22,279.07,22,204.64,168.09,,179.1,138.29,281.2,Holocene,,0.702109717
SDMT_92555,91981,-37.76641788,175.3265787,Waikato,172.8772735,175.9738404,28.5,28,172.45,28,209.77,172.31,,33.27,150.41,298.66,Holocene,,0.136742441
SDMT_92556,91982,-37.76649217,175.3264675,Waikato,175.4985026,180.485697,27,27,175.5,27,209.16,171.81,,67.8,146.66,286.99,Holocene,,0.17952206
SDMT_92557,91983,-37.76637106,175.3266681,Waikato,179.4804037,182.716476,28,28,179.48,28,215.82,177.28,,182.81,152.37,294.34,Holocene,,0.163752008
