File Name,Depth, Hegazy Vs, Andrus-H Vs,Andrus-P Vs, Rob Vs, Mc15 Vs,  Mc18 Vs
SCPT_195188_Raw01,4.83,211.68,97.89,119.17,133.72,88.79,235.44
SCPT_195188_Raw01,4.85,201.71,96.61,117.62,130.7,87.83,232.82
SCPT_195188_Raw01,4.87,191.03,95.69,116.49,127.95,86.91,229.37
SCPT_195188_Raw01,4.89,185.36,95.3,116.02,126.55,86.55,227.71
SCPT_195188_Raw01,4.91,175.67,95,115.65,124.63,85.9,223.85
SCPT_195188_Raw01,4.93,170.05,95.83,116.66,124.62,85.92,220.83
SCPT_195188_Raw01,4.95,163.35,97.02,118.12,124.81,86,216.85
SCPT_195188_Raw01,4.97,159.13,97.59,118.8,124.65,85.99,214.57
SCPT_195188_Raw01,4.99,154.08,97.29,118.44,123.39,85.56,212.35
SCPT_195188_Raw01,5.01,148.59,95.53,116.3,120.41,84.52,210.98
SCPT_195188_Raw01,5.03,146.94,94.33,114.84,118.68,84.02,211.48
SCPT_195188_Raw01,5.05,150.23,94.95,115.59,119.81,84.69,213.54
SCPT_195188_Raw01,5.07,150.37,95.39,116.13,120.23,85.01,213.79
SCPT_195188_Raw01,5.09,153.97,96.61,117.61,122.08,85.92,215.45
SCPT_195188_Raw01,5.11,155.46,96.84,117.89,122.48,86.27,216.68
SCPT_195188_Raw01,5.13,156.9,97.07,118.17,122.87,86.61,217.87
SCPT_195188_Raw01,5.15,159.58,97.78,119.04,123.99,87.24,219.38
SCPT_195188_Raw01,5.17,161.55,98.06,119.38,124.51,87.65,220.81
SCPT_195188_Raw01,5.19,162.41,98.97,120.48,125.56,88.19,221.09
SCPT_195188_Raw01,5.21,164.22,99.08,120.62,125.86,88.48,222.47
SCPT_195188_Raw01,5.23,164.65,99.03,120.56,125.77,88.61,223.24
SCPT_195188_Raw01,5.25,166.98,98.8,120.28,125.78,88.78,225.08
SCPT_195188_Raw01,5.27,172.11,99.22,120.8,126.95,89.41,227.89
SCPT_195188_Raw01,5.29,175.18,99.62,121.28,127.76,89.88,229.58
SCPT_195188_Raw01,5.31,180.59,100.77,122.67,129.77,90.83,231.95
SCPT_195188_Raw01,5.33,186.72,101.63,123.72,131.55,91.72,234.81
SCPT_195188_Raw01,5.35,193.96,102.37,124.62,133.35,92.57,238.06
SCPT_195188_Raw01,5.37,194.58,103.08,125.49,134.13,93,238.33
SCPT_195188_Raw01,5.39,197.17,103.26,125.71,134.6,93.27,239.68
SCPT_195188_Raw01,5.41,197.53,103.18,125.61,134.45,93.39,240.45
SCPT_195188_Raw01,5.43,194.4,103.18,125.61,133.88,93.32,239.56
SCPT_195188_Raw01,5.45,191.87,102.89,125.26,133.07,93.11,239
SCPT_195188_Raw01,5.47,189.32,101.92,124.08,131.5,92.72,239.15
SCPT_195188_Raw01,5.49,187.73,102.65,124.97,131.96,93.05,238.45
SCPT_195188_Raw01,5.51,186.82,103.02,125.41,132.13,93.27,238.29
SCPT_195188_Raw01,5.53,181.85,102.11,124.3,130.25,92.66,237.01
SCPT_195188_Raw01,5.55,177.18,101.52,123.59,128.77,92.24,235.69
SCPT_195188_Raw01,5.57,175.06,101.39,123.43,128.2,92.16,235.23
SCPT_195188_Raw01,5.59,162.42,100.03,121.77,124.6,90.79,230.04
SCPT_195188_Raw01,5.61,162.69,100.3,122.1,124.84,91.06,230.53
SCPT_195188_Raw01,5.63,158.61,100.15,121.93,123.92,90.81,228.86
SCPT_195188_Raw01,5.65,152.84,99.89,121.6,122.59,90.71,227.1
SCPT_195188_Raw01,5.67,147.69,99.37,120.97,121.07,90.18,224.86
SCPT_195188_Raw01,5.69,143.45,98.92,120.43,119.78,89.76,223.09
SCPT_195188_Raw01,5.71,142.26,99.52,121.16,120.15,90.02,222.32
