Depth,Qc,Fc,u
2.589998,0.1643,0.0013,0.0891
2.599998,0.1527,0.0011,0.087
2.609998,0.1527,0.0011,0.0873
2.619998,0.1527,0.001,0.0875
2.629998,0.1527,0.001,0.088
2.639998,0.1527,0.001,0.0895
2.649998,0.1605,0.001,0.0906
2.659998,0.1605,0.001,0.0925
2.669998,0.1586,0.0009,0.0918
2.679998,0.1577,0.0009,0.0918
2.689998,0.1584,0.0009,0.0918
2.699998,0.159,0.0009,0.0927
2.709998,0.1643,0.0009,0.0931
2.719998,0.1643,0.0009,0.0931
2.729998,0.1643,0.0009,0.0915
2.739998,0.1605,0.0009,0.0908
2.749998,0.1605,0.0009,0.0904
2.759998,0.1566,0.0009,0.0903
2.769998,0.1565,0.0009,0.0911
2.779998,0.1566,0.0009,0.092
2.789998,0.1566,0.0009,0.0954
2.799998,0.1566,0.0009,0.0954
2.809998,0.1682,0.0009,0.1002
2.819998,0.1682,0.0009,0.1002
2.829998,0.1643,0.0009,0.0987
2.839998,0.1635,0.0009,0.0982
2.849998,0.1632,0.001,0.0977
2.859998,0.1638,0.001,0.0987
2.869998,0.1643,0.001,0.0971
2.879998,0.1682,0.001,0.0968
2.889998,0.1643,0.001,0.097
2.899998,0.1642,0.001,0.0971
2.909998,0.1643,0.001,0.0975
2.919998,0.1643,0.001,0.1017
2.929998,0.1682,0.001,0.1015
2.939998,0.1721,0.0011,0.0987
2.949998,0.1721,0.0011,0.0966
2.959998,0.1721,0.0011,0.0966
2.969998,0.1682,0.0011,0.0927
2.979998,0.1663,0.0011,0.0915
2.989998,0.1643,0.0011,0.0909
2.999998,0.1682,0.001,0.0907
3.009998,0.1624,0.001,0.0907
3.019998,0.1595,0.001,0.0908
3.029998,0.1566,0.001,0.0908
3.039998,0.1566,0.001,0.0908
3.049998,0.1537,0.001,0.0917
3.059998,0.1532,0.001,0.0925
3.069998,0.1527,0.001,0.0975
3.079998,0.1508,0.001,0.0985
3.089998,0.1504,0.001,0.0985
3.099998,0.1502,0.0009,0.1011
3.109998,0.1506,0.0009,0.1013
3.119998,0.1509,0.0009,0.1013
3.129997,0.1527,0.0009,0.0977
3.139997,0.1605,0.0009,0.0974
3.149997,0.1566,0.0009,0.0974
3.159997,0.1566,0.0009,0.0974
3.169997,0.1566,0.0009,0.0978
3.179997,0.1568,0.0009,0.0986
3.189997,0.1571,0.0009,0.1004
3.199997,0.1576,0.0009,0.1004
3.209997,0.1585,0.0009,0.1004
3.219997,0.1605,0.0009,0.1005
3.229997,0.1682,0.0009,0.1006
3.239997,0.1643,0.0009,0.1013
3.249997,0.1663,0.0009,0.1057
3.259997,0.1682,0.0009,0.1067
3.269997,0.1682,0.0009,0.1059
3.279997,0.1702,0.0009,0.1059
3.289997,0.1721,0.0009,0.1029
3.299997,0.176,0.0009,0.1015
3.309997,0.176,0.001,0.1015
3.319997,0.1721,0.001,0.0992
3.329997,0.1711,0.001,0.0987
3.339997,0.1706,0.001,0.0983
3.349997,0.1714,0.001,0.0979
3.359997,0.1721,0.001,0.098
3.369997,0.1721,0.001,0.098
3.379997,0.1682,0.001,0.0983
3.389997,0.1682,0.001,0.0991
3.399997,0.1681,0.0009,0.1006
3.409997,0.1682,0.0008,0.1019
