Depth,Qc,Fc,u
2.979998,0.6305,0.0189,0.0539
2.989998,0.6574,0.0182,0.0541
2.999998,0.5805,0.018,0.062
3.009998,0.4844,0.0165,0.0599
3.019998,0.369,0.0152,0.0661
3.029998,0.2345,0.0153,0.0705
3.039998,0.1624,0.0153,0.0796
3.049998,0.1474,0.0163,0.0883
3.059998,0.1425,0.0194,0.0907
3.069998,0.1462,0.019,0.0936
3.079998,0.1499,0.0186,0.0978
3.089998,0.2691,0.0177,0.0986
3.099998,0.3998,0.014,0.094
3.109998,0.6266,0.0132,0.0856
3.119998,0.8342,0.0128,0.0887
3.129997,0.3075,0.0127,0.0917
3.139997,0.2287,0.0138,0.1002
3.149997,0.2275,0.0149,0.1
3.159997,0.2291,0.021,0.1033
3.169997,0.2307,0.0213,0.1032
3.179997,0.2845,0.0213,0.1127
3.189997,0.2883,0.0212,0.1222
3.199997,0.3767,0.0201,0.1211
3.209997,0.4344,0.0191,0.1147
3.219997,0.4998,0.0184,0.0924
3.229997,0.2845,0.0178,0.0825
3.239997,0.1422,0.0176,0.0849
3.249997,0.1153,0.0163,0.0694
3.259997,0.1192,0.0149,0.0678
3.269997,0.1086,0.0122,0.067
3.279997,0.108,0.01,0.0674
3.289997,0.1078,0.0076,0.0678
3.299997,0.1135,0.0061,0.0674
3.309997,0.1192,0.0033,0.0676
3.319997,0.1269,0.0026,0.0678
3.329997,0.1461,0.0025,0.0682
3.339997,0.1576,0.0025,0.0702
3.349997,0.1845,0.0025,0.0723
3.359997,0.2307,0.0026,0.0771
3.369997,0.2345,0.0035,0.0687
3.379997,0.2383,0.0038,0.0603
3.389997,0.2576,0.0039,0.0597
3.399997,0.3421,0.0039,0.0572
3.409997,0.3921,0.0039,0.0496
3.419997,0.4805,0.0038,0.0299
3.429997,0.5459,0.0038,0.0249
3.439997,0.6074,0.0035,0.0248
3.449997,0.7496,0.0033,0.0257
3.459997,0.8111,0.0032,0.0266
3.469997,0.8534,0.0032,0.0392
3.479997,0.9111,0.0033,0.0365
3.489997,0.9649,0.0033,0.0368
3.499997,1.0649,0.0033,0.037
3.509997,1.0956,0.0033,0.0432
3.519997,1.1225,0.0033,0.0454
3.529997,1.1648,0.0034,0.0471
3.539997,1.1571,0.0033,0.0487
3.549997,1.1994,0.0033,0.0475
3.559997,1.2993,0.0033,0.046
3.569997,1.3032,0.0033,0.046
3.579997,1.2801,0.0034,0.046
3.589997,1.2263,0.0036,0.0461
3.599997,1.1264,0.004,0.0477
3.609997,1.0725,0.0042,0.0516
3.619997,0.9764,0.0042,0.0585
3.629997,0.9341,0.0048,0.0601
3.639997,0.8957,0.0061,0.0657
3.649997,0.838,0.0074,0.0638
3.659997,0.8342,0.0079,0.0698
3.669997,0.8337,0.0091,0.0671
3.679997,0.834,0.0094,0.0676
3.689997,0.8342,0.0093,0.0612
3.699997,0.8765,0.0093,0.0566
3.709997,0.9034,0.0091,0.0523
3.719997,0.938,0.0087,0.0401
3.729997,0.9457,0.0085,0.0245
3.739997,0.9687,0.0048,0.0181
3.749997,0.9418,0.0035,0.0206
3.759997,0.9418,0.0028,0.0175
3.769997,0.8996,0.002,0.0175
3.779997,0.8457,0.0016,0.0175
3.789997,0.765,0.0014,0.0177
3.799997,0.7381,0.0017,0.0185
3.809997,0.7035,0.0019,0.02
3.819997,0.6689,0.0025,0.0221
3.829997,0.6228,0.0059,0.0233
3.839997,0.6264,0.0059,0.0245
3.849997,0.63,0.0059,0.0258
3.859997,0.6526,0.0058,0.0266
3.869997,0.6997,0.0056,0.0289
3.879997,0.8265,0.0052,0.0297
3.889997,0.9649,0.0043,0.0301
3.899997,1.2225,0.0035,0.0276
3.909997,1.3993,0.0025,0.0038
3.919997,1.5069,0.0015,0.0009
3.929997,1.5377,0.0005,0.0007
3.939997,1.5684,0,0.0008
3.949997,1.653,-0.0002,0.001
3.959997,1.6223,-0.0003,0.0012
3.969997,1.6146,-0.0004,0.002
3.979997,1.5838,-0.0004,0.0024
3.989997,1.4762,-0.0004,0.003
3.999997,1.465,-0.0004,0.0036
4.009997,1.4598,-0.0004,0.0049
4.019997,1.4584,-0.0004,0.0053
4.029997,1.4692,-0.0001,0.0059
4.039998,1.48,0.0002,0.0065
4.049998,1.4839,0.0002,0.0076
4.059998,1.482,0.0002,0.0082
4.069998,1.4983,0.0001,0.0088
4.079998,1.5146,-0.0002,0.0096
4.089999,1.5684,-0.0004,0.0101
4.099999,1.653,-0.0004,0.0105
4.109999,1.6915,-0.0004,0.0117
4.119999,1.6991,-0.0004,0.0119
4.13,1.6761,-0.0002,0.0121
4.14,1.5761,0.0001,0.0127
4.15,1.5223,0.0006,0.013
4.16,1.4647,0.0011,0.0136
4.170001,1.3839,0.0017,0.014
4.180001,1.307,0.0027,0.0144
4.190001,1.1494,0.004,0.0148
4.200001,1.0841,0.0041,0.0158
4.210001,1.0341,0.004,0.0169
4.220002,1.011,0.004,0.0175
4.230002,0.9918,0.004,0.0181
4.240002,0.9957,0.0028,0.0187
4.250002,0.9764,0.0026,0.0204
4.260003,0.9188,0.0017,0.0208
4.270003,0.8611,0.0009,0.0214
4.280003,0.7881,0.0008,0.0218
4.290003,0.7496,0.0007,0.0229
4.300004,0.692,0.0006,0.0233
4.310004,0.642,0.0005,0.0245
4.320004,0.6035,0.0002,0.0252
4.330004,0.5459,-0.0004,0.0262
4.340004,0.5305,-0.0007,0.0276
4.350005,0.5113,-0.0007,0.0283
4.360005,0.5103,-0.0007,0.0293
4.370005,0.5094,-0.0008,0.0423
4.380005,0.519,-0.0009,0.0423
4.390006,0.4882,-0.0009,0.0431
4.400006,0.469,-0.0012,0.0438
4.410006,0.4267,-0.0012,0.0444
4.420006,0.3998,-0.0012,0.0448
4.430007,0.3344,-0.0013,0.0454
4.440007,0.3114,-0.0013,0.046
4.450007,0.2845,-0.0013,0.0475
4.460007,0.2819,-0.0013,0.0483
4.470007,0.2833,-0.0012,0.0494
4.480008,0.2847,-0.0012,0.0504
4.490008,0.296,-0.0012,0.0518
4.500008,0.3075,-0.0011,0.0521
4.510008,0.3037,-0.001,0.0527
4.520009,0.3114,-0.0009,0.0533
4.530009,0.321,-0.0009,0.0541
4.540009,0.3306,-0.0009,0.0552
4.550009,0.3652,-0.0009,0.0564
4.560009,0.4152,-0.0008,0.0564
4.57001,0.5074,-0.0008,0.0572
4.58001,0.5766,-0.0008,0.0578
4.59001,0.6189,-0.0007,0.0583
4.60001,0.6497,-0.0007,0.0585
4.610011,0.6305,-0.0006,0.0584
4.620011,0.5689,-0.0006,0.0587
4.630011,0.5459,-0.0006,0.0589
4.640011,0.5036,-0.0007,0.0587
4.650012,0.481,-0.0012,0.0593
4.660012,0.4796,-0.0013,0.0601
4.670012,0.482,-0.0015,0.0618
4.680012,0.4844,-0.0017,0.0618
4.690012,0.592,-0.0017,0.0638
4.700013,0.6151,-0.0017,0.0624
4.710013,0.6228,-0.0017,0.062
4.720013,0.6497,-0.0013,0.0612
4.730013,0.7189,0,0.0611
4.740014,0.7381,-0.0008,0.0572
4.750014,0.7688,0.0011,0.0568
4.760014,0.8034,0.0015,0.0539
4.770014,0.7861,0.0016,0.0533
4.780015,0.8044,0.0012,0.0537
4.790015,0.8227,0.0007,0.0477
4.800015,0.8227,-0.0001,0.0421
4.810015,0.7458,-0.0009,0.0384
4.820015,0.6881,-0.0014,0.0235
4.830016,0.6997,-0.0014,0.0023
4.840016,0.6727,-0.0015,-0.0075
4.850016,0.6574,-0.0015,-0.0119
4.860016,0.6497,-0.0015,-0.0122
4.870017,0.6228,-0.0015,-0.0123
4.880017,0.6151,-0.0015,-0.0121
4.890017,0.5882,-0.0015,-0.0119
4.900017,0.5497,-0.0014,-0.0111
4.910017,0.4844,-0.0014,-0.01
4.920018,0.4382,-0.0014,-0.0094
4.930018,0.3998,-0.0013,-0.0073
4.940018,0.3614,-0.0013,-0.0061
4.950018,0.3268,-0.0009,-0.0048
4.960019,0.3037,-0.0008,-0.0034
4.970019,0.3025,-0.0007,-0.0021
4.980019,0.3034,-0.0007,0.0007
4.990019,0.3043,-0.0004,0.0018
5.00002,0.3114,0.0005,0.0028
5.01002,0.3421,0.0006,0.0038
5.02002,0.396,0.0006,0.0043
5.03002,0.4229,0.0005,0.0051
5.04002,0.4411,0.0004,0.0059
5.050021,0.4594,0.0002,0.0063
5.060021,0.5228,0.0001,0.0074
5.070021,0.6766,0.0001,0.0094
5.080021,0.8457,0.0001,0.0098
5.090022,0.988,0.0001,0.0098
5.100022,1.0956,0.0004,0.0104
5.110022,1.1456,0.0006,0.0111
5.120022,1.134,0.0007,0.0123
5.130023,1.1071,0.0007,0.0134
5.140023,1.0764,0.0012,0.0144
5.150023,1.0725,0.0017,0.0148
5.160023,0.9957,0.0014,0.016
5.170023,0.9803,0.0022,0.0163
5.180024,0.9495,0.0027,0.0185
5.190024,0.9572,0.003,0.0192
5.200024,0.9034,0.0033,0.0206
5.210024,0.8938,0.0033,0.0216
5.220025,0.8909,0.0031,0.0225
5.230025,0.8896,0.003,0.0237
5.240025,0.889,0.002,0.0241
5.250025,0.8905,0.0014,0.0249
5.260026,0.8919,0.0006,0.0252
5.270026,0.9188,-0.0004,0.0256
5.280026,0.938,-0.0003,0.027
5.290026,0.938,-0.0004,0.0266
5.300026,0.9457,-0.0004,0.0283
5.310027,0.9534,-0.0003,0.0281
5.320027,0.9418,-0.0002,0.0282
5.330027,0.9034,-0.0001,0.0283
5.340027,0.8342,0.0017,0.0285
5.350028,0.8227,0.0025,0.0299
5.360028,0.7227,0.0029,0.0299
5.370028,0.7112,0.0029,0.0456
5.380028,0.6997,0.0026,0.0456
5.390028,0.6497,0.0023,0.0469
5.400029,0.6486,0.002,0.0485
5.410029,0.6537,0.0018,0.0492
5.420029,0.6588,0.0017,0.0483
5.430029,0.6843,0.0018,0.0481
5.44003,0.6766,0.0019,0.0481
5.45003,0.6766,0.0025,0.0485
5.46003,0.6774,0.0053,0.0489
5.47003,0.6783,0.0077,0.05
5.480031,0.6799,0.0093,0.0527
5.490031,0.6843,0.0114,0.056
5.500031,0.715,0.0142,0.0583
5.510031,0.7496,0.0174,0.0628
5.520031,0.7727,0.0217,0.0661
5.530032,0.815,0.0251,0.0661
5.540032,0.8496,0.03,0.0643
5.550032,0.8957,0.0325,0.0442
5.560032,0.938,0.0355,0.0403
5.570033,0.9764,0.0369,0.0318
5.580033,1.0687,0.0389,0.0198
5.590033,1.061,0.0393,0.0055
5.600033,0.9226,0.0394,0.0036
5.610034,0.8868,0.0391,0.0094
5.620034,0.8696,0.0388,-0.0009
5.630034,0.8789,0.0368,-0.0042
