Depth,Qc,Fc,u
2.31,0.9,0.0345,0.1174
2.32,0.853,0.0306,0.1175
2.33,0.834,0.0273,0.1175
2.34,0.827,0.0222,0.1197
2.35,0.823,0.0206,0.1193
2.36,0.823,0.0186,0.1212
2.37,0.819,0.0171,0.1214
2.38,0.792,0.0146,0.1114
2.39,0.777,0.0139,0.11
2.4,0.765,0.0131,0.1097
2.41,0.715,0.0126,0.1097
2.42,0.684,0.0123,0.1097
2.43,0.657,0.0121,0.1098
2.44,0.638,0.0118,0.1098
2.45,0.596,0.0113,0.109
2.46,0.577,0.011,0.1052
2.47,0.561,0.0104,0.1028
2.48,0.55,0.0096,0.1015
2.49,0.523,0.0087,0.1015
2.5,0.511,0.0083,0.1015
2.51,0.5,0.0079,0.1015
2.52,0.488,0.0078,0.1019
2.53,0.492,0.0077,0.1017
2.54,0.465,0.0076,0.1011
2.55,0.446,0.0071,0.0994
2.56,0.427,0.0066,0.0945
2.57,0.488,0.0063,0.0906
2.58,0.415,0.0059,0.0513
2.59,0.408,0.0056,0.0465
2.6,0.369,0.005,0.0453
2.61,0.334,0.0049,0.0453
2.62,0.308,0.0048,0.0453
2.63,0.295,0.0046,0.0453
2.64,0.289,0.0045,0.0461
2.65,0.288,0.0043,0.0471
2.66,0.288,0.0042,0.0479
2.67,0.288,0.0041,0.0477
2.68,0.273,0.0041,0.0479
2.69,0.261,0.0041,0.0481
2.7,0.25,0.0041,0.0482
2.71,0.246,0.0041,0.0484
2.72,0.246,0.0044,0.0488
2.73,0.242,0.0048,0.0492
2.74,0.242,0.0053,0.0496
2.75,0.242,0.0054,0.0498
2.76,0.242,0.0054,0.0498
2.77,0.242,0.0054,0.05
2.78,0.242,0.0054,0.0502
2.79,0.238,0.0054,0.0504
2.8,0.235,0.0054,0.0508
2.81,0.235,0.0051,0.051
2.82,0.231,0.0049,0.0513
2.83,0.231,0.0047,0.0515
2.84,0.227,0.0043,0.0519
2.85,0.227,0.004,0.0521
2.86,0.225,0.0036,0.0527
2.87,0.224,0.0033,0.0529
2.88,0.223,0.003,0.0531
2.89,0.223,0.0027,0.0533
2.9,0.223,0.0025,0.0537
2.91,0.223,0.0024,0.0541
2.92,0.223,0.0022,0.0542
2.93,0.223,0.0021,0.0544
2.94,0.223,0.0021,0.0546
2.95,0.223,0.002,0.055
2.96,0.223,0.002,0.055
2.97,0.223,0.002,0.0552
2.98,0.223,0.002,0.0554
2.99,0.223,0.0019,0.0558
3,0.223,0.0019,0.056
3.01,0.219,0.0019,0.0562
3.02,0.215,0.0018,0.0564
3.03,0.215,0.0016,0.0566
3.04,0.208,0.0014,0.0566
3.05,0.204,0.0012,0.0566
3.06,0.196,0.0011,0.0566
3.07,0.192,0.0008,0.0567
3.08,0.188,0.0007,0.0568
3.09,0.186,0.0005,0.0568
3.1,0.186,0.0003,0.0572
3.11,0.186,0.0002,0.0573
3.12,0.186,0,0.0575
3.13,0.188,-0.0001,0.0577
3.14,0.188,-0.0003,0.0579
3.15,0.19,-0.0003,0.0583
3.16,0.192,-0.0003,0.0585
3.17,0.2,-0.0004,0.0589
3.18,0.211,-0.0004,0.0591
3.19,0.219,-0.0004,0.0597
3.2,0.223,-0.0004,0.0599
3.21,0.231,-0.0004,0.0601
3.22,0.231,-0.0004,0.0601
3.23,0.225,-0.0004,0.0614
3.24,0.219,-0.0004,0.0622
3.25,0.218,-0.0004,0.0626
3.26,0.218,-0.0003,0.0632
3.27,0.218,-0.0002,0.0637
3.28,0.219,-0.0001,0.0643
3.29,0.235,0.0001,0.0649
3.3,0.242,0.0001,0.0653
3.31,0.265,0.0001,0.0663
3.32,0.3,0.0002,0.0666
3.33,0.311,0.0003,0.0672
3.34,0.319,0.0005,0.0674
3.35,0.323,0.0012,0.0678
3.36,0.35,0.0023,0.0682
3.37,0.369,0.0036,0.0697
3.38,0.415,0.0056,0.0709
3.39,0.496,0.0058,0.0721
3.4,0.696,0.0063,0.0732
3.41,0.842,0.0083,0.0753
3.42,1.007,0.0131,0.0755
3.43,1.134,0.0152,0.0752
3.44,1.342,0.017,0.0742
3.45,1.476,0.0175,0.0682
3.46,1.722,0.0175,0.0686
3.47,2.08,0.0175,0.0674
3.48,2.514,0.0175,0.0562
3.49,3.302,0.0177,0.044
3.5,3.483,0.0178,0.007
3.51,3.533,0.0183,-0.0181
3.52,3.525,0.0193,-0.0245
3.53,3.371,0.0217,-0.0256
3.54,3.252,0.0244,-0.0261
3.55,3.11,0.0249,-0.0262
3.56,2.964,0.0251,-0.0261
3.57,2.926,0.025,-0.0261
3.58,2.928,0.0249,-0.0259
3.59,2.931,0.0228,-0.0253
3.6,2.949,0.0165,-0.0251
