File Name,depth_input,vs_input,Depth,Qc,Fs,u,A07-H,A07-P,R09,Mc15,Mc18
SCPT_114322.csv,11,197,11,19.8117,0.0701,-0.0588,-0.110828945,-0.307539239,-0.176828976,-0.073245439,-0.589706875
SCPT_114322.csv,11.5,197,11.5,2.7598,0.0675,-0.0594,0.101653948,-0.095056346,0.08277295,0.201374455,-0.581453549
SCPT_114322.csv,12,223,12,3.6319,0.0585,-0.0539,0.187693834,-0.009016461,0.198994612,0.285846224,-0.451682002
SCPT_114322.csv,12.5,223,12.5,6.1936,0.0747,-0.0537,0.0778353,-0.118874994,0.088936753,0.17734656,-0.497738729
SCPT_114322.csv,13,222,13,5.65,0.0205,-0.0447,0.212718273,0.016007979,0.282709056,0.282500372,-0.343379011
SCPT_114322.csv,13.5,222,13.5,5.7761,0.0309,-0.0465,0.167334424,-0.02937587,0.233398359,0.234772526,-0.406433724
SCPT_114322.csv,14,194,14,6.3657,0.0459,-0.0408,-0.024398258,-0.221108552,0.033273656,0.043003107,-0.602615369
SCPT_114322.csv,14.5,194,14.5,8.7358,0.035,-0.0373,-0.031632968,-0.228343262,0.02118299,0.010173669,-0.578590395
SCPT_114322.csv,15,229,15,6.0802,0.0503,-0.0238,0.128748739,-0.067961555,0.201836452,0.188696788,-0.465767354
SCPT_114322.csv,15.5,229,15.5,6.3227,0.0489,-0.0144,0.123089473,-0.073620821,0.203569355,0.176292456,-0.470682986
SCPT_114322.csv,16,250,16,6.9797,0.0421,-0.0289,0.211681804,0.01497151,0.297646456,0.253397011,-0.372243198
SCPT_114322.csv,16.5,250,16.5,10.3666,0.0789,-0.0211,0.093256021,-0.103454273,0.144669597,0.135743435,-0.464613096
SCPT_114322.csv,17,227,17,5.7712,0.1099,0.0309,0.024252356,-0.172457939,0.103478963,0.087770177,-0.607423202
SCPT_114322.csv,17.5,227,17.5,4.3594,0.0953,-0.0344,0.079197441,-0.117512853,0.18422069,0.131941115,-0.594150674
SCPT_114322.csv,18,171,18,3.014,0.0678,-0.04,-0.110892995,-0.30760329,0.036645389,-0.077772486,-0.837572486
