NZTM_X NZTM_Y Vs30
1888815.7 5821145.82 155.99
1874329.38 5819761.37 156.06
1895438.06 5817569.06 156.13
1873953.34 5821444.77 156.25
2054512.17 5719536.72 156.32
1868541 5830192 156.35
1873857.58 5818908.94 156.44
1876432.21 5821065.78 156.46
1756672.75 5921542.89 156.5
1890994.77 5814649.14 156.51
1751591.7 5949658.56 156.62
1891358.22 5820190.79 156.71
1774829.96 5897495.69 156.73
1891319.59 5814635.7 156.76
1876793.45 5820438.77 156.77
1773534 5896266 156.8
1895640.51 5817036.14 156.92
1891202.97 5814780.68 157.07
1756804.7 5921660.3 157.08
1884410.25 5824483.47 157.38
1745087.62 5918309.11 157.38
1966883.21 5782772.11 157.43
1891492.66 5813237.07 157.44
1876423.8 5821009.73 157.44
1891159.17 5820215.49 157.51
1800543 5813012 157.53
1873818.61 5818537.74 157.58
1768410.37 5913366.58 157.8
1804246.44 5815255.17 157.8
1720975 6045028 157.88
1787511 5851139 157.93
2059918.67 5753890.83 157.95
1751602.57 5949497.73 158.08
1762314.65 5431367.87 158.38
1756555.8 5921611.7 158.59
1763179.9 5906809.5 158.64
1875271 5822242 158.79
1888378.15 5821573.57 159
1887605.39 5773897.98 159.03
1756619.25 5921535.75 159.11
1798565.78 5813295.33 159.22
1982584.69 5669121.21 159.25
1891305.62 5814645.71 159.39
1729035.26 5941819.57 159.42
2059934.03 5753921.49 159.44
1879525.65 5824770.54 159.45
1873865 5821445 159.47
1895688.83 5816997.1 159.47
1873502 5821629 159.63
1876872.15 5819568.51 159.67
1876813.62 5820466.2 159.83
1891073.29 5820213.76 159.83
1746933 5920625 159.84
1873846.78 5818886.41 159.91
1873783.15 5818761.48 159.98
1874320.83 5820804.69 159.99
1773729 5896140 160.05
1882508.8 5775774 160.07
1872478 5816487 160.07
1891522.76 5820048.31 160.24
1876469.32 5820977.2 160.33
1862073 5828854 160.38
1762282.95 5431337.67 160.39
1835713 5863115 160.4
1720952 6044972 160.4
1891464.33 5820154.92 160.57
1772193.07 5895113.05 160.58
1889427.2 5820661.96 160.73
1728079.86 5941544.68 160.82
1766439.61 5913235.86 160.87
1762433 5906388 160.87
1746157.23 5920761.59 160.88
1873405 5821717 160.9
1881870.73 5779830.99 160.95
1406162.63 4915073.48 160.95
1773626 5896025 160.98
1798351.93 5813954.51 161.01
1728057 5941552.35 161.02
1765925 5906414 161.09
1765865 5908690 161.1
1798590 5813518 161.1
1884243.82 5785253.5 161.17
1787847 5850706 161.28
1875207 5822197 161.3
