Name,Lat,Long,Elevation,NZS1170SiteClass,Vs30_median,Sigmaln_Vs30,Q_Vs30,Vs30_Ref,T_median,sigmaln_T,Q_T,D_T,T_Ref,Z1.0_median,sigmaln_Z1.0,Q_Z1.0,Z1.0_Bedrock,Z1.0_Ref,Z2.5_median,sigmaln_Z2.5,Q_Z2.5,Z2.5_Ref,Reference_site,TopoT_median,Deeprock_T
AKUS,-36.85315821,174.7704513,30,B,800,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),1175,0.5,Q3,NZVM (2021),0,0,0
ALLC,-38.41692854,175.473484,573,B,590,0.4185,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),45,0.5,Q3,1,NZVM (2021),475,0.5,Q3,NZVM (2021),0,0,0
ARPC,-38.15022384,175.6571872,171,C,518,0.321,Q3,Foster et al. (2019),0.4,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),725,0.5,Q3,NZVM (2021),0,0,0
AWAC,-39.77625932,176.9823976,81,C,343,0.2595,Q3,Foster et al. (2019) & Perrin et al. (2015),0.4,0.3,Q3,I,NSHM (2021),95,0.5,Q3,1,NZVM (2021),7225,0.5,Q3,NZVM (2021),0,0,0
BGLC,-38.30442701,175.7579878,297,B,597,0.4005,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),2125,0.5,Q3,NZVM (2021),0,0,0
BLUC,-39.48795315,176.9134978,48,C,501,0.2675,Q3,Foster et al. (2019) & Perrin et al. (2015),0.4,0.3,Q3,I,NSHM (2021),105,0.5,Q3,1,NZVM (2021),6675,0.5,Q3,NZVM (2021),0,0,0
BNDC,-38.52023032,175.3756824,329,B,567,0.355,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0
BOWS,-41.279193,174.776323,8,D,267,0.1945,Q3,Foster et al. (2019) & Perrin et al. (2015),0.62,0.2,Q2,I,Kaiser et al. 2019,65,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0
CKCJ,-44.09484044,168.6253712,69,B,603,0.3825,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),35,0.5,Q3,1,NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0
CREC,-39.7960594,176.8248956,101,B,800,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),95,0.5,Q3,1,NZVM (2021),5175,0.5,Q3,NZVM (2021),0,0,0
ECLS,-37.68883,178.54816,142,B,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,85,0.5,Q3,1,NZVM (2021),9225,0.5,Q3,NZVM (2021),0,0.357142857,0
EDAS,-37.97767,176.83222,3,D,166,0.24,Q3,Foster et al. (2019) & Perrin et al. (2015),2,0.3,Q3,I,NSHM (2021),85,0.5,Q3,1,NZVM (2021),1125,0.5,Q3,NZVM (2021),0,0,0
ELAC,-39.31654925,176.7398963,284,B,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),85,0.5,Q3,1,NZVM (2021),5725,0.5,Q3,NZVM (2021),0,0,0
ESKC,-39.33795003,176.8981981,42,B,587,0.364,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),75,0.5,Q3,1,NZVM (2021),5975,0.5,Q3,NZVM (2021),0,0,0
EWZ,-43.51003172,170.8526034,651,B,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0
FRBF,-45.34086872,166.8500403,713,A,1500,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),5,0.05,Q3,1,NSHM (2021) ,975,0.5,Q3,NZVM (2021),0,0,0
GLNS,-44.86441,168.40646,408,C,397,0.3345,Q3,Foster et al. (2019) & Perrin et al. (2015),0.4,0.3,Q3,I,NSHM (2021),65,0.3,Q3,1,NZVM (2021),275,0.3,Q3,NZVM (2021),0,0,0
GMFS,-42.457849,171.2043,12,D,215,0.221,Q3,Foster et al. (2019) & Perrin et al. (2015),1,0.3,Q3,I,NSHM (2021),75,0.5,Q3,1,NZVM (2021),1475,0.5,Q3,NZVM (2021),0,0,0
GPSS,-41.23663683,174.9147161,9,D,240,0.2055,Q3,Foster et al. (2019) & Perrin et al. (2015),1,0.3,Q3,I,NSHM (2021),65,0.3,Q3,1,NZVM (2021),275,0.3,Q3,NZVM (2021),0,0,0
GR1A,-41.89549899,173.5828463,522,C,313,0.3585,Q3,Foster et al. (2019) & Perrin et al. (2015),0.4,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),875,0.5,Q3,NZVM (2021),0,0,0
GR5A,-41.89299896,173.5933465,518,B,560,0.344,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),825,0.5,Q3,NZVM (2021),0,0,0
GREC,-38.92274245,177.2919044,128,B,567,0.355,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),3325,0.5,Q3,NZVM (2021),0,0,0
HBHS,-37.785638,175.295136,39,D,182,0.1,Q1,Cave (2020),3.2,0.02,Q1,I,Cave (2020),396,0.1,Q2,1,Cave (2020),975,0.3,Q3,NZVM (2021),0,0,0
KAPS,-36.82229752,174.7036606,96,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,1225,0.5,Q3,NZVM (2021),0,0.46,0
KARC,-38.92774077,176.4556941,757,C,597,0.4005,Q3,Foster et al. (2019) & Perrin et al. (2015),0.2,0.1,Q1,I,Manea et al. 2021 unpublished,45,0.5,Q3,1,NZVM (2021),625,0.5,Q3,NZVM (2021),0,0,0
KIDC,-39.64195668,177.0693992,68,C,555,0.3565,Q3,Foster et al. (2019) & Perrin et al. (2015),0.4,0.3,Q3,I,NSHM (2021),95,0.5,Q3,1,NZVM (2021),7125,0.5,Q3,NZVM (2021),0,0,0
KIWC,-38.57193264,175.9568893,609,B,636,0.3755,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),2475,0.5,Q3,NZVM (2021),0,0,0
KNGC,-38.75853695,176.2479922,680,B,569,0.442,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),875,0.5,Q3,NZVM (2021),0,0,0
KONC,-39.45825192,176.6254943,183,B,1000,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),15,0.3,Q3,1,NSHM (2021) ,5225,0.5,Q3,NZVM (2021),0,0,0
KOTC,-38.89294234,177.5240074,50,B,560,0.344,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),6625,0.5,Q3,NZVM (2021),0,0,0
LAHV,-39.47075013,175.6954828,850,B,567,0.355,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0
LATK,-39.38404884,175.9181859,1270,B,625,0.3655,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),1425,0.5,Q3,NZVM (2021),0,0,0
LBST,-39.16524564,176.4938938,689,B,717,0.2985,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),1425,0.5,Q3,NZVM (2021),0,0,0
LCRO,-39.23204722,176.5993948,426,B,618,0.3635,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),1725,0.5,Q3,NZVM (2021),0,0,0
LDEN,-38.48793064,175.7948876,435,B,590,0.4185,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),1675,0.5,Q3,NZVM (2021),0,0,0
LGDS,-39.26854879,176.9859995,32,B,587,0.364,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),95,0.5,Q3,1,NZVM (2021),6025,0.5,Q3,NZVM (2021),0,0,0
