CPT_ID, Latitude, Longitude, NZMG Easting, NZMG Northing,NZTM_X,NZTM_Y, Vs30
CPT_1471_measurement_num_0,-43.5536279413052,172.666908507373,2483096.54911863,5739259.65414944,1573095.28,5177648.89,144.29
CPT_110140_measurement_num_0,-43.5123493640627,172.648153564809,2481561.81005388,5743839.5989649,1571561,5182227,144.3
CPT_554_measurement_num_0,-43.5250908791029,172.657836863508,2482350.57800321,5742427.23936349,1572349.5,5180815.21,144.3
CPT_1005_measurement_num_0,-43.5487449358243,172.65312382143,2481980.4360658,5739797.65474549,1571979.59,5178186.64,144.3
CPT_24867_measurement_num_0,-43.5373120439747,172.649447037487,2481678.00080264,5741066.64031871,1571677.23,5179455.12,144.31
CPT_93619_measurement_num_0,-43.5387331306884,172.626427695047,2479818.13795301,5740900.71889069,1569818.1,5179289.2,144.39
CPT_10347_measurement_num_0,-43.5416000171997,172.641799981601,2481061.95267052,5740587.62466682,1571061.44,5178976.27,144.43
CPT_462_measurement_num_0,-43.5364822310385,172.628299610207,2479968.32524415,5741151.47033515,1569968.22,5179539.86,144.44
CPT_425_measurement_num_0,-43.5354364498679,172.627460582824,2479899.99270275,5741267.3573171,1569899.91,5179655.7,144.45
CPT_494_measurement_num_0,-43.5401493264697,172.63330104442,2480374.35923921,5740745.82972829,1570374.11,5179134.39,144.45
CPT_56454_measurement_num_0,-43.5382537219427,172.644958168504,2481315.62499727,5740960.49096758,1571315,5179349,144.49
CPT_40527_measurement_num_0,-43.5140839621352,172.651215038284,2481810.16160047,5743647.91823054,1571809.26,5182035.4,144.54
CPT_140965_measurement_num_0,-43.5565530331003,172.66309303721,2482789.54526945,5738933.43649207,1572788.41,5177322.79,144.58
CPT_35839_measurement_num_0,-43.5465480282783,172.629679046415,2480084.76030719,5740033.63457434,1570084.65,5178422.46,144.59
CPT_24852_measurement_num_0,-43.5438117155637,172.642084586949,2481086.00344098,5740341.9983811,1571085.49,5178730.74,144.6
CPT_567_measurement_num_0,-43.5253931009661,172.654675170543,2482095.1166806,5742392.61332525,1572094.14,5180780.59,144.66
CPT_1126_measurement_num_0,-43.5214684297932,172.672333350715,2483520.94062341,5742834.38570355,1573519.39,5181222.23,144.66
CPT_21731_measurement_num_0,-43.543049925978,172.639666301432,2480890.19964651,5740425.79776682,1570889.76,5178814.5,144.67
CPT_19428_measurement_num_0,-43.5583180170229,172.66156202894,2482666.62916089,5738736.84350984,1572665.55,5177126.27,144.68
CPT_563_measurement_num_0,-43.5186944902915,172.651150743398,2481807.09584834,5743135.65997655,1571806.21,5181523.34,144.79
CPT_4461_measurement_num_0,-43.5052287785185,172.632999612964,2480333.00484117,5744625.44353126,1570332.65,5183012.51,144.81
CPT_37669_measurement_num_0,-43.5219705779828,172.626901121297,2479848.11229031,5742763.23390964,1569848,5181151,144.81
CPT_1125_measurement_num_0,-43.5214005144687,172.671760192081,2483474.5725249,5742841.74983062,1573473.04,5181229.59,144.81
CPT_388_measurement_num_0,-43.522584177233,172.639719208097,2480884.70288907,5742699.59802089,1570884.19,5181087.42,144.82
CPT_50_measurement_num_0,-43.5038041849813,172.683480952571,2484414.78317008,5744800.38361494,1574412.83,5183187.48,144.82
CPT_40683_measurement_num_0,-43.5439410030751,172.6586277042,2482423.03958148,5740333.20925507,1572422,5178722,144.88
CPT_35538_measurement_num_0,-43.4648899527469,172.634533742365,2480437.49622949,5749107.63752821,1570437,5187493,144.88
CPT_104985_measurement_num_0,-43.5400944407521,172.640429531597,2480950.47481233,5740754.42323998,1570950,5179143,144.9
CPT_28707_measurement_num_0,-43.4913650125845,172.693190979646,2485194.97982942,5746185.32067587,1575192.69,5184571.89,144.95
CPT_49853_measurement_num_0,-43.5389050339266,172.628920058556,2480019.66576187,5740882.51484863,1570019.55,5179271.01,145
CPT_7659_measurement_num_0,-43.5016581380476,172.651212113011,2481804.17580962,5745028.44155026,1571803.24,5183415.39,145.06
CPT_122_measurement_num_0,-43.5149345724129,172.670077691585,2483335.71728762,5743559.59404233,1573334.22,5181947.15,145.06
CPT_24868_measurement_num_0,-43.5374109691454,172.649613059944,2481691.46572722,5741055.70562182,1571690.69,5179444.19,145.06
CPT_106_measurement_num_0,-43.5204796299603,172.667670257438,2483143.50480391,5742942.75823437,1573142.1,5181330.55,145.07
CPT_31106_measurement_num_0,-43.5646689521284,172.69034651062,2484994.98539136,5738040.21245738,1574993,5176430,145.11
CPT_28731_measurement_num_0,-43.5063720474743,172.649440945663,2481663.12746358,5744504.12281804,1571662.26,5182891.27,145.15
CPT_75807_measurement_num_0,-43.534106558269,172.630997406856,2480185.21882467,5741416.3751316,1570185.02,5179804.67,145.16
CPT_14450_measurement_num_0,-43.5661642332651,172.661944697395,2482701.05963174,5737865.22832753,1572700,5176255,145.17
CPT_74656_measurement_num_0,-43.5056110526697,172.650574165318,2481754.41522362,5744589.05330376,1571753.51,5182976.17,145.18
CPT_329_measurement_num_0,-43.4978534126079,172.700351447192,2485776.75622361,5745466.54753028,1575774.25,5183853.41,145.22
CPT_93614_measurement_num_0,-43.5379281460056,172.626977261133,2479862.15826461,5740990.35189886,1569862.1,5179378.8,145.25
CPT_40549_measurement_num_0,-43.5124929995131,172.651510983437,2481833.35555175,5743824.77603189,1571832.44,5182212.19,145.34
CPT_12142_measurement_num_0,-43.5441000421893,172.646399990105,2481434.89937743,5740311.44437633,1571434.25,5178700.21,145.35
CPT_75832_measurement_num_0,-43.522133574751,172.639452755924,2480862.94595238,5742749.56794852,1570862.44,5181137.37,145.37
CPT_1018_measurement_num_0,-43.5414052772856,172.642929503967,2481153.14919942,5740609.65009904,1571152.6,5178998.29,145.4
CPT_71913_measurement_num_0,-43.5139095268004,172.64859039768,2481597.85927575,5743666.4110936,1571597.04,5182053.88,145.41
CPT_377_measurement_num_0,-43.521016169965,172.642932097781,2481143.70915743,5742874.91805973,1571143.09,5181262.68,145.46
CPT_378_measurement_num_0,-43.521016169965,172.642932097781,2481143.70915743,5742874.91805973,1571143.09,5181262.68,145.46
CPT_785_measurement_num_0,-43.5167081063244,172.647700634218,2481527.22287864,5743355.18273034,1571526.44,5181742.77,145.49
CPT_104994_measurement_num_0,-43.5408525320543,172.640982026766,2480995.48951661,5740670.38908635,1570995,5179059,145.5
CPT_50734_measurement_num_0,-43.5015699997046,172.627078973491,2479852.4004521,5745029.82047057,1569852.22,5183416.72,145.5
CPT_259_measurement_num_0,-43.5365718381778,172.682789903584,2484372.67971212,5741159.61294764,1574370.84,5179548.14,145.5
CPT_34195_measurement_num_0,-43.5439279639413,172.65724894581,2482311.60559565,5740334.20338181,1572310.61,5178722.99,145.52
CPT_941_measurement_num_0,-43.5516806301909,172.667289641917,2483126.48868934,5739476.12846651,1573125.2,5177865.28,145.54
CPT_28800_measurement_num_0,-43.5584759882523,172.648445037183,2481606.86839765,5738714.93450942,1571606.21,5177104.33,145.55
CPT_50662_measurement_num_0,-43.5440501921551,172.658979007202,2482451.48041082,5740321.19359524,1572450.43,5178709.99,145.56
CPT_13729_measurement_num_0,-43.5621000478961,172.687300041377,2484747.79610813,5738324.71493051,1574745.9,5176714.38,145.6
CPT_40091_measurement_num_0,-43.5012270300062,172.629212010648,2480024.73787807,5745068.69087871,1570024.49,5183455.58,145.61
CPT_44904_measurement_num_0,-43.5086220152449,172.650374939674,2481739.70067281,5744254.4645265,1571738.81,5182641.71,145.61
CPT_56688_measurement_num_0,-43.5246559739442,172.637726962416,2480724.63337023,5742468.72377852,1570724.19,5180856.63,145.61
CPT_24764_measurement_num_0,-43.5289690394388,172.643176997179,2481167.2709096,5741991.42566772,1571166.67,5180379.53,145.61
CPT_3838_measurement_num_0,-43.5098508734768,172.651215043379,2481808.20372308,5744118.22013753,1571807.29,5182505.52,145.67
CPT_29643_measurement_num_0,-43.5488086316426,172.630850040294,2480180.49833712,5739782.89398937,1570180.36,5178171.82,145.77
CPT_203950_measurement_num_0,-43.5023639185934,172.652136412526,2481879.25306485,5744950.3396411,1571878.29,5183337.32,145.82
CPT_74688_measurement_num_0,-43.5175047160452,172.648403488528,2481584.42265586,5743266.91700583,1571583.62,5181654.54,145.83
CPT_37761_measurement_num_0,-43.4993490169934,172.630997014156,2480168.178696,5745277.97713391,1570167.87,5183664.79,145.83
CPT_32840_measurement_num_0,-43.5552706048095,172.703200659417,2486029.78918771,5739088.15665814,1576027.35,5177477.56,145.85
CPT_33601_measurement_num_0,-43.5685941061746,172.690763539721,2485030.28368073,5737604.23666988,1575028.3,5175994.2,145.86
CPT_157753_measurement_num_0,-43.495524259926,172.646966548681,2481457.94797026,5745708.48131216,1571457.13,5184095.16,145.88
CPT_15142_measurement_num_0,-43.6378387949992,172.568327721475,2475178.90201284,5729867.29822928,1565181.22,5168259.81,145.88
CPT_17242_measurement_num_0,-43.6378387949992,172.568327721475,2475178.90201284,5729867.29822928,1565181.22,5168259.81,145.88
CPT_40643_measurement_num_0,-43.5388805108477,172.62849442697,2479985.25244948,5740885.08703782,1569985.15,5179273.58,145.89
CPT_59736_measurement_num_0,-43.5123987951193,172.644890665186,2481297.99712466,5743832.99348429,1571297.29,5182220.39,145.89
CPT_217363_measurement_num_0,-43.4968593609453,172.650465324806,2481741.55450785,5745561.33828429,1571740.63,5183948.08,145.93
CPT_116406_measurement_num_0,-43.5336092780231,172.645432201461,2481351.75640553,5741476.66026698,1571351.1,5179864.97,145.95
