NZTM_X NZTM_Y Vs30
1884932.35 5823314.51 159.79
1874850.55 5821480.82 159.8
1566411.81 5185714.35 159.82
1566840.07 5177511.99 159.82
1728174 6028205 159.82
1876813.62 5820466.2 159.83
1891073.29 5820213.76 159.83
1746933 5920625 159.84
1570566.67 5180391.86 159.86
1748726 5426646.9 159.86
1828034.86 5881157.52 159.88
1572679 5176292 159.9
1873846.78 5818886.41 159.91
1572210 5204900 159.92
1568858.26 5189220.41 159.93
1884045.13 5775951.67 159.94
1873783.15 5818761.48 159.98
1874320.83 5820804.69 159.99
1571206.29 5187440.91 160.01
1767647.05 5907648.26 160.01
1773729 5896140 160.05
1564325 5166326 160.06
1779318.49 5580950.17 160.06
1872478 5816487 160.07
1882508.8 5775774 160.07
1706325.13 5682769.99 160.1
1934199.83 5619865.76 160.12
1572752 5204808 160.14
1765424.23 5905644.88 160.14
1564423.05 5162174.82 160.16
2059702.11 5753277.17 160.17
1567137.08 5184147.46 160.18
1754070.76 5918668.16 160.18
1889636.05 5820774.38 160.18
1568797.62 5184770.06 160.2
1741311.61 5957318.61 160.24
1875294.26 5824526.04 160.24
1891522.76 5820048.31 160.24
1762162.86 5907856.43 160.29
1880926.77 5780199.28 160.3
1876469.32 5820977.2 160.33
1745928 5912640 160.34
1572964 5204533 160.35
1774943.76 5896442.38 160.35
1763181.5 5920282 160.38
1862073 5828854 160.38
1762282.95 5431337.67 160.39
1620155 6118058 160.4
1720952 6044972 160.4
1762385 5906621 160.4
1835713 5863115 160.4
1607591.05 5434113.87 160.41
1871053.26 5822973.56 160.41
1799505 5823374 160.44
1868439.51 5823949.05 160.44
1882188.93 5779814.66 160.48
2036105.94 5711241.18 160.48
1405519.36 4914751.5 160.5
1639896.39 6107710.72 160.5
1744961.84 5916922.78 160.5
1857377.41 5838750.34 160.51
1567996.26 5184203.01 160.52
1875064.46 5821119.24 160.52
1571167.13 5176380.16 160.53
1572667 5204767 160.54
1773569 5896376 160.54
1889946.89 5776157.43 160.56
1891464.33 5820154.92 160.57
1772193.07 5895113.05 160.58
1562825.27 5160095.02 160.6
2059684.99 5753127.71 160.63
1935646.23 5618579.93 160.64
1884028.99 5775946.9 160.67
1867761.86 5828347.83 160.68
1570101 5186406.99 160.7
1572584 5204704 160.73
1889427.2 5820661.96 160.73
1570476 5179770 160.77
1789023.22 5754440.34 160.79
1575192.45 5184462.61 160.81
1728079.86 5941544.68 160.82
1567746.44 5177574.82 160.83
1571280.31 5175233.57 160.85
1762433 5906388 160.87
1766439.61 5913235.86 160.87
1744988.64 5916758.06 160.88
1746157.23 5920761.59 160.88
1574416.25 5176237.84 160.9
1873405 5821717 160.9
1858482 5845224 160.91
1858527 5845308 160.91
1873797.51 5823442.07 160.93
1876295.09 5822111 160.93
1572509 5204682 160.94
1406162.63 4915073.48 160.95
1881870.73 5779830.99 160.95
1774957.65 5889805.28 160.97
1773626 5896025 160.98
1766926 5917935 161
1936125 5618465 161
1798351.93 5813954.51 161.01
1885190 5774665 161.01
1728057 5941552.35 161.02
1897551.37 5812419.72 161.03
1741588.69 5983635.6 161.07
1798723.78 5824184.93 161.08
1765925 5906414 161.09
1765865 5908690 161.1
1798590 5813518 161.1
1877482.52 5819520.58 161.15
1752939.46 5931154.78 161.16
1872838.39 5822122.83 161.16
1570513.38 5187733.66 161.17
1884243.82 5785253.5 161.17
1572144 5204286 161.19
1775641.96 5893465.63 161.21
1932984.63 5618977.4 161.22
1875995.71 5817143.18 161.24
1768630.93 5885884.56 161.26
1799641 5823666 161.26
1787847 5850706 161.28
1875207 5822197 161.3
1571827.49 5192805.73 161.32
1568999.8 5189337.9 161.33
1728418 6027977 161.34
1873809.81 5818843.28 161.34
1879508 5824771.13 161.34
1572352 5204945 161.35
1718007.87 6051391.73 161.36
1755398.94 5913003.92 161.37
1883571.43 5773734.38 161.4
1567322.93 5174661.8 161.45
1877263 5821802 161.45
1881222.86 5826283.8 161.45
1746626 5967835.7 161.46
1874814.34 5820045.22 161.47
1572790 5204484 161.49
1877119.46 5819057.61 161.5
1759840.87 5436585.65 161.51
1762362 5906601 161.51
1754777.99 5914268.07 161.52
1857624.5 5839343.38 161.52
1762406 5906607 161.54
1804632.99 5813776.81 161.58
1889474.5 5820040.06 161.58
2036964.63 5710256.39 161.58
1799799 5823241 161.59
1571491.9 5182536.04 161.6
1729940.84 6026275.71 161.6
1572930.88 5203959.91 161.61
1572931.12 5203959.58 161.61
1798734 5824157 161.63
1761992.17 5907462.83 161.66
1728061.7 5941591.45 161.67
1736759.03 5929831.18 161.68
1854825 5851110 161.69
1745064.35 5918314.39 161.7
1867556.21 5828066.31 161.71
1789791 5839395 161.72
1746615.8 5970734.5 161.73
1774734.42 5578492.01 161.73
1857840 5838770 161.77
1858026 5838714 161.77
1882836.37 5776663.11 161.78
1570331.8 5189271.8 161.79
1746211.25 5920850.01 161.79
1887924.31 5773427.71 161.8
2059729.76 5753296.76 161.81
1571273.6 5187496.06 161.82
1570511 5188568 161.84
1804356.29 5794046.44 161.84
1881789.63 5781379.82 161.87
2038160.47 5707287.1 161.87
1572428.79 5204707.94 161.88
1717934.99 6051493.65 161.89
1572824 5204632 161.91
1867921.66 5829629.11 161.91
1572052.92 5204240.12 161.93
1754631.94 5912736.39 161.93
1748175.68 5925726.98 161.94
1880703.29 5780175.11 161.95
2038951.59 5707824.84 161.96
1883962.62 5518711.87 161.98
1753998.83 5915929.36 162
1936519.88 5617953.96 162.02
1769350 5913247.6 162.03
1748409 5972112 162.06
1771536.97 5895215.12 162.06
1771873.12 5889793.26 162.06
1772322.57 5898086.45 162.06
1876348.04 5818612.13 162.06
1876374.01 5815375.34 162.08
1760018.02 5436816.57 162.09
1857561 5842631 162.09
1934207.9 5620192.42 162.09
1571397.06 5190707.99 162.13
1744908.97 5917075.76 162.19
1571909 5181247.05 162.2
1746398.4 5968940.2 162.21
1756670.74 5921516.45 162.21
1874297.51 5821289.55 162.21
1877527.83 5820346.48 162.21
1889967.22 5775915.49 162.21
1759629.57 5908250.82 162.22
1762364 5906676 162.23
1572652.01 5182613.41 162.25
1799719 5813540 162.26
1572318.83 5204634.97 162.28
1802450.86 5821443.43 162.28
1857594.73 5838515.7 162.29
1890904.33 5814561.29 162.29
1571267.33 5176392.09 162.3
1569396.07 5175625.21 162.31
1640478.03 6107246.79 162.31
1873351 5821744 162.31
1717959.66 6051374.62 162.33
1948657.96 5790062.3 162.34
1774634.12 5890030.84 162.35
1574619.85 5178420.84 162.37
1766189 5916732 162.4
1887630.82 5773958.78 162.42
1982604.22 5669183.7 162.42
1761679.43 5907821.09 162.45
1762442 5906438 162.45
1640372.94 6107367.03 162.47
1570734.14 5187648.63 162.49
1748704 5972143 162.49
1863885.15 5849717.91 162.5
1934286.14 5620008.52 162.51
1756616.88 5921563.64 162.52
1889664.28 5819600.36 162.53
1570253.21 5180593.64 162.55
1857951 5842970 162.56
1879477.9 5819692.72 162.56
1570882 5187026 162.57
1717523.3 6051907.47 162.58
1795959 5818267 162.6
1571010.7 5176645 162.62
1792880 5814729 162.62
1876346.5 5822222.61 162.65
1745057.72 5916705.19 162.66
1876727.66 5821999.87 162.66
1877502.68 5825175.25 162.66
1879409.49 5820018.76 162.66
1881031.79 5819672.82 162.68
1857589.96 5839316.35 162.69
1745105.86 5918311.9 162.7
1568966.16 5178233.88 162.71
1888182.55 5774341.57 162.71
1932398.9 5620008.96 162.71
1756604.56 5921507.88 162.72
1928593 5791116 162.74
1745627.68 5918734.54 162.76
1880642.79 5780150.64 162.78
1890250.34 5820956.22 162.81
1890914.02 5816670.34 162.84
1857943 5838737 162.85
1747987.93 5925450.6 162.87
1759450.26 5908264.94 162.87
1891520.37 5820094.66 162.87
1573157.98 5203557.79 162.88
1572159.13 5177023.45 162.89
1774934.01 5889875.12 162.9
1882228.07 5775107.41 162.9
1887863.73 5773452.08 162.9
1623835.03 5431024.35 162.91
1866483 5827755 162.91
1895657.87 5817010.26 162.91
1818872.1 5804544 162.92
1569708.98 5179909.24 162.93
