File Key,,Start Depth,End Depth,Depth,Measured Vs,Qc,Fs,u,Ic,Subset_Region,Subset_Geology,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,A07-H,A07-P,R09,Mc15,Mc18
SCPT,57360,0.5,1,0.75,71,1.722382192,0.076469139,0.028623259,2.917159954,2,1,116.7924753,142.1821438,295.4898843,70.53757536,177.383765,-0.497718767,-0.694429061,-1.425954727,0.006534325,-0.915635672
SCPT,57360,1,1.5,1.25,83,2.501394802,0.129853388,0.047711408,2.833356902,2,1,140.8514361,171.4713135,299.4463276,90.09842155,217.840452,-0.528865083,-0.725575377,-1.283094587,-0.082062038,-0.964922316
SCPT,57360,1.5,2,1.75,81,4.200650426,0.052693673,0.074576674,2.267123041,2,1,147.1443704,179.132277,222.5846688,99.06876217,212.0704094,-0.596965062,-0.793675356,-1.010858409,-0.201365022,-0.962469184
SCPT,57360,2,2.5,2.25,99,4.393608349,0.022863397,0.061746989,2.055003323,2,1,141.3028372,172.0208453,184.9694261,99.84137309,202.9500141,-0.355785519,-0.552495813,-0.625070697,-0.008462807,-0.717839862
SCPT,57360,2.5,3,2.75,131.5,2.925480662,0.023661727,0.009220686,2.295377992,2,1,136.3742318,166.0208039,183.5512092,99.89024279,213.9114125,-0.03639596,-0.233106254,-0.333486846,0.27493484,-0.486555117
SCPT,57360,3,3.5,3.25,126.5,3.555148138,0.024486905,0.011072047,2.168348383,2,1,142.8309878,173.8812025,183.0881081,107.9529548,224.5206796,-0.121419719,-0.318130014,-0.369725194,0.15854678,-0.573725509
SCPT,57360,3.5,4,3.75,160,9.801625651,0.055686936,0.011330121,1.768239754,2,1,180.0385935,219.1774182,214.1331495,139.1972626,261.0345566,-0.117997421,-0.314707715,-0.2914242,0.139281733,-0.489478984
SCPT,57360,4,4.5,4.25,167.5,12.92598059,0.074996983,0.018378613,1.677253397,2,1,194.3856699,236.6434243,227.8225684,153.757034,280.6727245,-0.148860824,-0.345571118,-0.307583766,0.085609696,-0.516205958
SCPT,57360,4.5,5,4.75,175.5,11.3507644,0.068483696,0.024844557,1.732964589,2,1,192.8840198,234.8153284,222.8611396,154.4918671,285.0455687,-0.094450031,-0.291160326,-0.238909842,0.127497588,-0.485010015
SCPT,57360,5,5.5,5.25,150.5,12.57795734,0.082144084,0.03104353,1.717972613,2,1,201.7715783,245.6349648,231.7452407,163.6815951,299.5994127,-0.293173173,-0.489883467,-0.431675584,-0.083959963,-0.688483207
SCPT,57360,5.5,6,5.75,162.5,8.217998195,0.073409949,0.030801484,1.943604724,2,1,193.0142156,234.9738277,221.0564226,156.4376077,301.1945923,-0.172085841,-0.368796135,-0.307739973,0.038020744,-0.61707854
SCPT,57360,6,6.5,6.25,155.5,4.221803628,0.060294174,0.036522089,2.274823065,2,1,172.9326759,210.5267359,201.6719932,143.113778,298.3847179,-0.106256631,-0.302966925,-0.25999685,0.083005767,-0.651737922
SCPT,57360,6.5,7,6.75,156.5,3.944092437,0.047028089,0.040391379,2.256416573,2,1,168.6145474,205.2698838,189.9714643,141.8337749,294.4435236,-0.074559315,-0.27126961,-0.193817863,0.098400238,-0.632031204
SCPT,57360,7,7.5,7.25,132.5,1.015547374,0.024853348,0.080018581,2.943877779,2,1,126.121081,153.5387073,143.6274109,112.8711513,273.2130395,0.04934024,-0.147370054,-0.080639877,0.160335731,-0.72366921
SCPT,57360,7.5,8,7.75,143,3.360537717,0.046398058,0,2.347796389,2,1,166.8523342,203.1245807,183.6950839,143.8762769,304.0412692,-0.154264564,-0.350974859,-0.2504326,-0.006109112,-0.754318816
SCPT,57360,8,8.5,8.25,157.5,3.424121723,0.040319898,0.019856125,2.313513801,2,1,167.3379227,203.715732,179.0541513,145.097619,303.3511839,-0.060589799,-0.257300093,-0.128262823,0.082018708,-0.655465699
SCPT,57360,8.5,9,8.75,163.5,5.29007652,0.052496713,0,2.123076539,2,1,185.2371584,225.5061059,194.969878,160.5059168,319.6818488,-0.124823951,-0.321534245,-0.176032084,0.018482184,-0.670513288
SCPT,57360,9,9.5,9.25,169,4.713418436,0.046324418,0.016500127,2.154771754,2,1,180.7227591,220.0103155,187.6556247,158.6655099,318.7126925,-0.067065425,-0.263775719,-0.104709785,0.06310044,-0.634391332
SCPT,57360,9.5,10,9.75,171.5,13.44957249,0.101298681,0.018020933,1.734697227,2,1,225.7722093,274.8531243,239.8897345,199.8127101,360.3579096,-0.274943301,-0.471653595,-0.335596111,-0.152797212,-0.742514464
SCPT,57360,10,10.5,10.25,171,13.63479694,0.113513307,0.062787639,1.755542002,2,1,230.8297168,281.01009,244.3851703,204.9403747,370.4309164,-0.300016726,-0.49672702,-0.357081991,-0.181055525,-0.77300341
SCPT,57360,10.5,11,10.75,172,10.9968465,0.111836222,0.078731252,1.881665714,2,1,227.1756669,276.5616814,236.9045225,201.0949145,373.6070287,-0.278229104,-0.474939398,-0.320162725,-0.156282531,-0.775710043
SCPT,57360,11,11.5,11.25,167,9.633199604,0.082293927,0.071094931,1.879330522,2,1,216.5643121,263.6435104,220.4169766,194.7867467,362.804195,-0.259893745,-0.456604039,-0.277527288,-0.153911541,-0.775869469
SCPT,57360,11.5,12,11.75,187,11.26908205,0.093490156,0.07344964,1.818806097,2,1,224.8624246,273.7455604,229.1373333,203.8083442,373.3885807,-0.184380152,-0.381090446,-0.203212916,-0.086071446,-0.691511032
SCPT,57360,12,12.5,12.25,182,8.930755709,0.086068,0.09637392,1.936446198,2,1,218.242286,265.6862613,218.0842884,198.0306621,372.672049,-0.181599162,-0.378309457,-0.180874945,-0.084415191,-0.716692121
SCPT,57360,12.5,13,12.75,204,11.1570622,0.094117242,0.110483461,1.826100403,2,1,227.0272643,276.3810174,227.7945088,208.3094196,381.4955209,-0.106950123,-0.303660418,-0.110323952,-0.020904575,-0.625979116
SCPT,57360,13,13.5,13.25,194,11.98683634,0.116256717,0.112566467,1.839210796,2,1,236.2132758,287.5639879,237.6583179,216.5003868,396.1664166,-0.196876949,-0.393587243,-0.202975844,-0.109734175,-0.713976208
SCPT,57360,13.5,14,13.75,205,9.250381581,0.084691442,0.049519646,1.912441543,2,1,222.0251146,270.2914438,216.5764114,205.2622821,383.0302424,-0.079780525,-0.276490819,-0.054933445,-0.001278607,-0.625103969
SCPT,57360,14,14.5,14.25,177,8.869856686,0.085083593,0.10350534,1.939668675,2,1,222.0988124,270.3811629,214.3955522,206.1411058,386.6221099,-0.226972651,-0.423682945,-0.191672951,-0.152411181,-0.781298023
SCPT,57360,14.5,15,14.75,180,7.656907986,0.09626743,0.128082122,2.060295005,2,1,222.2791748,270.6007346,212.3036981,205.8670426,395.8937751,-0.210977285,-0.407687579,-0.165060937,-0.134273685,-0.78818908
SCPT,57360,15,15.5,15.25,177,9.508096726,0.074452211,0.121156212,1.861469683,2,1,221.7137389,269.9123777,211.1247278,209.84255,386.751505,-0.225237353,-0.421947647,-0.176299353,-0.170207755,-0.781632648
SCPT,57360,15.5,16,15.75,228,10.86468226,0.099162409,0.136766738,1.857459711,2,1,234.1870371,285.0972626,224.857005,221.0361603,405.1249436,-0.026774471,-0.223484765,0.013880962,0.03101932,-0.574849893
SCPT,57360,16,16.5,16.25,205,14.10793364,0.13554374,0.1427295,1.78614151,2,1,251.5572747,306.2436387,246.3738929,237.5971916,426.0985401,-0.204660717,-0.401371011,-0.183840293,-0.147566789,-0.731660655
SCPT,57360,16.5,17,16.75,213,14.36369258,0.165485841,0.137465312,1.831308941,2,1,260.1704912,316.7292936,254.5640837,244.2422693,440.7258109,-0.200044986,-0.39675528,-0.178260441,-0.136868474,-0.727130772
SCPT,57360,17,17.5,17.25,195,5.615206073,0.110216638,0.072750675,2.266154672,2,1,218.496316,265.9955152,198.3980855,207.9630278,418.251276,-0.113769596,-0.31047989,-0.017275987,-0.064360754,-0.763082832
SCPT,57360,17.5,18,17.75,199,3.656315035,0.095322923,0.076493474,2.511487511,2,1,203.280917,247.4724207,177.3958655,194.7038763,412.100904,-0.021284025,-0.217994319,0.114921061,0.021825004,-0.727963407
SCPT,57360,18,18.5,18.25,182,2.134554954,0.04322647,0.262987445,2.628670713,2,1,170.0000235,206.9565504,135.0524444,170.0460078,372.9751934,0.068208112,-0.128502183,0.298343507,0.067937653,-0.717505225
SCPT,57360,18.5,19,18.75,191,7.927852848,0.079902782,0.04557429,1.961074721,2,1,221.9810647,270.2378178,200.1438215,217.7886454,410.727711,-0.150318656,-0.34702895,-0.046762788,-0.131251648,-0.765657063
SCPT,57360,19,19.5,19.25,240,20.29160005,0.089157168,0.028435447,1.444394965,2,1,244.5742337,297.7425454,245.2299387,253.4778157,422.3329884,-0.018879954,-0.215590248,-0.021557373,-0.054637384,-0.565155152
SCPT,57360,19.5,20,19.75,237,26.18135706,0.149404737,0.049436804,1.435536235,2,1,269.8236593,328.4809765,277.128681,276.4293931,455.4494278,-0.129708491,-0.326418785,-0.15642181,-0.153895288,-0.653224544
SCPT,14548,0,4,2,195.77,2.717907053,0.023732116,0.007182505,2.338798496,2,3,124.9448863,152.1068181,208.5279286,83.50215187,183.4128215,0.44906777,0.252357476,-0.063132482,0.852068098,0.065201033
SCPT,14548,4,6,5,267.49,8.055076518,0.096666578,0,2.039324067,2,3,196.5313746,239.2555865,237.8554093,153.2229358,300.7638443,0.308260097,0.111549802,0.117419217,0.557188225,-0.117243204
SCPT,14548,6,8,7,507.81,7.251711496,0.12975424,0,2.176735633,2,3,208.7161698,254.0892502,243.3695476,170.004593,340.3364448,0.889132072,0.692421778,0.735526302,1.094281907,0.40017269
SCPT,14548,8,10,9,379.46,5.360913599,0.133850161,0.011960114,2.371599381,2,3,206.5839339,251.4934848,229.3851574,175.0785306,363.4882458,0.6080424,0.411332106,0.503346689,0.77351457,0.043002229
SCPT,14548,10,12,11,231.87,2.948991246,0.0597734,0.095368893,2.515469532,2,3,176.0717113,214.3481702,177.0504016,158.9027167,342.9270999,0.275285507,0.078575213,0.269742423,0.3778847,-0.391341018
SCPT,14548,12,14,13,383.6,2.052636012,0.023470758,0.03117065,2.512743942,2,3,155.7742769,189.6382501,139.8432461,146.220541,315.9903317,0.901192327,0.704482032,1.009078218,0.964484306,0.193888726
SCPT,14548,14,16,15,353.85,4.044170956,0.096976393,0.582792718,2.457289896,2,3,200.9918266,244.6857019,187.9386928,188.7459942,396.0163264,0.565608851,0.368898557,0.632757287,0.628470929,-0.112582344
SCPT,14548,16,18,17,622.57,4.148594506,0.076363179,0.650554375,2.381970734,2,3,200.0221492,243.5052251,176.8399076,192.3086954,396.3533811,1.135427966,0.938717671,1.258611225,1.174754202,0.451549882
SCPT,14548,18,20,19,291.98,10.05695721,0.351507018,0.056677533,2.293913454,2,3,281.6302286,342.8541913,267.5793009,255.7759085,500.4554532,0.036090342,-0.160619952,0.087269332,0.132383603,-0.538833283
SCPT,14548,20,22,21,377.61,4.390126817,0.121641915,0.030413174,2.471511549,2,3,220.2644443,268.1480191,184.3428442,213.7323148,444.4290777,0.539033073,0.342322779,0.717064609,0.569137551,-0.16292857
SCPT,14548,22,24,23,545.77,6.028497168,0.185383521,0.015634957,2.405583602,2,3,246.4372424,300.010556,206.5785236,237.6225083,481.5232311,0.795090275,0.598379981,0.971517042,0.831514327,0.125243164
SCPT,57353,0,0.5,0.25,52,2.506828298,0.072988455,0.003160026,2.659160748,2,1,108.0833197,131.5796936,351.0953654,54.13492691,132.7550891,-0.73165869,-0.928368984,-1.909814164,-0.040235858,-0.937262276
SCPT,57353,0.5,1,0.75,64,1.05030868,0.029171661,0.011613922,2.959250185,2,1,97.28901947,118.4388063,239.1793541,60.63870785,155.9250888,-0.418803047,-0.615513341,-1.318330623,0.053949651,-0.890492608
SCPT,57353,1,1.5,1.25,90.2,0.716613999,0.023104242,0.026478148,3.133734166,2,1,94.37070776,114.886079,204.9519793,65.20934105,172.4455888,-0.045201299,-0.241911593,-0.820746277,0.324426701,-0.648052332
SCPT,57353,1.5,2,1.75,88,0.902661126,0.016259616,0.010361437,2.889427381,2,1,99.8853146,121.5995134,181.1128558,72.00968602,179.9509528,-0.126685859,-0.323396154,-0.721783535,0.200536176,-0.715347515
SCPT,57353,2,2.5,2.25,104,5.764381089,0.0203575,0.068997132,1.876047733,2,1,144.7205324,176.1815177,181.5845799,102.8272226,200.3123189,-0.330413621,-0.527123915,-0.557330651,0.01134077,-0.655486844
SCPT,57353,2.5,3,2.75,149,5.262445187,0.024988353,0.027833096,1.9651608,2,1,149.2582807,181.705733,186.3938409,109.1963318,216.3718411,-0.001731927,-0.198442221,-0.223915553,0.310798834,-0.373052108
SCPT,57353,3,3.5,3.25,133,2.380012329,0.014143484,0.013358545,2.315598449,2,1,129.2354929,157.3301653,166.6729296,97.35384296,208.4383441,0.028712862,-0.167997433,-0.225684258,0.311996922,-0.449294158
SCPT,57353,3.5,4,3.75,140.6666667,4.110387913,0.02206306,0.024736017,2.083848405,2,1,148.3019953,180.5415595,179.3421546,113.7390569,229.9501764,-0.052857678,-0.249567973,-0.242902434,0.212486175,-0.491469636
SCPT,57353,4,4.5,4.25,122,5.839540066,0.026268891,0.014169875,1.913672293,2,1,160.2190442,195.0492712,185.1687137,125.6978364,243.454785,-0.272520861,-0.469231155,-0.417246331,-0.029859859,-0.690910193
SCPT,57353,4.5,5,4.75,141,5.570560672,0.024110299,0.028054282,1.924045357,2,1,160.2374703,195.0717029,181.68157,127.8676038,247.563584,-0.127897014,-0.324607308,-0.253495649,0.097764507,-0.562907564
SCPT,57353,5,5.5,5.25,132,6.22314348,0.031836361,0.042849907,1.916482719,2,1,168.7744561,205.4645552,189.5758851,136.7181636,263.4903059,-0.245761321,-0.442471616,-0.361987471,-0.035119685,-0.691214655
SCPT,57353,5.5,6,5.75,147.6666667,5.999213531,0.033021317,0.048498049,1.94549386,2,1,170.546074,207.6213075,189.4530367,139.9144964,270.8513033,-0.144048008,-0.340758302,-0.249183685,0.053925985,-0.606612493
SCPT,57353,6,6.5,6.25,136,7.234933098,0.035879381,0.052981317,1.853343692,2,1,177.5322712,216.1262432,193.6761447,148.1349643,280.0281899,-0.266497516,-0.46320781,-0.353532521,-0.085468894,-0.722235391
SCPT,57353,6.5,7,6.75,164.6666667,8.817084859,0.051567014,0.056308596,1.816183257,2,1,190.268924,231.6317336,207.655538,160.4764468,299.7707861,-0.144515232,-0.341225527,-0.231957411,0.025776045,-0.599094908
SCPT,57353,7,7.5,7.25,160,9.847184769,0.059363707,0.059905871,1.783567453,2,1,197.2474062,240.1272771,213.9189348,168.2830466,311.1430077,-0.209284994,-0.405995289,-0.290423319,-0.050473548,-0.665078823
SCPT,57353,7.5,8,7.75,160.3333333,8.479470923,0.061597009,0.066120712,1.880824659,2,1,196.7531685,239.5255964,212.1524397,168.3004952,317.617789,-0.20469501,-0.401405304,-0.28005009,-0.048496062,-0.683593757
SCPT,57353,8,8.5,8.25,152.5,5.003217208,0.037966483,0.066292347,2.071463275,2,1,175.7050549,213.901806,185.7110179,152.4787167,301.8345836,-0.141642169,-0.338352463,-0.197027202,0.000139573,-0.682714535
SCPT,57353,8.5,9,8.75,175.5,10.4064565,0.073534718,0.075544713,1.803748001,2,1,208.4716112,253.7915267,221.6595246,181.9499937,335.6751888,-0.172163832,-0.368874126,-0.233503489,-0.036092847,-0.648504949
SCPT,57353,9,9.5,9.25,188.3333333,11.48533644,0.078059765,0.077967991,1.759348182,2,1,213.3585299,259.740819,225.659309,188.3614729,343.338086,-0.124760547,-0.321470841,-0.180812937,-0.000149403,-0.600502193
SCPT,57353,9.5,10,9.75,198.3333333,12.43744573,0.100966292,0.078325752,1.779569878,2,1,223.9516754,272.6368222,237.6448016,197.5203786,359.9954965,-0.121481177,-0.318191471,-0.180828012,0.004107355,-0.596142405
SCPT,57353,10,10.5,10.25,168,10.72857071,0.081964732,0.087280581,1.813581312,2,1,216.2374899,263.2456399,224.9142381,192.7073619,354.4477856,-0.252413315,-0.449123609,-0.291755186,-0.137208799,-0.746597065
SCPT,57353,10.5,11,10.75,161,2.81730898,0.04691889,0.133272956,2.433456904,2,1,165.9266238,201.997629,165.0784954,153.7886033,330.3679518,-0.030141301,-0.226851595,-0.025016725,0.045825411,-0.718802674
SCPT,57353,11,11.5,11.25,160.5,0.896787264,0.012860253,0.342036555,2.858270333,2,1,119.3472958,145.2923601,103.2688684,118.6249127,280.057318,0.296256248,0.099545954,0.440957982,0.302327422,-0.556700347
SCPT,57353,11.5,12,11.75,185,3.110931445,0.035063315,0.049501019,2.308531795,2,1,166.7042276,202.944277,159.8465824,156.0901375,325.5785379,0.104134675,-0.092575619,0.14614133,0.16992218,-0.565247891
