NZTM_X,NZTM_Y,Vs30,xcoord,ycoord
1982074.2,5670457.92,187.65,177.413406,-39.03143501
1982055.88,5670464.93,173.14,177.413191,-39.03138003
1982015.86,5670443.62,189.24,177.412742,-39.03158896
1981914.04,5677773.48,177.64,177.4074735,-38.96577741
1981902.56,5677809.21,184.27,177.4073215,-38.96546138
1981898.91,5677839.55,177.77,177.4072625,-38.96519038
1981846.73,5677894.28,197.13,177.4066315,-38.96472137
1981829.6,5677920.82,196.23,177.4064195,-38.96449037
1981824.43,5677937.99,201.05,177.4063505,-38.96433835
1980690.28,5677790.91,166.3,177.3933798,-38.9661529
1980664.97,5677804.82,172.93,177.3930808,-38.96603891
1980638.04,5786250.77,204.25,177.3339111,-37.99155765
1980593.8,5786255.4,206.11,177.3334062,-37.99153458
1980591.71,5677815.26,169.67,177.3922318,-38.9659769
1979597.58,5782619.1,170.43,177.3240158,-38.02463173
1979597.28,5782638.37,178.63,177.3240022,-38.02445867
1978963.61,5784388.96,201.85,177.3158785,-38.00899073
1978954.98,5784401.35,197.5,177.3157739,-38.00888298
1978519.3,5782748.59,164.95,177.3116968,-38.0239187
1978493.84,5782749.99,173.7,177.3114068,-38.02391674
1977697.74,5783415.48,178.53,177.3020117,-38.01826764
1977696.97,5783398.81,190.51,177.3020118,-38.01841778
1977270.88,5784556.24,205.25,177.2965627,-38.00819273
1977266.21,5784538.87,208.51,177.2965188,-38.00835079
1977111,5783758,187.59,177.295166,-38.01543338
1977110,5783709,193.89,177.2951804,-38.01587419
1977108.56,5784559.94,219.39,177.294717,-38.00822696
1977097.7,5784569.55,201.66,177.2945886,-38.0081451
1977090,5783737,180.84,177.2949385,-38.01563085
1977088.23,5784432.23,201.73,177.2945531,-38.0093832
1977085,5783682,186.93,177.2949106,-38.01612724
1977073.37,5784429.13,191.2,177.294386,-38.00941724
1977073.37,5784429.13,231.59,177.294386,-38.00941724
1977061,5784433.33,201.05,177.2942433,-38.00938463
1977061,5784433.33,319.23,177.2942433,-38.00938463
