easting,northing,Vs30,uncertainty,station,q,gid,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv
1937051.13536778,5621686.03218132,268,0.5,NAMS,3,6,239,0.31248862,10,334.44003,0.46992904
1623759.67147889,5431133.84512269,210,0.5,NCBS,3,4,240,0.44912073,16,238.32666,0.38188857
1933318.44254702,5620735.57260201,162,0.5,NCDS,3,3,183.16321,0.2711188,15,227.4589,0.32270417
1935057.33832275,5619744.70983993,200,0.5,NCHS,3,3,175.85156,0.2711188,15,227.4589,0.32270417
1622963.91930089,5429256.93826988,1000,0.5,NELS,3,12,617.27924,0.48799092,9,475.2725,0.46632352
1936720.72964377,5621981.7624788,800,0.5,NGHS,3,4,240,0.44912073,9,475.2725,0.46632352
1623188.65650164,5431618.46885411,460,0.5,NLMS,3,2,418,0.1874998,9,475.2725,0.46632352
1785737.13955774,5395072.83377425,900,0.5,NMPS,3,6,239,0.31248862,2,617.6673,0.47290206
1631809.16021275,5437072.68745741,1100,0.5,NNZ,3,12,617.27924,0.48799092,6,442.75815,0.44454366
1692865.2150042,5675747.53260797,350,0.5,NPCS,3,13,304.0157,0.4836529,11,564.5722,0.4690416
1252086.31310228,5119389.89983654,210,0.5,NSBS,3,4,240,0.44912073,16,238.32666,0.38188857
1936784.14675469,5621565.26159221,900,0.5,NSPS,3,6,234.15837,0.31248862,6,442.75815,0.44454366
1786202.74720221,5393437.51718279,800,0.5,NWFS,3,7,351.6583,0.47477344,6,442.75815,0.44454366
1245958.46045843,4830367.32409282,210,0.5,NZAS,3,8,376.50534,0.41044065,16,238.32666,0.38188857
1440214.51528248,5003963.02420657,312,0.5,OAMS,3,4,240,0.44912073,16,238.32666,0.38188857
1414502.33799197,5009464.67250496,1000,0.5,ODZ,3,15,716.57263,0.483527,5,648.8941,0.48938733
1572528.84192027,5189755.33256126,210,0.5,OHSS,3,10,197,0.26063582,15,227.4589,0.32270417
1976594.94274035,5783926.49083318,210,0.5,OPCS,3,4,240,0.44912073,16,238.32666,0.38188857
1673567.4689642,5632933.49468437,270,0.5,OPSS,3,12,617.27924,0.48799092,16,238.32666,0.38188857
1572885.03642006,5177363.44516079,210,0.5,OPWS,3,10,197,0.26063582,15,227.4589,0.32270417
1807689.98139657,5634120.74378244,350,0.5,ORCS,3,12,617.27924,0.48799092,16,238.32666,0.38188857
1780973.25015206,5486242.67953406,210,0.5,OTKS,3,4,240,0.44912073,13,272.588,0.3933979
1768843.26977793,5468819.16783774,200,0.5,PAPS,3,8,376.50534,0.41044065,16,238.32666,0.38188857
1579869.49089227,5176087.79552046,760,0.5,PARS,3,15,716.57263,0.483527,7,677.3067,0.4938305
1754938.04159001,5444226.32426121,900,0.5,PFAS,3,12,617.27924,0.48799092,13,272.588,0.3933979
1906968.5240993,5532438.0068323,210,0.5,PGFS,3,4,240,0.44912073,16,238.32666,0.38188857
1759565.51875699,5431447.0274249,1000,0.5,PHFS,3,12,617.27924,0.48799092,255,NA,NA
1759546.41886217,5431509.30941339,1000,0.5,PHHS,3,12,617.27924,0.48799092,255,NA,NA
1371990.78730168,5102957.7011752,330,0.5,PKIS,3,11,380.89282,0.5033011,5,648.8941,0.48938733
1821457.14608125,5530247.73349895,270,0.5,PNBS,3,4,500,0.44912073,16,238.32666,0.38188857
1820183.19721111,5528739.38943468,210,0.5,PNMS,3,4,500,0.44912073,16,238.32666,0.38188857
1823737.7398422,5532255.8220528,270,0.5,PNRS,3,4,500,0.44912073,16,238.32666,0.38188857
1753745.32808774,5445755.63257185,330,0.5,POKS,3,6,235.70926,0.31248862,10,334.44003,0.46992904
1748637.57650758,5429504.89386967,1000,0.5,POTS,3,2,418,0.1874998,2,617.6673,0.47290206
1753265.53370106,5445486.91787627,1000,0.5,PWES,3,12,617.27924,0.48799092,7,677.3067,0.4938305
1685684.19007115,5429696.40703779,270,0.5,QCCS,3,7,351.6583,0.47477344,9,475.2725,0.46632352
1258360.54447534,5004320.49716789,350,0.5,QTPS,3,6,229.97609,0.31248862,10,334.44003,0.46992904
1578407.00292057,5177189.85616156,800,0.5,RCBS,3,8,376.50534,0.41044065,7,677.3067,0.4938305
1652488.8554197,5401135.93404384,270,0.5,RCS1,3,4,500,0.44912073,9,475.2725,0.46632352
1506126.48136553,5336309.34938188,270,0.5,RDCS,3,4,500,0.44912073,13,272.588,0.3933979
1521355.3617328,5155267.59463953,210,0.5,RKAC,3,10,500,0.26063582,15,227.4589,0.32270417
1550041.16168885,5173164.15625987,210,0.5,ROLC,3,10,500,0.26063582,15,227.4589,0.32270417
1885243.99789063,5774067.77876301,210,0.5,ROPS,3,4,500,0.44912073,16,238.32666,0.38188857
1891855.45009824,5740283.86513918,210,0.5,RPCS,3,15,716.57263,0.483527,16,238.32666,0.38188857
1173159.00537155,4874701.18301344,270,0.5,RRKS,3,13,304.0157,0.4836529,14,262.98834,0.40245143
1951281.20039292,5770207.34230078,270,0.5,RUAS,3,13,304.0157,0.4836529,10,334.44003,0.46992904
1568975.03717403,5182838.4858648,210,0.5,SACS,3,10,212.83176,0.26063582,16,238.32666,0.38188857
1539867.93862562,5149101.99721878,210,0.5,SBRC,3,10,197,0.26063582,16,238.32666,0.38188857
1593604.65580678,5246003.66992949,270,0.5,SCAC,3,7,351.6583,0.47477344,10,334.44003,0.46992904
1753785.98822683,5423374.41751353,210,0.5,SEAS,3,6,239,0.31248862,255,NA,NA
1689605.3042698,5386048.23389617,270,0.5,SEDS,3,4,240,0.44912073,10,334.44003,0.46992904
1759379.84963424,5432080.32031091,210,0.5,SEVS,3,2,242,0.1874998,255,NA,NA
1521096.39775481,5195286.14721393,270,0.5,SHFC,3,4,500,0.44912073,16,238.32666,0.38188857
1532469.51426852,5312749.79659502,465,0.5,SJFS,3,4,500,0.44912073,9,475.2725,0.46632352
1544985.04425888,5163982.56862013,210,0.5,SLRC,3,10,500,0.26063582,16,238.32666,0.38188857
1546133.69394939,5209858.15305214,270,0.5,SMHS,3,4,500,0.44912073,16,238.32666,0.38188857
1742659.65522521,5425567.48276182,1000,0.5,SNZO,3,12,617.27924,0.48799092,7,677.3067,0.4938305
1760638.80993749,5436790.70152472,300,0.5,SOCS,3,4,240,0.44912073,16,238.32666,0.38188857
1513179.35475494,5201096.05532309,270,0.5,SPFS,3,4,500,0.44912073,15,227.4589,0.32270417
1513270.45477895,5201227.30402612,270,0.5,SPRS,3,4,500,0.44912073,16,238.32666,0.38188857
1570992.55264634,5182084.47241361,150,0.5,STAS,3,1,168.27914,0.29493025,16,238.32666,0.38188857
1580361.56660728,5175943.51341353,1000,0.5,SUMS,3,15,716.57263,0.483527,5,648.8941,0.48938733
1559114.98923837,5198035.17600491,270,0.5,SWNC,3,4,441.565,0.44912073,16,238.32666,0.38188857
1303936.99727178,4839051.28634974,400,0.5,SYZ,3,4,240,0.44912073,9,475.2725,0.46632352
1186821.64296867,4957179.69695137,297.5,0.5,TAFS,3,4,500,0.44912073,16,238.32666,0.38188857
1763954.66498335,5439376.20044904,250,0.5,TAIS,3,4,240,0.44912073,15,227.4589,0.32270417
2063181.0521507,5739498.42397358,210,0.5,TBAS,3,6,239,0.31248862,16,238.32666,0.38188857
1878298.75559403,5822479.28476558,230,0.5,TBCS,3,15,716.57263,0.483527,13,272.588,0.3933979
2073578.28309412,5821305.6896849,210,0.5,TDHS,3,6,233.22202,0.31248862,16,238.32666,0.38188857
1749133.80125538,5427454.22772121,266.67,0.1,TEPS,1,2,418,0.1874998,255,NA,NA
1749334.47258227,5429133.8676537,274,0.1,TFSS,1,2,348.56216,0.1874998,11,564.5722,0.4690416
1839759.09373232,5604027.37761174,425,0.5,THHS,3,4,500,0.44912073,8,604.2022,0.47762427
1840268.82109711,5604365.830312,270,0.5,THPS,3,13,304.0157,0.4836529,11,564.5722,0.4690416
1592120.79058109,5376591.1199437,1000,0.5,THZ,3,4,500,0.44912073,2,617.6673,0.47290206
1396446.69743116,5123513.15234242,210,0.5,TKAS,3,2,418,0.1874998,2,617.6673,0.47290206
1788403.2504184,5755059.78403622,210,0.5,TKHS,3,4,500,0.44912073,14,262.98834,0.40245143
1383141.60111769,4894147.08046445,330,0.5,TMBS,3,13,304.0157,0.4836529,16,238.32666,0.38188857
1826184.90077154,5886595.66256707,690,0.5,TMHS,3,4,240,0.44912073,13,272.588,0.3933979
1582376.56076328,5147825.85977907,1000,0.5,TOKS,3,15,716.57263,0.483527,8,604.2022,0.47762427
1775111.2470725,5447500.18351541,210,0.5,TOTS,3,4,381.02832,0.44912073,14,262.98834,0.40245143
1820473.2300089,5821088.44761476,1000,0.5,TOZ,3,13,304.0157,0.4836529,5,648.8941,0.48938733
1557345.71297321,5177970.77580421,210,0.5,TPLC,3,10,416.372,0.26063582,16,238.32666,0.38188857
1460205.27122106,5081886.84296031,690,0.5,TRCS,3,8,376.50534,0.41044065,15,227.4589,0.32270417
1852810.54806434,5493430.75515168,900,0.5,TRMS,3,12,617.27924,0.48799092,7,677.3067,0.4938305
1748514.87250137,5426566.13048768,400,0.5,TRTS,3,4,240,0.44912073,11,564.5722,0.4690416
1584920.54553248,5477942.85744373,1000,0.5,TSFS,3,12,617.27924,0.48799092,10,334.44003,0.46992904
1843826.32694235,5680974.76126259,210,0.5,TTHS,3,4,500,0.44912073,15,227.4589,0.32270417
1960436.07243985,5696451.15954332,600,0.5,TUDS,3,12,617.27924,0.48799092,255,NA,NA
1795067.36228578,5695900.16363651,1000,0.5,TUHS,3,15,716.57263,0.483527,11,564.5722,0.4690416
1338930.74919725,4905546.22935499,1000,0.5,TUZ,3,15,716.57263,0.483527,7,677.3067,0.4938305
1368356.58606899,5095754.78882651,210,0.5,TWAS,3,9,330.3179,0.5,16,238.32666,0.38188857
1771321.66525775,5445157.62266797,210,0.5,UHCS,3,4,306.3,0.44912073,15,227.4589,0.32270417
1773350.53372381,5445158.09407148,210,0.5,UHSS,3,4,350.565,0.44912073,14,262.98834,0.40245143
1959724.3521235,5757421.24784026,1000,0.5,URZ,3,4,500,0.44912073,9,475.2725,0.46632352
1843143.19828403,5596540.28398548,270,0.5,UTKS,3,12,617.27924,0.48799092,12,378.49112,0.5
1752005.61387967,5667952.98789527,1000,0.5,VRZ,3,12,617.27924,0.48799092,5,648.8941,0.48938733
1748934.61604341,5428650.58471672,250,0.2,VUWS,2,2,395.59198,0.1874998,16,238.32666,0.38188857
1869298.78602889,5719466.70110971,1000,0.5,WAIS,3,15,716.57263,0.483527,8,604.2022,0.47762427
1575960.7073365,5243240.25938088,270,0.5,WAKC,3,4,500,0.44912073,13,272.588,0.3933979
1878507.72076792,5592408.37476008,555,0.5,WAKS,3,7,351.6583,0.47477344,10,334.44003,0.46992904
1483595.52306743,5376404.55598138,299.7,0.5,WBCS,3,4,240,0.44912073,16,238.32666,0.38188857
1508053.15803152,5187723.68612907,270,0.5,WCSS,3,4,500,0.44912073,13,272.588,0.3933979
1694536.92923786,5368760.66301443,270,0.5,WDFS,3,4,240,0.44912073,12,378.49112,0.5
1843768.83139458,5530749.2406126,270,0.5,WDPS,3,4,500,0.44912073,16,238.32666,0.38188857
1383223.10534382,5200623.03729957,270,0.5,WHAS,3,7,351.6583,0.47477344,6,442.75815,0.44454366
1385647.62779912,5206795.69055067,210,0.5,WHFS,3,13,304.0157,0.4836529,16,238.32666,0.38188857
1207995.4799375,4905476.62617825,1000,0.5,WHZ,3,12,617.27924,0.48799092,3,746.6371,0.5
1982163.89600341,5669986.30228976,155,0.5,WICS,3,4,240,0.44912073,15,227.4589,0.32270417
1583644.7994242,5272347.66649584,270,0.5,WIGC,3,4,500,0.44912073,16,238.32666,0.38188857
1950166.27133218,5790963.54505224,210,0.5,WKHS,3,6,199.03853,0.31248862,16,238.32666,0.38188857
1751392.94301524,5423428.96002312,239,0.2,WNAS,2,6,212.684,0.31248862,15,227.4589,0.32270417
1748645.57125233,5426332.54486156,1000,0.5,WNHS,3,12,617.27924,0.48799092,11,564.5722,0.4690416
1745879.54589281,5428161.30923353,270,0.5,WNKS,3,4,240,0.44912073,11,564.5722,0.4690416
1906242.31578094,5572318.96033335,270,0.5,WPWS,3,13,304.0157,0.4836529,10,334.44003,0.46992904
1822863.37522909,5463377.97895788,270,0.5,WRCS,3,4,500,0.44912073,16,238.32666,0.38188857
1488334.51352971,5145256.32758283,270,0.5,WSFC,3,4,500,0.44912073,16,238.32666,0.38188857
1604394.79915376,5281441.45202593,210,0.5,WTMC,3,4,500,0.44912073,11,564.5722,0.4690416
1629233.40613747,5392328.1650607,270,0.5,WVFS,3,4,500,0.44912073,16,238.32666,0.38188857
1739629.31841774,5597931.03175532,330,0.5,WVHS,3,13,304.0157,0.4836529,16,238.32666,0.38188857
