Lat,Lon,Vs30,uncertainty,xcoord,ycoord,gid,tid
-43.531202,172.571207,167.3,0.2,1565352.3574794,5180104.08000383,10,15
-43.526804,172.584422,177.3,0.2,1566417.7264923,5180597.93575057,10,16
-43.530772,172.59604,183.6,0.2,1567358.70144746,5180161.87885613,10,16
-43.529741,172.603723,162,0.2,1567978.96824247,5180279.36646202,10,15
-43.526891,172.619776,194.7,0.2,1569274.67998941,5180601.93777735,10,15
-43.530837,172.630526,169.2,0.2,1570145.3180458,5180167.61413984,10,16
-43.53064,172.641358,182.6,0.2,1571020.48461361,5180193.32316456,10,15
-43.528812,172.651313,202.8,0.2,1571824.03268144,5180399.75834233,10,13
-43.533203,172.66898,180.9,0.2,1573253.57190206,5179917.93145702,10,15
-43.530218,172.677526,184.3,0.2,1573942.80429953,5180252.15418931,10,15
-43.531076,172.695263,183.9,0.2,1575376.37501254,5180162.26876976,6,15
-43.532799,172.702454,184.4,0.2,1575958.1131984,5179973.01798429,2,255
-43.526739,172.731564,202.8,0.2,1578308.04711012,5180654.03537436,6,16
-43.533733,172.738682,180.1,0.2,1578885.68330552,5179879.12219836,6,15
-43.54431,172.502597,245.6,0.2,1559817.18132364,5178617.45584271,10,15
-43.539732,172.544332,216.8,0.2,1563185.97149559,5179145.20302211,10,16
-43.540274,172.549363,204,0.2,1563592.75930944,5179087.22356277,10,16
-43.538205,172.583544,202.6,0.2,1566353.11549809,5179331.39920935,10,16
-43.539779,172.593979,181.5,0.2,1567197.0484155,5179160.76077299,10,16
-43.53921,172.611196,173.2,0.2,1568587.73743729,5179230.59958297,10,16
-43.540468,172.618031,157.6,0.2,1569140.59298316,5179093.44608613,10,15
-43.538885,172.629265,183,0.2,1570047.40876066,5179273.3592226,10,16
-43.538545,172.642594,174.8,0.2,1571124.12990553,5179315.83293173,10,15
-43.539083,172.654352,153.3,0.2,1572074.34183637,5179260.09808136,10,16
-43.539165,172.666188,173.7,0.2,1573030.63530309,5179254.89709736,6,15
-43.539786,172.677662,191.9,0.2,1573957.91139615,5179189.58600343,10,16
-43.538319,172.688858,190.6,0.2,1574861.84119913,5179355.95402133,10,15
-43.538863,172.701906,178.2,0.2,1575916.24795144,5179299.39876495,6,16
-43.54471,172.502096,244,0.2,1559776.97382649,5178572.79000266,10,15
-43.544466,172.552265,182,0.2,1563829.72022805,5178622.93024185,10,15
-43.551726,172.572329,224.4,0.2,1565454.73894459,5177825.17149489,10,15
-43.548976,172.58066,183.8,0.2,1566126.13864182,5178134.01149041,10,15
-43.549463,172.591456,160.1,0.2,1566998.49510818,5178084.26667817,10,15
-43.552068,172.603459,177.5,0.2,1567969.45790701,5177799.65094251,10,16
-43.549625,172.616235,150.8,0.2,1569000.1861687,5178075.81040961,10,15
-43.548779,172.629726,172.9,0.2,1570089.54620051,5178174.70719035,10,16
-43.54845,172.642613,165.7,0.2,1571130.39201335,5178215.80008372,10,16
-43.54826,172.654477,170.2,0.2,1572088.67510059,5178240.95159073,10,15
-43.548265,172.667514,194.7,0.2,1573141.80594418,5178244.68935278,10,15
-43.547891,172.678229,197,0.2,1574007.20261067,5178289.63026273,10,15
-43.549852,172.690971,177.5,0.2,1575037.31660126,5178075.74715392,10,16
-43.548764,172.698491,184.1,0.2,1575644.32787355,5178198.80933318,3,16
-43.559244,172.547771,183.8,0.2,1563475.59764282,5176979.73253923,10,16
-43.557857,172.5551,178.5,0.2,1564066.70276271,5177136.96536382,10,16
-43.553719,172.567072,200.4,0.2,1565031.25505828,5177601.6330893,10,16
-43.557318,172.582573,185.9,0.2,1566285.31978294,5177208.33282129,10,15
-43.55669,172.592343,179.8,0.2,1567074.08040576,5177281.99328201,10,16
-43.557487,172.605942,177.3,0.2,1568172.87415883,5177198.77431129,10,15
-43.558147,172.616553,170.3,0.2,1569030.23806061,5177129.48219878,10,15
-43.55727,172.630816,192.9,0.2,1570181.78237098,5177232.09501041,10,15
-43.556346,172.640706,164.5,0.2,1570980.13405875,5177338.21301552,10,15
-43.557209,172.652871,181.7,0.2,1571963.09136972,5177246.54273248,10,15
-43.556484,172.666067,173.8,0.2,1573028.58292475,5177331.42574317,10,14
-43.557524,172.677637,196.8,0.2,1573963.5279741,5177219.61214355,10,15
-43.555557,172.687854,185.5,0.2,1574787.91044783,5177441.21428044,3,15
-43.557209,172.702696,198.3,0.2,1575987.3580881,5177262.13772743,3,15
-43.569187,172.54075,181.5,0.2,1562914.64402709,5175872.3599006,10,16
-43.565594,172.555699,184.4,0.2,1564119.67426474,5176277.95732589,10,16
-43.564128,172.560824,181.5,0.2,1564532.69318341,5176442.96969652,10,15
-43.570636,172.579476,189.3,0.2,1566042.66310332,5175727.98267665,10,15
-43.567162,172.58893,162,0.2,1566804.16695837,5176117.62207105,10,16
-43.565787,172.603614,155.1,0.2,1567989.24179795,5176276.08767901,10,15
-43.566704,172.622022,174.5,0.2,1569476.27219954,5176181.16957676,10,13
-43.565642,172.629798,240.8,0.2,1570103.70066978,5176301.94045308,10,13
-43.567367,172.641221,156.6,0.2,1571027.01211461,5176114.40739431,10,14
-43.563147,172.648662,198.4,0.2,1571625.92544907,5176585.64459883,10,10
-43.562634,172.663265,164.7,0.2,1572805.03442645,5176647.49830556,7,8
-43.56109,172.678734,192.4,0.2,1574053.66030391,5176823.91764153,3,16
-43.564678,172.690342,164.4,0.2,1574992.63947391,5176428.99379213,3,15
-43.561566,172.740235,174.5,0.2,1579020.82003093,5176788.40918161,6,255
-43.579989,172.520947,232.8,0.2,1561322.42443603,5174663.66800503,10,16
-43.573158,172.538106,193.8,0.2,1562703.58605972,5175430.15921717,10,16
-43.575632,172.542913,201.6,0.2,1563093.24679006,5175157.54322652,10,16
-43.576718,172.553217,190.6,0.2,1563925.87586349,5175041.4560627,10,16
-43.574088,172.565172,177.9,0.2,1564889.61864881,5175338.66226634,10,15
-43.574483,172.580007,169.2,0.2,1566087.70014475,5175300.95312722,10,15
-43.575894,172.599417,221.1,0.2,1567655.7155475,5175151.98404523,10,15
-43.575894,172.599417,221.1,0.2,1567655.7155475,5175151.98404523,10,15
-43.573523,172.616989,153.9,0.2,1569073.31978871,5175421.99431793,8,7
-43.573153,172.645489,233.5,0.2,1571374.41261837,5175473.29562492,7,1
-43.573153,172.645489,233.5,0.2,1571374.41261837,5175473.29562492,7,1
-43.570315,172.690379,244.3,0.2,1574997.95918692,5175802.96283965,3,9
