File Name,depth_input,vs_input,Depth,Qc,Fc,u,Ic,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Subset_Region,Subset_Geology
SCPT_57365,17,288,17,1.1101,0.0149,-0.0014,2.77407622733286,138.595794155158,168.725314623671,100.529867151054,138.927821670467,317.47770118235,2,1
SCPT_57365,17.5,270,17.5,1.5334,0.0553,0.1951,2.89416768741372,162.572676504069,197.914562700606,130.509960198954,163.592343011172,380.168823836995,2,1
SCPT_57365,18,294,18,2.4024,0.0555,0.4393,2.62170610589656,177.196473784095,215.717446345854,144.612844453491,175.943336312945,384.342634194673,2,1
SCPT_57365,18.5,350,18.5,3.3153,0.1156,1.0279,2.62804839244278,200.239127269436,243.769372328009,170.537593741611,197.366005626487,426.766764269069,2,1
SCPT_57365,19,350,19,2.3313,0.0589,1.1562,2.65568358847566,173.694033568616,211.453606083532,136.677141144378,178.716655764403,392.572280806289,2,1
SCPT_57365,19.5,455,19.5,3.0134,0.1744,0.4384,2.80964771581227,209.115322571946,254.575175304978,178.750961482559,204.399570901703,455.915728192509,2,1
SCPT_57365,20,455,20,2.4871,0.0869,0.8329,2.72251151533538,186.0010635078,226.436077313843,147.535514127552,188.982953003167,418.524653274521,2,1
SCPT_57364,0.1,72,0.1,1.786,0.0386,-0.0014,2.70871928446876,86.5545599969706,105.370768691964,420.035978313122,38.6167302740165,98.3286389532549,2,1
SCPT_57364,0.5,72,0.5,5.1859,0.0576,-0.006,2.16388111469883,131.186601691409,159.705428146063,245.771095414176,72.808356224815,156.871405613688,2,1
SCPT_57364,1,82,1,3.7404,0.0618,0.0002,2.38053911618928,137.062234236096,166.858372113508,241.255230545851,84.7169019341098,188.203567185062,2,1
SCPT_57364,1.5,98,1.5,2.7342,0.0365,-0.0155,2.4380419773834,130.211198685619,158.517981008579,211.374674807,86.7650978601365,194.285979139667,2,1
SCPT_57364,2,116,2,1.9032,0.0154,-0.0329,2.46390428838049,118.186043448256,143.878661589181,176.030695663221,83.045124288217,186.279997227024,2,1
SCPT_57364,2.5,82,2.5,0.7382,0.0266,-0.022,3.15058537458177,104.692291413294,127.451485198793,184.936783987477,80.6728468851151,210.134653524688,2,1
SCPT_57364,3,79,3,1.8509,0.0109,-0.0147,2.414892970948,120.598960872194,146.816126279193,160.292114582802,89.9636519555148,197.29474209387,2,1
SCPT_57364,3.5,90,3.5,0.9433,0.018,-0.0096,2.91181057908635,111.739266879519,136.030411853327,168.294419865985,88.8394647752815,217.874701478093,2,1
SCPT_57364,4,119.5,4,1.0446,0.0148,0.0088,2.80858358588639,114.277572866144,139.120523489219,159.38421675858,92.0557723451808,219.864537402408,2,1
SCPT_57364,4.5,113.5,4.5,2.1051,0.0066,0.0198,2.26306924430104,125.586114495112,152.887443733179,145.24166109278,98.3975583192743,205.000750609374,2,1
SCPT_57364,5,128.5,5,3.4839,0.022,0.0321,2.1812975832952,150.130502341059,182.767568067376,174.622645904013,120.395436258769,247.12996123626,2,1
SCPT_57364,5.5,123,5.5,3.3309,0.0363,0.0574,2.31806662303082,157.655271590538,191.928156718916,188.020733842383,128.044158459728,270.101087579322,2,1
SCPT_57364,6,124,6,0.7183,0.0112,-0.041,2.97114755356966,109.666714339209,133.50730441295,135.097508654042,95.3975038642492,234.297162009859,2,1
SCPT_57364,6.5,145,6.5,2.5303,0.0192,0.0367,2.34138040550981,145.748271994448,177.432678949763,162.951214805949,122.286498105586,258.844813430776,2,1
SCPT_57364,7,147.5,7,1.2667,0.052,0.0472,2.99421622469024,139.805555959968,170.198068125178,179.223033301642,122.734986341816,298.682501617028,2,1
SCPT_57364,7.5,155,7.5,0.5535,0.018,0.2107,3.2305182268231,105.925378703393,128.952634943261,119.504897553695,101.690740584267,263.169012673055,2,1
SCPT_57364,8,165,8,3.2334,0.009,-0.0126,2.06992893573,147.459499651713,179.515912619477,148.541801339464,126.028836298742,247.664938239545,2,1
SCPT_57364,8.5,145,8.5,1.5674,0.0531,0.0473,2.87001883823632,149.963474003998,182.564229222258,176.092097382296,133.808908133546,315.071675299129,2,1
SCPT_57364,9,165,9,5.5695,0.0423,0.0403,2.04547382588275,183.319311327566,223.171335529211,191.173491435724,160.133068262941,313.275475610643,2,1
SCPT_57364,9.5,181,9.5,2.2244,0.0343,0.0084,2.54733544908574,156.926715118479,191.041218405105,166.09926075371,139.975830490094,306.959754260752,2,1
SCPT_57364,10,147.5,10,7.4407,0.0612,0.0049,1.96045298202592,200.439373715907,244.013150610669,207.449126584277,177.268094947779,338.288615298215,2,1
SCPT_57364,10.5,154,10.5,3.54,0.026,-0.0065,2.20670784085139,167.544879046918,203.967678839727,165.863218869102,150.386103099851,304.740241547586,2,1
SCPT_57364,11,179,11,5.134,0.0381,0.0046,2.0700527645784,184.075583400256,224.092014574225,182.84860755648,165.900389984836,324.944899902606,2,1
SCPT_57364,11.5,185,11.5,3.9339,0.0149,0.0464,2.03805569118742,164.123489812414,199.802509336852,154.909511931887,149.527420171054,290.290094294914,2,1
SCPT_57364,12,221,12,18.1705,0.0348,0.0863,1.31066769875478,201.998307280251,245.910982775958,211.951910141901,202.362537751234,331.373082178656,2,1
SCPT_57364,12.5,212,12.5,21.5105,0.0403,0.0981,1.2394645494037,206.241413771568,251.076503721909,221.100181332956,212.275952483756,341.687631549628,2,1
SCPT_57364,13,240,13,19.9734,0.0557,0.0877,1.34558683781519,216.926904772685,264.084927549355,228.200688235019,218.104760099381,359.726095383365,2,1
SCPT_57364,13.5,165,13.5,7.376,0.0376,0.064,1.85121238066246,196.635491577232,239.382337572283,187.868408923015,184.823594614935,342.555143909221,2,1
SCPT_57364,14,156,14,1.4568,0.0428,0.3707,2.8583029690866,151.622031498147,184.583342693396,138.838518916366,149.410404003887,347.397747277311,2,1
SCPT_57364,14.5,130,14.5,1.0067,0.04,0.513,3.06527729510331,137.234936286819,167.068618088301,118.83411687219,142.254730360351,346.477565629115,2,1
SCPT_57364,15,138,15,1.2327,0.0289,0.5224,2.86156393474552,141.26752395535,171.977855249991,119.496385023203,143.916032895585,335.50570411066,2,1
SCPT_57364,15.5,185,15.5,2.7179,0.0578,0.1664,2.55728434019119,180.299046151748,219.494490967346,164.926311909325,172.385076485763,372.372518210831,2,1
SCPT_57364,16,185,16,1.7532,0.044,0.192,2.7529982270488,162.187481051828,197.445629106573,141.925280817755,159.617858877328,361.123134845563,2,1
SCPT_124802,0.51,105.4,0.51,0.5981,0.0182,0.0438,3.18664243623166,79.2797661060492,96.5144978682339,243.973010137036,48.7487725146289,133.57722486651,6,2
SCPT_124802,1.01,116.4,1.01,0.7869,0.032,0.0212,3.15784327734398,95.7261430101945,116.536174099367,226.439167315773,64.2627087519788,171.219161071973,6,2
SCPT_124802,1.51,112.7,1.51,0.9757,0.0336,-0.0079,3.03988837298833,106.097691319109,129.162406823263,222.856235860705,74.425390549621,191.067125438212,6,2
SCPT_124802,2.01,151,2.01,0.9256,0.0329,0.0273,3.06651781238502,108.200287043888,131.722088575168,209.406311516009,79.8359593414984,204.764826358959,6,2
SCPT_124802,2.51,117.4,2.51,1.022,0.0251,-0.0034,2.94059848373325,111.611578735825,135.874965417526,193.853672436431,84.2288682833006,209.268917285801,6,2
SCPT_124802,3.01,138.4,3.01,0.7233,0.0269,0.0534,3.16564548271584,105.859996065831,128.873038688838,180.241484824406,84.7755482351137,220.528047238276,6,2
SCPT_124802,3.51,148.3,3.51,1.5319,0.0038,-0.0024,2.3659771053005,111.950121498857,136.287104433391,138.495709703066,83.7931312577963,178.75781128757,6,2
SCPT_124802,4.01,170.9,4.01,1.916,0.0175,-0.0024,2.48586609539628,130.060047027651,158.333970294532,169.59601004118,101.936347752497,225.860328129057,6,2
SCPT_124802,4.51,182.6,4.51,1.7599,0.0052,-0.0024,2.32921985409649,120.25897803296,146.402234127082,140.763873602601,94.0713658929485,198.592785025791,6,2
SCPT_124802,5.01,184.6,5.01,2.2563,0.005,-0.0024,2.19086328257001,127.097899403566,154.727877534776,141.812802747203,100.063656015433,203.282473863516,6,2
SCPT_124802,5.51,172.9,5.51,2.3363,0.0072,-0.0022,2.21778830327536,131.847573929822,160.510090001523,146.358447597563,106.435053890372,218.399402638566,6,2
SCPT_124802,6.01,177.7,6.01,2.3765,0.0178,-0.0022,2.36283466832312,142.15690209681,173.060576465682,163.831364291758,117.832429535106,251.160614519308,6,2
SCPT_124802,6.51,170.2,6.51,2.5133,0.0098,-0.0024,2.22296646808044,138.83700837739,169.018966720301,149.926502607205,115.584682882693,237.25585754431,6,2
SCPT_124802,7.01,167.1,7.01,1.4728,0.0226,0.0343,2.69727245819263,135.075779944302,164.440079932194,159.62288135118,117.093054751052,268.413759494917,6,2
