matched_depth,matched_Vsz,A07-P,A07-H,R09,Mc15,Mc18,Subset_Region,Subset_Geology
28,178.7,0.027112999,0.223843292,0.116930014,0.366314347,-0.44811643,7,2
17,112.65,-0.276097251,-0.079325458,-0.262193537,0.101079118,-0.729495802,7,2
29,166.73,-0.218851983,-0.022124928,0.001680774,0.118758141,-0.537586042,7,1
27,203.02,-0.004913532,0.191783976,0.116798396,0.34627284,-0.327076588,7,1
18,164.64,-0.141998844,0.054738946,-0.088917762,0.266844646,-0.43985245,7,1
24,147.58,-0.217517237,-0.020787981,-0.075162534,0.15515629,-0.583206164,7,1
17,202.67,0.150170191,0.346848079,0.173606498,0.58206958,-0.17014263,7,1
28,238.93,-0.038265681,0.158442862,0.090437793,0.315392669,-0.294241935,7,1
19,197.45,-0.125490797,0.071202017,-0.008823957,0.293489398,-0.383084331,7,1
15,178.37,0.021419677,0.218152384,0.145739294,0.508790731,-0.169750108,7,1
21,238.2,0.04490603,0.241574324,0.106293874,0.447324059,-0.244936262,7,2
25,244.04,0.075161318,0.271854326,0.189807299,0.454100596,-0.221897077,7,2
29,264.22,0.124756998,0.321476613,0.294136892,0.464372703,-0.17683762,7,2
15,242.84,0.329962422,0.52669513,0.454282039,0.817333477,0.138792638,7,1
22,279.07,0.310210309,0.506963096,0.443518337,0.702109717,-0.007603514,7,1
19,240.11,0.221780522,0.418502119,0.244601999,0.645370955,-0.074146644,7,2
28,172.45,-0.195904353,0.000812159,1.645451249,0.136742441,-0.549198463,7,1
27,175.5,-0.175460466,0.021249828,0.951076848,0.17952206,-0.491808329,7,1
28,179.48,-0.184380946,0.012333378,-0.018383581,0.163752008,-0.494671781,7,1
