depth_input,Mc15
20,-0.216740109
0.1,0.77398997
0.5,0.10915876
1,0.104333259
1.5,0.210282232
2,0.119791768
2.5,-0.008379735
3,-0.320154154
3.5,-0.122829469
4,-0.048965027
4.5,-0.043176924
5,-0.25653785
5.5,0.062781265
6,0.255805886
6.5,0.048594707
7,-0.046321012
7.5,0.026094109
8,0.047829578
8.5,-0.064179887
9,0.039673499
9.5,-0.02873915
10,-0.188765473
10.5,-0.041359696
11,-0.073059446
11.5,-0.184078367
12,-0.266933384
12.5,-0.067055608
13,0.013630667
13.5,-0.058078221
14,-0.148176467
14.5,-0.137940358
15,-0.021775639
15.5,-0.141688008
16,-0.06696882
16.5,-0.020343865
17,-0.345821606
17.5,-0.220796697
18,-0.149061509
18.5,-0.216797548
19,-0.086919426
19.5,-0.07831861
20,-0.080487311
0.1,0.950894444
0.5,0.182114371
1,0.077458131
1.5,0.135496031
2,0.279662251
2.5,0.088285784
3,-0.077595064
3.5,0.10778926
4,0.651508664
4.5,-0.003116017
5,0.14410823
5.5,0.032782359
6,-0.026686765
6.5,0.055993346
7,-0.098400593
7.5,-0.08116192
8,0.134191768
8.5,-0.017587099
9,-0.25685101
9.5,-0.19847944
10,0.0423348
10.5,0.010919032
11,-0.1855372
11.5,-0.060994899
12,0.009704192
12.5,0.117785323
13,-0.032391617
13.5,-0.064074131
14,-0.041606669
14.5,-0.17025026
15,0.240188237
15.5,0.20839221
16,-0.189715324
16.5,-0.10195588
17,-0.061754337
17.5,0.07120433
18,0.013386008
18.5,-0.038663346
19,0.029391372
19.5,0.002367294
20,-0.013640636
0.1,0.500776139
0.5,0.20315921
1,0.207349613
1.5,0.167791594
2,0.215311526
2.5,0.132599254
3,0.248614139
3.5,0.277682144
4,0.072960065
4.5,0.137779552
5,0.159439771
5.5,0.344878151
6,0.349942665
6.5,0.149158276
7,-0.054529689
7.5,0.073605374
8,0.11538995
8.5,-0.0127343
9,0.25922203
9.5,0.216129859
10,0.015963733
10.5,0.295823522
11,0.178481576
11.5,0.035356184
12,0.045558485
12.5,0.188951891
13,-0.221287288
13.5,-0.025677526
14,0.100741848
14.5,0.069898604
15,0.248893801
15.5,0.220174967
16,0.243868185
16.5,-0.102314662
17,0.244979355
17.5,0.181521903
18,-0.011099845
18.5,0.571776444
19,0.47993024
0.1,0.702595782
0.5,0.141768884
1,-0.18079687
1.5,0.170028838
2,0.304654599
2.5,0.440138933
3,0.298245555
3.5,0.202227907
4,0.209554988
4.5,-0.011094669
5,-0.088275504
5.5,-0.016009917
6,0.254082447
6.5,0.286194047
7,0.058328671
7.5,-0.022453953
8,0.09729501
8.5,-0.059174587
9,-0.306032438
9.5,-0.116665851
10,0.025038119
10.5,-0.110169876
11,-0.17480351
11.5,-0.140330574
12,0.030909964
12.5,-0.068753102
