Depth,Qc,Fc,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs
0.55,1.3899,0.0518,0.0073,1259.515529594877,104.20146155368207,126.85395319578686,293.1586215643476,61.30807113781714,156.96125515476612
0.56,1.3822,0.052,0.0057,,,,,,
0.57,1.3744,0.0522,0.0049,1240.3764238952017,104.50233470049521,127.22023354842896,291.6836471087537,61.859439090964635,158.5314006016189
0.58,1.3744,0.0521,0.0047,,,,,,
0.59,1.3731,0.0531,0.0044,1222.4825220656728,105.0801861801719,127.92370491499189,290.5599840106106,62.53550186983598,160.2752998790164
0.6,1.373,0.0531,0.0044,,,,,,
0.61,1.3795,0.0533,0.0029,1190.5695803375916,105.65875570810508,128.62805042725836,288.1913148403906,63.17973514686192,161.71737433524504
0.62,1.386,0.054,0.003,,,,,,
0.63,1.386,0.054,0.0032,1167.9015587205217,106.29777774269887,129.4059902954595,286.6499261232192,63.8612011737868,163.3251821081533
0.64,1.4209,0.0556,0.0041,,,,,,
0.65,1.4326,0.0562,0.0086,1147.9306587024466,107.76490127486981,131.19205372592847,286.10912759437645,64.94083115232397,165.5190100766012
0.66,1.4248,0.0564,0.0071,,,,,,
0.67,1.4326,0.0578,0.0088,1143.2554859285979,108.42229371085425,131.99235756103997,286.14889727738813,65.64303026586659,167.40276388722143
0.68,1.4326,0.0599,0.0088,,,,,,
0.69,1.4287,0.0599,0.0027,1148.2974437376556,109.11768595642882,132.83892203391335,287.0893256341888,66.35227331286299,169.43402427272397
0.7,1.4277,0.0617,0.0026,,,,,,
0.71,1.4272,0.0621,0.0026,1152.1859445398795,109.81171030696618,133.68382124326317,287.91750392740437,67.0718157034398,171.46410363744312
0.72,1.4267,0.0622,0.0053,,,,,,
0.73,1.4287,0.0628,0.0081,1134.2951618988263,110.28434344326786,134.2592007135435,286.57667276145276,67.66494591111267,172.92658159062242
0.74,1.4209,0.0628,0.0136,,,,,,
0.75,1.4132,0.0638,0.0155,1128.2680109218559,110.50332068711077,134.52578170604792,286.05008082305494,68.15760057721116,174.45702014575156
0.76,1.4093,0.0639,0.0165,,,,,,
0.77,1.4093,0.064,0.0165,1108.7027521230825,110.82316632690059,134.9151590066616,284.3851781263788,68.64859916867734,175.69035931541217
0.78,1.3977,0.0639,0.0159,,,,,,
0.79,1.3899,0.0638,0.0136,1092.5862468566972,110.84302318273336,134.9393325702841,282.7320429680224,68.98392527120701,176.74379509045878
0.8,1.355,0.0638,0.0136,,,,,,
0.81,1.3279,0.0638,0.0096,1082.0322401524154,110.150440608468,134.09618856683062,280.27666412836356,69.01008907949422,177.80524879760304
0.82,1.3279,0.0638,0.0096,,,,,,
0.83,1.3182,0.0638,0.0048,1062.0340508681306,110.34486358485117,134.3328774076449,278.2637048756911,69.40631025736616,178.8961781810945
0.84,1.3176,0.0638,0.0006,,,,,,
0.85,1.319,0.0635,0.0006,1039.7887476299288,110.67016143393347,134.72889218044077,276.3350691157889,69.84603449703737,179.8676826453031
0.86,1.3205,0.0629,-0.0022,,,,,,
0.87,1.328,0.0629,-0.0022,1015.4138527896405,111.08034766905814,135.2282493362447,274.4098905562309,70.31252619917045,180.71507236669285
0.88,1.3434,0.0626,-0.0024,,,,,,
0.89,1.355,0.0616,-0.0034,985.1905971926142,111.68001818755616,135.95828301093795,272.38705010197197,70.84067692428417,181.29142825677812
0.9,1.355,0.0617,-0.0034,,,,,,
0.91,1.3783,0.0616,-0.0049,959.5849262812045,112.39722016607956,136.8313984630534,270.3529842155242,71.45490235250831,182.3366049208553
0.92,1.3705,0.0607,-0.0051,,,,,,
0.93,1.4054,0.0607,-0.007,924.8640471059466,113.03287613163164,137.6052405080733,267.28734730793934,72.00189667140197,183.01816255545583
0.94,1.4248,0.0602,-0.0101,,,,,,
0.95,1.4248,0.0597,-0.0101,893.6193872328317,113.5159231600107,138.19329776001305,264.3600696240592,72.47219534895667,183.62773168452753
