File Name,depth_input,vs_input,Depth,Qc,Fs,u,Ic,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,A07-H,A07-P,R09,Mc15,Mc18
SCPT_126232.csv,8,149.3,8,3.861,0.0142,-0.0074,2.040580554,156.0917169,190.0246988,162.2039322,134.2769733,263.136192,-0.044486059,-0.241196353,-0.08289668,0.106053073,-0.566714034
SCPT_126232.csv,8.5,149.3,8.5,1.4463,0.0163,-0.0205,2.636799245,134.941964,164.2771736,150.0216442,119.9181895,270.0679478,0.101112915,-0.09559738,-0.004821874,0.219147948,-0.592715881
SCPT_126232.csv,9,139.2,9,0.7072,0.0074,0.2041,2.898901307,108.9788573,132.6699133,114.3961079,102.9384341,245.9630368,0.244757854,0.048047559,0.196244691,0.301780666,-0.56926952
SCPT_126232.csv,9.5,139.2,9.5,0.4945,0.0036,0.2454,2.979307221,95.93653448,116.7923028,90.36772927,93.48846723,226.4539932,0.372224874,0.17551458,0.432024521,0.398073664,-0.486630056
SCPT_126232.csv,10,120.2,10,0.4905,0.0027,0.2492,2.940720924,95.00357077,115.6565209,85.57677242,92.48536889,220.9773563,0.235242544,0.03853225,0.339743126,0.262106564,-0.608903214
SCPT_126232.csv,10.5,120.2,10.5,0.4924,0.0027,0.2871,2.93858567,95.02855861,115.6869409,82.98508576,93.80056168,223.7283867,0.234979559,0.038269265,0.37049612,0.247986178,-0.621275735
SCPT_126232.csv,11,135.5,11,0.4905,0.0019,0.2769,2.894459655,94.28051477,114.7762788,78.93056365,92.23878126,216.2622921,0.362697102,0.165986808,0.540403115,0.384590977,-0.467520346
SCPT_126232.csv,11.5,135.5,11.5,0.5872,0.0038,0.2354,2.891282201,103.1487153,125.5723491,91.28995682,101.5123898,239.6498676,0.272799856,0.076089561,0.394930861,0.288790782,-0.570207333
SCPT_126232.csv,12,159.2,12,0.773,0.0029,0.224,2.701218273,109.6677761,133.508597,96.86824079,104.4977863,234.3564327,0.372705695,0.175995401,0.496809561,0.420995386,-0.3866819
SCPT_126232.csv,12.5,159.2,12.5,0.7724,0.0048,0.2357,2.773899069,112.7456148,137.255531,100.4114093,110.1922664,252.8188097,0.345027189,0.148316895,0.460885434,0.367934557,-0.462511792
SCPT_126232.csv,13,134.9,13,0.5679,0.0038,0.3266,2.910029906,102.3926129,124.6518766,82.9533207,104.5276683,247.1387825,0.275719193,0.079008898,0.486255715,0.255081958,-0.605416288
SCPT_126232.csv,13.5,134.9,13.5,1.0555,0.016,0.1878,2.819116869,132.0699144,160.7807654,125.4517719,130.1279402,302.1644638,0.021202326,-0.175507968,0.072612366,0.036015641,-0.806437688
SCPT_126232.csv,14,130.1,14,1.0593,0.0178,0.2148,2.840266953,133.4912998,162.5111476,125.2990475,132.6871937,309.2216471,-0.02573292,-0.222443215,0.037600125,-0.019691046,-0.865754939
SCPT_126232.csv,14.5,130.1,14.5,1.4385,0.0143,0.2361,2.613022631,140.6637098,171.2427771,128.5964974,137.5023243,303.9121604,-0.078068619,-0.274778913,0.01162381,-0.055337435,-0.848435328
SCPT_126232.csv,15,162.5,15,1.9648,0.0136,0.176,2.421158946,149.9385357,182.5338696,135.4052667,144.5748548,305.2400091,0.080452554,-0.116257741,0.182405745,0.116880602,-0.63042038
SCPT_126232.csv,15.5,162.5,15.5,0.7691,0.0089,0.428,2.885182639,117.243837,142.7316277,93.89640168,123.0583055,289.2615098,0.326422159,0.129711864,0.548485937,0.27801973,-0.576653155
SCPT_126232.csv,16,207.4,16,1.0748,0.0085,0.308,2.682769255,128.6819346,156.6562682,106.9928961,129.7824988,290.5751001,0.477305559,0.280595265,0.661886855,0.468789333,-0.337212767
SCPT_126232.csv,16.5,207.4,16.5,2.166,0.0259,-0.0292,2.497856444,163.563222,199.1204441,148.7868917,158.8243392,340.2483558,0.237449701,0.040739407,0.332134271,0.266850489,-0.495026513
SCPT_126232.csv,17,174.5,17,1.2412,0.0054,0.428,2.526507367,129.2922577,157.3992703,103.0988818,129.7730523,278.4639315,0.299849336,0.103139042,0.526236196,0.296137568,-0.467363799
SCPT_126232.csv,17.5,174.5,17.5,0.9084,0.0114,0.3916,2.836817033,126.5494862,154.060244,98.8668334,133.0752863,308.4162577,0.321291315,0.124581021,0.568150914,0.271009711,-0.569525615
SCPT_126232.csv,18,217.6,18,0.9819,0.0041,0.5593,2.616668695,120.1843034,146.3113259,88.03886026,124.5954907,272.1115012,0.593632089,0.396921794,0.904880204,0.557586099,-0.223553398
SCPT_126232.csv,18.5,217.6,18.5,1.4347,0.007,0.4436,2.485186153,136.6960617,166.4125968,107.8262989,138.6143839,294.5621764,0.464898581,0.268188288,0.702136926,0.450962654,-0.302831591
SCPT_126232.csv,19,221.8,19,0.9316,0.0024,0.5278,2.579145436,116.9865544,142.4184141,80.97315366,120.0709377,257.2078245,0.639717066,0.443006772,1.007658411,0.613693359,-0.148108339
SCPT_126232.csv,19.5,221.8,19.5,1.4618,0.0067,0.5547,2.467798976,136.9086899,166.6714486,105.3823001,140.525623,296.8577609,0.482461868,0.285751574,0.744181384,0.456386233,-0.29147703
SCPT_126232.csv,20,209.3,20,7.3359,0.2376,0.4948,2.359836824,255.8641338,311.4867715,251.6154376,240.0627109,480.8224491,-0.200877947,-0.397588241,-0.184133251,-0.137131555,-0.831729444
SCPT_126232.csv,20.5,209.3,20.5,1.6707,0.0365,0.425,2.735173878,161.1996773,196.2430855,134.3466664,167.2064723,375.1293144,0.261124801,0.064414507,0.443345108,0.22453922,-0.583502175
SCPT_126232.csv,21,342,21,6.1789,0.0576,0.1834,2.057735766,212.9335783,259.2234866,190.3718573,211.0576319,404.3792873,0.473830459,0.277120165,0.585831434,0.482679504,-0.16754253
SCPT_126232.csv,21.5,342,21.5,6.7729,0.1955,0.8557,2.347490169,247.7808458,301.6462471,233.2437581,238.2497467,477.1594148,0.322266068,0.125555773,0.382726658,0.361491258,-0.333039901
SCPT_126232.csv,22,405,22,5.8074,0.0869,1.1182,2.203776174,219.5605649,267.2911225,195.0959694,219.2619844,431.4383332,0.612258951,0.415548656,0.730395479,0.613619776,-0.063237521
SCPT_126232.csv,22.5,405,22.5,7.7152,0.1972,0.7102,2.27018514,255.1538363,310.6220616,236.7277674,246.025335,483.688988,0.462020424,0.26531013,0.536976247,0.498452549,-0.177555046
SCPT_126232.csv,23,219.6,23,8.1756,0.1947,0.5479,2.230619476,258.1296178,314.2447521,237.7782248,249.3436789,485.788374,-0.161654144,-0.358364438,-0.079530701,-0.127024472,-0.793965375
