Depth,Qc,Fc,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs
1.22,3.0542,0.0083,0.0039,,,,,,
1.23,2.9075,0.0078,0.0038,217.6304049034767,113.96832066946256,138.74404255412836,163.4539402313843,72.87895490839361,151.25442637992455
1.24,2.7801,0.0073,0.0038,,,,,,
1.25,2.726,0.0065,0.0039,209.31375722204513,111.88618724329285,136.2092714266174,159.9533656262784,71.44080471610914,148.2448504712034
1.26,2.6836,0.0067,0.004,,,,,,
1.27,2.6411,0.0061,0.0042,206.88758958105907,111.15819235222122,135.32301677661715,158.77189517884983,71.05500125465198,147.58294867934666
1.28,2.6218,0.0051,0.0044,,,,,,
1.29,2.5986,0.0047,0.0044,193.3385093849753,109.72507892537033,133.57835695262474,154.39711130793816,69.6736180164084,143.21244043168323
1.3,2.5639,0.0047,0.005,,,,,,
1.31,2.5632,0.0045,0.0055,191.54533745674726,109.47483942305243,133.27371755849862,153.68279568268397,69.58258535963452,142.94600108025296
1.32,2.5656,0.0039,0.0055,,,,,,
1.33,2.568,0.004,0.0054,186.0355252410449,109.21210062253869,132.95386162743839,152.02873483767743,69.21516224857842,141.3165487794729
1.34,2.5793,0.0033,0.0052,,,,,,
1.35,2.5871,0.0028,0.0046,174.39022789896276,108.38288060700984,131.9443763911424,148.38765565495592,67.54758560053884,135.43146011524667
1.36,2.5986,0.0025,0.0046,,,,,,
1.37,2.6218,0.0024,0.0046,170.64989199952205,108.50885980379165,132.09774236983333,147.39846616269045,67.09065166027823,133.2524359728202
1.38,2.645,0.0024,0.0046,,,,,,
1.39,2.6488,0.0024,0.0048,170.03307868139962,108.91133486693722,132.5877120119236,147.4136451299491,67.46096521817705,133.75207402790673
1.4,2.6411,0.0022,0.0055,,,,,,
1.41,2.5909,0.0022,0.0052,168.95108401975094,108.5064992452807,132.09486864642867,146.7583361366821,67.02837837420162,132.70481296658096
1.42,2.5446,0.0021,0.0053,,,,,,
1.43,2.4983,0.0021,0.0054,168.79885330670896,107.87557274499748,131.3267842113013,146.19638673918618,66.68163862164555,132.3399149352815
1.44,2.4597,0.002,0.0057,,,,,,
1.45,2.4597,0.0018,0.0069,167.22158433664794,107.55551226994227,130.93714537210363,145.46911510407216,65.9405816833985,130.15588618761004
1.46,2.394,0.0018,0.0065,,,,,,
1.47,2.3709,0.0018,0.0071,167.4964912243472,106.95831682997517,130.21012483649153,145.04620516574883,65.84262942105778,130.5722310123025
1.48,2.3438,0.0017,0.0065,,,,,,
1.49,2.2936,0.0017,0.0063,167.26732571351775,106.38550246212384,129.5127856060638,144.50810342016314,65.46443319466671,130.0175780885509
1.5,2.2666,0.0017,0.0062,,,,,,
1.51,2.2686,0.0016,0.0061,166.70854341925275,106.28265596799739,129.38758117843162,144.2005310956283,65.27464439092768,129.42230475651314
1.52,2.2706,0.0016,0.0061,,,,,,
1.53,2.2753,0.0016,0.0059,166.34924262792396,106.52038733354233,129.67699327561675,144.1760540184515,65.54167971292907,129.85670274275557
1.54,2.3014,0.0016,0.0059,,,,,,
1.55,2.3786,0.0016,0.0059,165.46151008168113,107.65276933945074,131.05554528280962,144.61422098998133,66.20065361518667,130.32689584506247
1.56,2.4481,0.0016,0.0059,,,,,,
