Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic
1.18,2.9864,0.0161,0.0003,286.2662332005373,119.62165846258546,145.62636682401708,182.8020663571213,76.80489104913215,164.4937351331442,2.210231982768921
1.19,3.0138,0.0164,0.0003,,,,,,,2.210231982768921
1.2,3.0216,0.0166,0.0003,287.85752551560887,120.37544438465902,146.54401925088925,183.5467418547065,77.49136386887629,165.86716268219817,2.209187513107186
1.21,3.0451,0.0167,0.0003,,,,,,,2.209187513107186
1.22,3.0529,0.017,0.0001,288.7530067125263,121.04152954876791,147.35490553763051,184.08970537335256,78.11811007341443,167.09137214318233,2.207716654735101
1.23,3.0686,0.0171,0.0003,,,,,,,2.207716654735101
1.24,3.0764,0.0172,0.0001,288.35155213627576,121.54181246909353,147.96394561454866,184.25469971206044,78.63503350426616,168.04502382188446,2.205489243632267
1.25,3.0842,0.0173,0.0001,,,,,,,2.205489243632267
1.26,3.0998,0.0175,0.0001,288.73150946884454,122.09266927974991,148.63455390578252,184.61477477452462,79.18538664721059,169.11585236303466,2.204388763769824
1.27,3.1077,0.0175,0.0001,,,,,,,2.204388763769824
1.28,3.1311,0.0176,0.0001,287.25786985256684,122.57643207438942,149.22348252534366,184.55510395843933,79.68564734804049,169.92946178870628,2.1996397726257215
1.29,3.1468,0.0177,0.0001,,,,,,,2.1996397726257215
1.3,3.1585,0.0178,0.0001,286.71874311911205,123.08756039862051,149.84572570266846,184.70461055158714,80.20550581543931,170.8591267431681,2.196740397561186
1.31,3.1976,0.018,0.0001,,,,,,,2.196740397561186
1.32,3.2172,0.018,-0.0001,285.0251978864012,123.77997031854161,150.6886595182246,184.75141678761,80.83544518587307,171.7931026612605,2.188176970168411
1.33,3.2524,0.0181,-0.0001,,,,,,,2.188176970168411
1.34,3.268,0.0182,-0.0001,283.66503803799185,124.41728128843539,151.46451635113874,184.82708503364944,81.43207419407572,172.71586699050118,2.1811881527781356
1.35,3.2915,0.0182,-0.0001,,,,,,,2.1811881527781356
1.36,3.3267,0.0182,0.0001,280.6204391139569,124.98157492907931,152.15148252235744,184.5081431620731,81.97803962486809,173.3872987228226,2.17083521201329
1.37,3.3462,0.0184,0.0001,,,,,,,2.17083521201329
1.38,3.3932,0.0184,0.0001,278.8292841523554,125.69167523549845,153.01595246060683,184.54829350597123,82.62126694782334,174.30184783866798,2.161422974881505
1.39,3.4205,0.0187,0.0001,,,,,,,2.161422974881505
