Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic
15.16,15.32,0.1339,0.1144,249.13847924087,250.5899579180012,305.0660357262623,250.916371173865,235.64175634204878,418.3396639579938,1.7319621702675658
15.18,14.9306,0.1208,0.1143,236.9934502980682,246.27625597882573,299.8145724959618,245.6528048150066,232.85740675417583,412.83678453481906,1.7180734706130953
15.2,14.4395,0.1116,0.1136,228.19187236030257,242.8320935213719,295.6216790694962,241.21104535974172,230.30426405163624,408.6422006696055,1.7161543772076424
15.22,13.7341,0.1123,0.1143,228.7374381447415,242.20353789636226,294.8564809173106,239.5164804580225,228.85154340337854,408.9589831587625,1.7485687669038956
15.24,12.9734,0.1139,0.1149,230.11800599117703,241.63950287130584,294.1698295824593,237.86599451231865,227.33110418079298,409.6751622421895,1.7874465616011703
15.26,12.4344,0.1136,0.1145,229.6768375363639,240.7137901116688,293.04287491855337,236.12624843762575,225.97914490324334,409.5420117206188,1.812687416191586
15.28,11.9228,0.1113,0.1141,227.30529453153903,239.15914014774694,291.1502575711702,233.73059959901875,224.31673932291994,408.4628229627001,1.832637390711342
15.3,11.4111,0.1081,0.1142,224.02666229614067,237.26128662912862,288.8398272006783,230.95765323034945,222.44606877921268,406.91926483479574,1.851283733392046
15.32,11.0802,0.1051,0.1154,220.91948608602848,235.71988607532154,286.9633395699567,228.78723893356903,221.06889453094695,405.4788707746605,1.8614122320750919
15.34,10.7571,0.104,0.1159,219.64913592369882,234.74278587394528,285.7738262813247,227.27032068908653,220.01644838191888,404.9696251090781,1.8765821848291957
15.36,10.5288,0.1025,0.1178,217.98626420967045,233.81862071731956,284.6487556558673,225.91394913569462,219.15289899784497,404.2745842497322,1.8856575859418687
15.38,10.3615,0.1011,0.1183,216.43123260071957,233.0485789084139,283.7113134537213,224.7959981001112,218.47758627076178,403.63747987835086,1.8916317826215499
15.4,10.2701,0.1,0.1183,215.18801382548818,232.53690313301786,283.0884038141087,224.04878739469495,218.07974778595093,403.1699458767336,1.8940158945650136
15.42,10.1871,0.0984,0.1208,213.4346378057885,231.87956087019742,282.2881610593708,223.1430442676938,217.6121571510924,402.4334195623027,1.8945150978252114
15.44,10.0513,0.0974,0.1225,212.26066209463454,231.28258953115443,281.561413342275,222.25500373752433,217.08617503797214,401.99127793496996,1.8998999582095986
15.46,9.9289,0.0965,0.1243,211.18534739391714,230.74169372013463,280.9029314853813,221.4448308548989,216.61453352608595,401.601545468414,1.904831027601548
15.48,9.8619,0.0951,0.1262,209.62243265331918,230.1704448664707,280.20749809831216,220.65408502139832,216.21880232428845,400.9503371177918,1.904950904463452
15.5,9.8555,0.0943,0.1272,208.68514112299155,229.93465706576183,279.9204520800579,220.30701523170774,216.12461516255013,400.6391789770051,1.9030303884231021
15.52,9.9262,0.0937,0.1285,207.9762982762324,229.94505675015435,279.9331125654053,220.31903427169996,216.31013155450415,400.4586702880069,1.8969157780206376
15.54,10.0594,0.0948,0.1305,208.99862312862803,230.64541774126093,280.78572594588286,221.1809316028184,217.01346246766283,401.2370043540272,1.891968538592084
15.56,10.3269,0.0975,0.1321,211.65477109997215,232.15436744517146,282.6227081941218,223.10107179242223,218.4215822295412,402.91381645242467,1.883648386599863
15.58,10.8529,0.1007,0.1337,214.845315831839,234.34094542010928,285.2846292070896,226.07062586152074,220.65898517176691,404.8891987303077,1.8621966363603861
15.6,11.3624,0.1044,0.1352,218.45703760788217,236.56310821394686,287.9898708691527,229.0723841572875,222.8672700861026,407.0631810860277,1.8441608251993538
15.62,11.7627,0.1083,0.1355,222.174233816765,238.56874606786658,290.4315169521854,231.70960898320214,224.7441117420157,409.2460602324412,1.833227801938631
15.64,12.0049,0.1125,0.1363,226.07843161196914,240.32725309701453,292.5723081181047,233.8838035724308,226.1980878112609,411.47052812078357,1.8314629485551306
15.66,12.1607,0.1163,0.135,229.5428720583285,241.7805567936519,294.34154740096756,235.61631285484916,227.32493874727027,413.4244206535273,1.8329841438395371
15.68,12.2919,0.1193,0.1347,232.21724581223143,242.9318539815601,295.74312658624706,236.98330358396157,228.23924535383867,414.96239979162885,1.833671828683635
15.7,12.3417,0.1206,0.134,233.29255837171448,243.43604150806493,296.35692009677473,237.5337093380341,228.65871093864098,415.69393902613405,1.8342954919027492
15.72,12.2841,0.1208,0.1333,233.33261838873244,243.42888397729135,296.34820658105036,237.38869777192846,228.61705532402988,415.9030360258272,1.8376374267831947
15.74,12.0801,0.1199,0.1333,232.3267282401409,242.833222761877,295.62305379706766,236.41767681657973,228.00548034288454,415.5810799447644,1.8457587874684365
15.76,11.6456,0.118,0.1336,230.33190672689358,241.4882397835053,293.98568321470214,234.34949953909887,226.58542258374044,414.7398212121777,1.8636392771995993
15.78,11.1553,0.1152,0.1342,227.45705493588656,239.7125425792248,291.8239648790563,231.74438297438465,224.8171433231903,413.44810877402995,1.8831475156197182
15.8,10.7925,0.1107,0.1327,222.99824480243018,237.6601849452116,289.3254425419967,228.96714911754486,223.08908486566224,411.3431716403607,1.8920999340021831
15.82,10.4768,0.1059,0.1322,218.20003646566423,235.5657176167693,286.77565622911044,226.1929763160617,221.399438439824,409.02058119113957,1.8978005610608444
15.84,10.2383,0.1021,0.1322,214.32387778898078,233.89956224728962,284.7472931706135,223.98593385946864,220.0755061808631,407.1428832317125,1.9016842604378872
15.86,10.0506,0.0994,0.1323,211.4945826847202,232.65955960788224,283.23772474003056,222.31532347836395,219.07903748275308,405.8008117013509,1.905559701426324
15.88,9.9584,0.0979,0.1334,209.85729778205766,232.00473388351543,282.44054559732314,221.40724216305617,218.58911033989958,405.1009709944489,1.9069892603141139
15.9,9.9886,0.0969,0.1341,208.76629553043705,231.79774985015695,282.1885650349737,221.13600552948125,218.574635396109,404.6985544039865,1.9023062661951469
15.92,10.1177,0.0963,0.1359,208.11105902958823,231.94472374065515,282.3674897712324,221.3738390434115,218.94284412172857,404.53897811624864,1.8927477990982418
15.94,10.2359,0.0959,0.1371,207.64979423898006,232.12261668277537,282.5840550920744,221.63852977064374,219.31011796444022,404.48335189063386,1.8845060847711186
15.96,10.3295,0.0964,0.1377,208.06172490002479,232.52995689862638,283.07994752876255,222.1329108111192,219.76917537580047,404.9125867347488,1.8803722215253427
15.98,10.4128,0.0978,0.1387,209.34238256573204,233.19885304293553,283.8942558783563,222.9063605917444,220.3636794633921,405.82493736961993,1.8794317038499644
16.0,10.6382,0.1001,0.1395,211.55010714848004,234.45854886246448,285.4277986151742,224.50416008472405,221.5481971687222,407.24650456848696,1.8727597697307465
16.02,11.0142,0.1025,0.1404,213.89413282608507,236.04208205378666,287.35557815243595,226.64376582864847,223.17487905971862,408.736973882158,1.85808897065134
16.04,11.6594,0.1053,0.1396,216.6961711649092,238.22197484473952,290.0093606805525,229.78629032881244,225.59401002605563,410.473903719965,1.8307678295522063
16.06,12.1783,0.1084,0.1401,219.67589748628257,240.1622932277231,292.3714874076629,232.51585713786412,227.6391703112475,412.2878394036222,1.8122351669816856
16.08,12.332,0.1118,0.1393,222.7721991289257,241.5182956301934,294.02227294110503,234.12654128546527,228.71510065972615,414.11523399853246,1.8132398736265436
16.1,12.2417,0.1132,0.1395,223.9093423451676,241.8241422392825,294.3946079434744,234.27401388997077,228.78833588256515,414.8936293720213,1.821254680838373
16.12,12.114,0.1122,0.1392,222.81969227805723,241.33184099549206,293.79528469016424,233.50442900208705,228.3537355908486,414.51333769723084,1.8251687058962762
16.14,11.9899,0.1103,0.1391,220.89387028970586,240.5660555408,292.8630241366261,232.44152836799722,227.77088684745107,413.69226462190136,1.826658634292316
16.16,11.8488,0.0975,0.1399,208.62251055124128,236.24395341937685,287.6013345975023,227.5209760841364,225.14432901342823,407.2032250537166,1.799638862995791
16.18,11.6748,0.0819,0.1372,193.00834059399818,230.40264368103408,280.4901749160415,221.0347284481267,221.51356947441306,398.1583916647265,1.7618565664177077
16.2,11.6237,0.0833,0.1372,194.30752071110487,230.88744223285343,281.0803644573868,221.4018409426221,221.76148681626697,399.14845519052795,1.7689908916644284
16.22,11.636,0.0866,0.1387,197.52541958311946,232.16763412429887,282.6388589339291,222.70342660696608,222.5879649722658,401.2979062786662,1.7786531598975452
16.24,11.6624,0.0897,0.1399,200.5081845131995,233.36684060073512,284.09876247046014,223.94655900178734,223.3880684885691,403.26939900491885,1.7866869008843858
