Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs
12.92,18.5612,0.085,0.0467,210.65290376093654,231.0800207252019,281.3148078393763,240.9335545510028,223.13610294703537,379.24626861700534
12.94,18.5631,0.1042,0.0429,231.16391753537124,238.75023550598107,290.65246061597696,248.93419926467357,227.04097603063192,389.5739820323895
12.96,18.7017,0.0941,0.0403,220.3100965041435,234.97757122175275,286.0596519221338,245.0951451780477,225.46587981779174,384.6160398348241
12.98,18.5269,0.1122,0.036,239.2722490903827,241.7035886520489,294.2478470546682,251.95193682131102,228.57103334903388,393.6398561307411
13.0,17.3635,0.1053,0.0319,232.67827158305144,238.67222435815464,290.55749052297085,247.08366023818303,225.353027434407,390.36999364683174
13.02,16.7192,0.1075,0.0309,235.23362388259147,239.06774719353908,291.0389965834389,246.63557789072135,224.61027012430102,391.4634591617221
13.04,16.2121,0.1063,0.0295,234.15881278098416,238.3183531422829,290.1266907819096,245.11844998478253,223.50338748458407,390.95531441440073
13.06,15.4628,0.0993,0.028,227.048519971065,235.29018152845117,286.44022099115796,240.77506692203448,220.82808473584535,387.5230269019701
13.08,14.9456,0.0968,0.0271,224.52772304225505,233.97922603769064,284.84427517631906,238.62291098014038,219.37763667462735,386.29288572964856
13.1,14.5863,0.0876,0.0272,214.50387835058993,230.27114390017744,280.33008822630296,234.00109304009092,216.89781868951795,381.3889631742147
13.12,14.5263,0.0831,0.027,209.38232894674553,228.49785609183272,278.1713030683181,231.91641939222527,215.9139166027534,378.91787739880203
13.14,14.6345,0.0794,0.0268,205.03813302731228,227.12864265150088,276.504434532262,230.51517570923593,215.4204120480371,376.84681101937355
13.16,15.0185,0.0769,0.026,201.9377324873473,226.4171060625834,275.6382160761885,230.2334511947871,215.74317755422862,375.49914814748206
13.18,15.5304,0.0744,0.0255,198.79851320624033,225.71569963557943,274.78432999114017,230.18636453858332,216.2843825657635,374.1257387192408
13.2,16.0375,0.0756,0.0251,199.91931299168002,226.5834217895731,275.84068739600207,231.8073257269698,217.6678889604441,375.13778066339273
13.22,16.5582,0.0799,0.0247,204.51549633460814,228.7765360320593,278.5105656042461,234.8316407839564,219.77052217969512,378.07946695730726
13.24,16.9696,0.0896,0.0239,214.95720572039488,233.05863635104936,283.7235572969297,239.88078848739048,222.74961334724648,383.9697639311722
13.26,17.137,0.0892,0.0864,214.20336915187752,232.9615675689212,283.6053866056432,239.95249160244194,223.0754698277125,383.92095352714824
13.28,17.1553,0.0914,0.151,216.30997217344947,233.8236775483708,284.6549117980166,240.8166650387109,223.65508658572008,385.2888325933765
13.3,17.263,0.0942,0.1755,219.1025611363366,234.99632847404197,286.08248683796415,242.1507145545727,224.51199400812266,386.96839691662547
13.32,17.7274,0.0999,0.1643,224.8556042084089,237.47529108474137,289.10035436403297,245.3856294445575,226.56812959130133,390.16006154353704
13.34,18.0179,0.0999,0.1567,224.65679958170142,237.67385448924577,289.34208372603837,245.95920695637648,227.19380231577452,390.35514209205496
13.36,18.0386,0.1015,0.1306,226.27912313411747,238.3567409054844,290.1734237110245,246.66445251923156,227.62602118635144,391.31390075453146
13.38,18.1502,0.0971,0.1179,221.5800268710259,236.79271592292034,288.26939329746824,245.13649584281077,227.08619967578235,389.23095738074693
13.4,17.9114,0.094,0.1032,218.34690827270066,235.53354829233882,286.7364935732821,243.42630844306308,226.13783058146046,387.7011140157872
13.42,17.3539,0.0913,0.0915,215.61379546722384,234.25446524817008,285.1793489977723,241.22109308625545,224.65975347490357,386.29036991105295
13.44,16.6219,0.0919,0.0822,216.44810930048774,234.1396107252204,285.0395261002683,239.98426305195107,223.4837874865111,386.64181764190437
13.46,15.707,0.0876,0.0737,212.06056796694563,231.89708956504492,282.30950034005474,236.24229069647518,220.88062248928023,384.22425693068
13.48,14.8955,0.082,0.066,206.0932236039989,229.0830995934869,278.883773418158,232.0307981443263,218.09117641777053,380.9322190181663
13.5,14.0572,0.078,0.0581,201.7845890608274,226.76841682299718,276.0658987410401,228.30934323758171,215.47252121329296,378.4434112239373
13.52,12.998,0.0693,0.0514,191.93361186755675,222.06101851075044,270.3351529696092,221.69090199023694,211.06120944366253,372.593149100119
13.54,11.9031,0.0637,0.0456,185.37069699800992,218.34428462988464,265.81043346246827,216.08184795423335,207.0362708015932,368.43195307066054
13.56,10.6707,0.0608,0.0398,181.90845680831694,215.3222275432713,262.1314074439825,211.0795448768582,203.09993894169347,366.0475881703335
13.58,9.4673,0.0615,0.0348,182.8481927127861,213.48019598293502,259.88893424009484,207.57594942902517,199.90200851736998,366.40486857472035
13.6,8.3246,0.0674,0.0297,190.24752044499118,213.20406409902805,259.5527736857733,206.29278415599157,197.8120468910083,370.5796567800796
13.62,7.347,0.0717,0.0259,195.53475282912436,211.83160465554147,257.88195349370267,204.24355503217205,195.3651047597403,373.3647113896144
13.64,6.5048,0.0763,0.0221,201.04244204902497,210.20962905422124,255.9073745007911,202.32155605158255,193.04183763611786,376.19577370622324
13.66,5.8922,0.0818,0.0189,207.43605062559487,209.1292631456065,254.59214643812967,201.3715238647256,191.4924248958632,379.4781416932008
13.68,5.4582,0.0879,0.0165,214.32296769730954,208.5808171010313,253.92447299255988,201.22119637100266,190.6057311076339,382.96779801897435
13.7,5.0732,0.0901,0.0146,216.5731255849541,206.92211155802207,251.9051792880269,199.6190405253199,189.07273392617202,384.1345482117865
13.72,4.6052,0.0781,0.0135,202.13103754503035,200.76673469044545,244.41167701445534,191.89005778161902,184.33172411492973,376.93200868202695
13.74,4.0298,0.0753,0.0135,198.01983774668278,195.8447988541789,238.41975512682652,186.46288267732209,180.34866864592212,374.9150233534164
13.76,3.8188,0.0771,0.0175,199.67777513286168,194.61765880881367,236.92584550638188,185.3742015307249,179.38112219951947,376.0568877460319
13.78,4.09,0.0846,0.029,208.6081313500337,198.7263513358567,241.92773206104295,190.31806178473798,182.63709973933084,380.9559027143446
13.8,4.7229,0.1048,0.0371,231.4491777742254,208.15147412055842,253.40179458154938,201.96182832355618,189.88045141041948,392.27016286260647
13.82,6.002,0.1083,0.0374,235.35311223595534,216.81494898924709,263.9486335521269,211.1027571394134,197.16410132609184,394.79294211265227
13.84,7.8283,0.1153,0.0419,242.1270658074633,226.64727824186969,275.9184256857544,222.37396017208587,206.0030274586912,398.9496931428267
13.86,10.0779,0.1297,0.049,255.4504640451142,237.30549944829562,288.893651502273,235.7406858980491,215.8178220404742,406.0065012886542
13.88,12.7942,0.135,0.0631,259.0799825942413,244.5733151803,297.7414271760174,245.91318873461708,224.19694419683645,408.9964867291683
13.9,14.5797,0.1395,0.0825,262.29113191741055,248.55958988867545,302.59428334273537,252.058641107281,229.1687486581745,411.29069710948914
13.92,15.9088,0.1368,0.0787,259.0336456668017,249.48500083267663,303.7208705789107,254.42501333517245,231.78240523335876,410.6613131289617
13.94,17.0007,0.1331,0.0697,254.98523284154052,249.53264650174182,303.7788740021205,255.6939367561939,233.569898738892,409.54991367714666
13.96,17.959,0.1348,0.0708,256.07635669498296,250.86171564017152,305.39687121412186,258.29284997523837,235.76365735080475,410.54157124452684
13.98,18.8434,0.1295,0.0702,250.6317962682763,249.85932689847073,304.1765718763992,258.32486420966353,236.70647712584162,408.69969936336713
14.0,19.8311,0.1261,0.0651,246.96601392436142,249.32411068694546,303.52500431454234,259.08694052221927,238.02288178124542,407.5899584789492
14.02,20.8764,0.125,0.0596,245.4874724553173,249.4176765986478,303.6389106418321,260.651162163057,239.71085980129197,407.4278911786324
14.04,21.5456,0.1286,0.0574,248.5727424990101,250.8940331879336,305.43621431574525,263.10226304247203,241.466294041914,409.1775646600208
14.06,21.6509,0.1325,0.0547,252.0844241359878,252.27323666312478,307.1152446333693,264.6218037007333,242.33168241090053,410.93263009962044
14.08,21.4029,0.1301,0.0461,249.83936841358457,251.4519679820041,306.1154392824398,263.3691673930652,241.65869966940255,410.06978736565674
14.1,20.99,0.1278,0.042,247.71632376323768,250.59474470035855,305.07186311348,261.8342389291808,240.72022926004496,409.2079796388514
14.12,20.7504,0.1274,0.0387,247.3157497263058,250.4230716182095,304.86286979608116,261.25656520549165,240.35476884157578,409.15320288436146
14.14,20.3361,0.1192,0.0376,239.5550620203541,247.51565746714832,301.32340909044143,257.61027692645666,238.43183015163356,405.71451918912027
14.16,19.5911,0.1104,0.0392,231.13082330119718,244.14501595239753,297.22001942031005,252.99310512137464,235.74164560519927,401.72233035170893
14.18,18.8453,0.1016,0.0359,222.50221041400627,240.61769316072358,292.9258873260983,248.20838446967804,232.9084434293563,397.43538067424186
14.2,18.2884,0.0964,0.0308,217.28513701142646,238.42157186405132,290.2523483562364,245.0613349496605,230.9860110979964,394.783343830751
14.22,17.9039,0.1,0.031,220.92216953434024,239.6785155981864,291.78254072822693,245.6900045598862,231.0725576853455,396.74838341313733
14.24,17.6684,0.1026,0.0669,223.40052362074258,240.5346213423791,292.82475641680935,246.14671105788247,231.21458776130518,398.17702649609214
14.26,17.4988,0.1114,0.1075,231.94792977843676,243.58865427185208,296.5427095483417,249.00517845122647,232.56679743636724,402.57363713468806
14.28,17.3291,0.1125,0.1481,232.84501415699788,243.85325756164963,296.86483529244305,248.97004428469964,232.52072540643255,403.2020785408701
14.3,17.1806,0.1099,0.1542,230.2085544449866,242.88821360907227,295.6899991762619,247.6829906046379,231.87267321177293,402.09507756864554
14.32,16.8487,0.0983,0.1488,218.61529278988257,238.5180958828467,290.3698558573786,242.58072029010162,229.18040640706496,396.3892679126011
14.34,16.3446,0.0963,0.1363,216.59828781431472,237.4829752197151,289.1097089631314,240.68967430019327,227.87955758129246,395.3821674256945
14.36,15.5699,0.1001,0.1262,220.5121700862234,238.3370511649372,290.1494535920975,240.38177107277255,227.107744567085,397.37374916255817
14.38,14.8285,0.108,0.1164,228.48010153875947,240.41944689383465,292.68454404466826,241.52798003140086,227.03194245784965,401.3136772225227
14.4,14.449,0.1155,0.1091,235.82725801319265,242.46618546547106,295.1762257840517,243.22462348881504,227.53779356602735,404.89640756145616
14.42,14.6959,0.121,0.1007,240.98489191277275,244.51531441726604,297.6708175514543,245.7351490874319,229.06440188766632,407.5466392983898
14.44,15.4823,0.113,0.0966,232.97991980947444,242.89238722843734,295.69508010418457,244.90529102891873,229.57221392223215,404.2362305326491
14.46,15.9891,0.1005,0.1119,220.36555252440232,239.0497232683122,291.01705441359746,241.47276795404812,228.4941314320995,398.35678557074476
14.48,15.8301,0.0873,0.0923,206.81025305724418,233.95224415974104,284.81142767272826,235.89448331195342,225.60115161372758,391.23908299362694
14.5,15.4618,0.0803,0.083,199.36416964394985,230.8589920620855,281.0457294668867,232.0930628466747,223.36903361610882,387.0788171446922
14.52,15.0701,0.0748,0.0756,193.3595990096374,228.25512940479078,277.8758097101801,228.756493412419,221.32328024823627,383.585848452601
14.54,14.5294,0.0726,0.0687,190.87405436012423,226.92445288961898,276.25585569171005,226.45821834330144,219.70105049501754,382.1298323499202
14.56,13.5421,0.0732,0.0613,191.44937081824068,226.3639714454159,275.57353045528896,224.22189554595735,217.71777701698545,382.47275165924583
14.58,12.3327,0.0822,0.0549,201.20025253900909,228.6569126745951,278.36493716907233,224.78639359515245,216.9647356733959,388.1481992749322
14.6,10.9092,0.1043,0.0486,224.18635194282714,233.83445690732603,284.6680344958752,228.88516416369208,217.50422257711634,400.12681349181656
14.62,9.6322,0.1204,0.0433,239.98976402541328,235.32546866516435,286.4831792445479,229.7691967660661,216.28263987795506,407.4294827887761
14.64,8.4643,0.1124,0.0382,231.99446527086718,229.7550704829893,279.7018249358131,222.4831823936871,211.16646854441726,403.55751772494705
14.66,7.6986,0.0919,0.034,210.75108856108784,221.50662642375312,269.66024086369947,212.00085107041994,204.9281157974283,392.9905554975146
14.68,7.704,0.0865,0.0311,204.84836032881253,219.93392905596207,267.7456527637799,209.971544939715,203.9985811592711,390.04547315467346
14.7,8.4261,0.0794,0.039,197.11754025578722,219.91945325213837,267.7280300460815,210.2050472038986,205.2614419454718,386.11559537785206
14.72,9.6042,0.0734,0.063,190.47037833331626,220.7216503074804,268.7046177656283,212.1172781278659,207.8851079248953,382.69354064286057
14.74,10.6915,0.076,0.0528,193.49307825775426,223.96361697893303,272.6513598004402,216.97233977942108,211.81134392462494,384.86664294539617
14.76,11.6089,0.085,0.0479,203.25255487826684,228.98182694745205,278.7604849795068,223.61678190230134,216.41906445914793,390.879161606324
14.78,12.6703,0.0905,0.0447,208.96422362660496,232.62280512475542,283.19298015187616,228.9429370712969,220.389277449389,394.4684971961406
14.8,14.1005,0.1021,0.0429,220.60169854439772,238.56416505984834,290.42594007285885,237.27085296112654,226.1462998597474,401.15633164292564
14.82,15.7382,0.1116,0.0414,229.65737790857375,243.5240427744071,296.4640520731913,244.82592828612226,231.54279978239813,406.2918995614636
14.84,17.0141,0.1174,0.0416,234.93722127832262,246.56900903073983,300.1709675156833,249.83333158295338,235.23145387119456,409.35242869131685
14.86,18.0943,0.1237,0.0425,240.5868396889272,249.44503873929656,303.67222107392627,254.37324593168282,238.44694048189336,412.47191629227547
14.88,18.7503,0.1208,0.0439,237.6931804281089,248.91777547701236,303.0303353633194,254.76812208763604,239.29089674043118,411.45018250264087
14.9,19.0601,0.118,0.0463,234.9299931066646,248.1622607213819,302.11057826950844,254.4274940229394,239.4792213593103,410.3868805269364
14.92,19.2671,0.1155,0.0516,232.4465427930166,247.4227018363039,301.2102457137613,253.95627480287985,239.51538504468758,409.4176551308963
14.94,19.3799,0.1112,0.0598,228.25288049829626,245.96323414209903,299.4335024338597,252.62608365362593,239.05212412635646,407.55899275306746
14.96,19.3641,0.1073,0.0648,224.42716643116705,244.5547397863453,297.7188136529421,251.15373479127516,238.4054594964478,405.8066808189736
14.98,19.2527,0.1121,0.0678,228.90820397477668,246.3098933807818,299.855522376604,252.66820595298103,239.16309757562422,408.2424972931826
15.0,19.0814,0.1083,0.0673,225.21280453388096,244.89166888177493,298.12898820389995,250.9303124096474,238.2611473826661,406.52668544126306
15.02,18.8248,0.1041,0.0691,221.09589324939284,243.2532197132071,296.1343544334695,248.83582469761345,237.10551095495273,404.53755748572416
15.04,18.6045,0.1017,0.0734,218.67908442062355,242.2818702965343,294.9518421001287,247.46123989791352,236.33353604750047,403.41343269984407
15.06,18.6573,0.1061,0.0667,222.8523519549717,244.01295233150503,297.05924631661486,249.22001927019997,237.35029099525877,405.7857149218669
15.08,18.659,0.1061,0.068,222.75639070422375,244.0525399775519,297.1074399726719,249.21422678009273,237.4409916191265,405.9222607239243
15.1,18.6357,0.1035,0.0654,220.169921844768,243.10914361926686,295.95895744954225,248.1942834282782,236.99721671364927,404.74708236225746
15.12,18.5443,0.1014,0.0623,218.05739558087424,242.31176312416179,294.9882333685448,247.2087078819228,236.5139031408381,403.79045625809545
15.14,18.524,0.0997,0.0571,216.32891135283592,241.6915733127466,294.2332196850829,246.51969115854803,236.23177961674836,403.03541513714566
15.16,18.5613,0.0981,0.056,214.6829886766743,241.12191230227035,293.53971932450304,245.97908971214113,236.0697481822772,402.32898944109684
15.18,18.6675,0.0995,0.0589,215.95466786173077,241.75003010423544,294.3043844747214,246.7287529363905,236.628525894253,403.22230850663755
15.2,19.052,0.102,0.0633,218.27696914303104,242.90575290122112,295.71135135800836,248.4656770518692,237.90063278346983,404.721024466396
15.22,19.5991,0.1056,0.082,221.5915361842289,244.50382767151783,297.6568336870652,250.9007799610539,239.64876990754905,406.77056547781797
15.24,19.6778,0.1081,0.1343,223.75464813574138,245.4635637507418,298.8252080443813,251.9077815489708,240.34096385081972,408.1574412658886
15.26,19.7565,0.1115,0.1866,226.74102458545272,246.74052654996643,300.37977145213307,253.22657761786843,241.1859687259991,409.9520280623723
15.28,19.8891,0.1155,0.1795,230.3882918911078,248.28707027179385,302.2625203308795,254.9219471429987,242.21386463292754,411.99161191336987
15.3,20.003,0.1165,0.1612,231.26011468583224,248.74630784969,302.82159216484,255.521054535961,242.67486238298864,412.607541600315
15.32,20.0554,0.1216,0.1601,235.84476427726898,250.59830111845037,305.0761926659396,257.3872789776792,243.71965672528754,415.0573410899281
