File Name, max_depth of CPT, Vsz_Hegazy 2006, Vs30_Boore 2004, Vsz_Andrus 2007-H, Vs30_Boore 2004, Vsz_Andrus 2007-P, Vs30_Boore 2004, Vsz_Robertson 2009, Vs30_Boore 2004, Vsz_McGann 2015, Vs30_Boore 2004,Vsz_McGann 2018, Vs30_Boore 2004
SCPT_192469_Raw01, 29.00, 202.49, 204.31, 167.11, 168.57, 203.44, 205.27, 177.74, 179.30, 144.96, 146.19, 335.57, 338.85
SCPT_57358_Raw01, 20.00, 222.53, 248.39, 178.09, 198.36, 216.81, 241.94, 206.32, 230.13, 144.98, 161.17, 301.00, 336.94
SCPT_14552_Raw02, 22.00, 202.85, 220.91, 160.95, 175.10, 195.94, 213.36, 180.91, 196.92, 132.94, 144.51, 294.79, 321.58
SCPT_217000_Raw01, 20.00, 246.46, 275.36, 160.38, 178.46, 195.25, 217.66, 193.11, 215.25, 131.65, 146.22, 292.78, 327.65
SCPT_140250_Raw01, 18.00, 252.27, 289.29, 153.00, 174.20, 186.27, 212.67, 189.95, 216.94, 121.68, 138.08, 277.70, 318.89
SCPT_148999_Raw01, 24.00, 139.66, 148.31, 167.17, 177.67, 203.52, 216.48, 169.21, 179.85, 141.99, 150.80, 278.03, 296.13
SCPT_195931_Raw01,N,N,N,N,N,N,N,N,N,N,N,N,N
SCPT_192465_Raw01, 28.00, 138.00, 140.37, 148.29, 150.88, 180.53, 183.79, 149.08, 151.69, 133.98, 136.27, 307.68, 313.75
SCPT_124802_Raw01, 17.00, 206.29, 238.79, 143.09, 164.49, 174.20, 201.00, 180.58, 208.50, 113.67, 130.10, 250.63, 291.20
SCPT_140257_Raw01, 24.00, 239.69, 255.13, 178.74, 190.01, 217.59, 231.52, 197.23, 209.76, 149.21, 158.50, 326.00, 347.46
SCPT_57354_Raw01, 20.00, 261.64, 292.49, 194.42, 216.73, 236.69, 264.34, 230.68, 257.57, 154.87, 172.28, 305.90, 342.47
CPT_170530_Raw01,N,N,N,N,N,N,N,N,N,N,N,N,N
SCPT_195932_Raw01, 10.00, 345.23, 451.11, 138.72, 176.51, 168.88, 216.11, 208.62, 268.63, 104.25, 131.54, 243.70, 315.21
SCPT_192478_Raw01, 17.00, 239.31, 277.80, 155.37, 178.88, 189.14, 218.58, 190.03, 219.62, 126.61, 145.21, 289.50, 337.28
SCPT_57366_Raw01, 20.00, 262.73, 293.72, 195.93, 218.43, 238.52, 266.41, 237.24, 264.97, 157.82, 175.58, 308.55, 345.47
