Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs
8.14,26.0961,0.0398,0.0808,166.2453752991521,193.7089953822824,235.8196465523438,218.07744318421834,193.53013077879373,306.4892092908203
8.16,23.5844,0.0608,0.0793,196.71591690555454,206.83703413495573,251.8016067729896,228.9502510709522,197.6922571698167,323.80403376033206
8.18,22.9194,0.0852,0.0724,230.76141648784355,218.73939348701643,266.2914355494113,241.9293629969976,202.60912218851726,338.4612800222147
8.2,23.4655,0.1472,0.0682,308.00031220329896,240.83321317028876,293.1882595116559,269.92527724052707,212.88071255037175,363.68371607893084
8.22,24.7474,0.0832,0.0737,224.83522325306214,217.68930852826028,265.01307125179517,242.25909031146475,204.73433566741986,338.02628820252073
8.24,24.8667,0.0797,0.0793,219.97868924363186,216.1221213687065,263.1051912314688,240.55536712686876,204.28460671700785,336.3616669462808
8.26,24.9859,0.0909,0.0849,234.23967662955107,221.14425564004586,269.21909382266455,246.40091022165421,206.80791592939127,342.38281255009946
8.28,23.3596,0.0873,0.0818,232.25273226394538,219.92172833593045,267.7307997133066,243.50534151561902,204.26476406070523,340.6276719078043
8.3,24.6899,0.0976,0.0717,243.16657220870295,224.12910118436426,272.8528188331391,249.5690489263928,207.95465732499468,345.95501624483603
8.32,25.9146,0.0661,0.0676,200.48126937501476,209.3633404957183,254.8771101687005,234.0999613932413,202.8800009617668,329.18298273321227
8.34,26.8263,0.0799,0.0843,217.0672554599852,215.94305708740885,262.88719993249777,242.21848390740223,207.26507107287577,337.6892202637807
8.36,27.0154,0.0663,0.0292,199.4261696163214,209.17392000267307,254.646511307602,235.11681876696667,204.42256481472506,329.813650638757
8.38,27.6804,0.0654,0.0864,197.4188505844202,208.43173342089696,253.7429798167441,235.07511556302302,205.04322943661182,329.48653783343656
8.4,27.0974,0.079,0.0737,215.39581596118333,215.61482975100796,262.48761882731407,242.09301943803186,207.78399435570128,337.8295238298218
8.42,25.1227,0.0886,0.07,230.40853538639524,220.65832827696036,268.6275300762996,245.71214763395164,207.63527257510728,342.91824239695734
8.44,21.0829,0.1055,0.0731,259.6477773154695,227.60102899644986,277.0795135608955,250.79356168741623,205.5497474660675,350.54542118278266
8.46,20.8892,0.0909,0.0539,240.73930935882896,222.06590009554634,270.3410957684912,243.71766132209711,202.8879839069896,344.00533942377564
8.48,20.7552,0.0817,0.0752,228.43430753355855,218.26074515673773,265.7087332342894,238.93565152316913,201.04467634547598,339.452891663322
8.5,20.5306,0.117,0.0597,275.31786668363657,231.69149662699246,282.05921328503433,255.54036228246034,206.93861937006153,355.8595930653435
8.52,20.2509,0.1766,0.0675,348.6884660063248,248.39916426453223,302.39898258290884,278.18220154511744,213.84950128458013,375.610264388509
8.54,19.6982,0.1785,0.0469,352.4854345919656,248.5536343118089,302.58703307524564,278.32956670849575,213.32733379276146,376.27929509639534
8.56,19.1923,0.1771,0.0317,352.27201970362546,247.92679276820854,301.82392163086257,277.3724389433252,212.5288839219608,376.04443913033856
8.58,19.588,0.169,0.0286,341.1334215320602,246.35860709519304,299.9148260289307,274.96578818955425,212.46551935779365,374.0399907120214
8.6,18.7789,0.1585,-0.0333,331.0439766254873,243.29188093578372,296.1814202696498,270.5122808156717,210.19351996379493,371.03666465924556
8.62,16.8295,0.1059,0.0583,269.1524162175107,226.6632171907246,275.9378296234908,247.13017662200295,200.22092448715708,352.007969006081
8.64,16.2123,0.0694,0.0619,218.93635478794735,212.34615857682203,258.50836696308767,228.06049410391415,192.4062194908668,333.2938604653874
8.66,15.2946,0.0734,0.0967,226.66682803273397,213.6215244626886,260.06098630240353,229.19392123549937,191.8112430049337,335.782340538472
8.68,14.9325,0.0661,0.0817,216.41137627105203,210.30200030393385,256.01982645696296,224.67777044054455,189.61736673283005,331.3752102455268
8.7,14.6728,0.0781,0.0787,234.91345631890906,215.26222941289208,262.0583662417817,231.01984168623355,191.89872213002778,338.7934121818839
8.72,14.3287,0.0563,0.0651,202.25575906829104,205.46461580222262,250.13083662879276,218.08064865618158,186.23760599957063,324.81228572917723
8.74,13.8707,0.0596,0.0642,208.31382048989894,206.80811328663464,251.76639878372913,219.52311685554125,186.36553800425233,327.3374460442821
8.76,13.8297,0.0613,0.0791,210.90995248576945,207.61146707060604,252.74439469465085,220.47553081999686,186.8401560102687,328.7192749775311
8.78,13.8091,0.0563,0.0751,202.92644721590878,205.28666555682565,249.91420154743992,217.40084336304864,185.60313567874178,325.2873564196549
8.8,13.7677,0.0509,0.0748,194.20554538845832,202.59906090373173,246.64233501323864,213.90624583368705,184.09314728399585,321.22900869099794
8.82,13.6137,0.0493,0.0818,191.75621805189527,201.70815370361447,245.55775233483502,212.63785488035953,183.42433503885047,320.0551579926011
8.84,13.4349,0.0449,0.0798,184.71329525362867,199.26556746981908,242.58416909369282,209.4251792561928,181.7748345759786,316.33929151788124
8.86,13.2893,0.0454,0.0822,185.68684225297167,199.49675485919477,242.86561461119365,209.562093604126,181.77089126927586,316.9506622186155
8.88,13.5848,0.0444,0.0851,183.42599630535875,199.1884204353331,242.49025096475333,209.30465413151455,182.12479748751096,316.2660801558336
8.9,14.2428,0.048,0.0877,188.1353384966547,201.61418988316333,245.4433615968945,212.67080629812142,184.6753801533524,319.78154300066734
8.92,15.0904,0.0515,0.0847,192.2204914673807,203.96968806854906,248.3109246051902,216.10005015715416,187.4270030058386,323.04229642926236
8.94,15.7839,0.0565,0.0726,198.72264047085739,206.91625804274406,251.89805326942755,220.14531129429383,190.2184053678647,327.2511880273305
8.96,16.2112,0.0578,0.0773,199.8662263363468,207.78209473569748,252.95211533041433,221.4676285411685,191.43125382525807,328.47092466948305
8.98,16.4809,0.0547,0.0816,194.66805828620696,206.32999860747634,251.18434613084077,219.90035898469984,191.12911364546358,326.349295755757
9.0,16.7125,0.0528,0.0855,191.36621968780747,205.43923023016228,250.0999324541106,219.00537334619983,191.07057947323756,325.0693529063171
9.02,16.9916,0.0521,0.0828,189.84396519195076,205.18356378575268,249.78868634787284,218.92104450209615,191.43286857667087,324.7279322240834
9.04,17.3894,0.052,0.0849,189.07118063436735,205.25526831184536,249.87597881442045,219.3450940328274,192.15952044796228,324.88443794243705
9.06,17.9069,0.0574,0.0852,196.21785836488567,208.26142883358142,253.53565249305564,223.28110836914416,194.6812328555772,329.33970067802437
9.08,18.3436,0.0672,0.0861,209.4954219893324,213.25750950267138,259.61783765542606,229.4830160949256,198.0519473057623,336.40563850674937
9.1,18.9408,0.0374,0.0852,165.69226613450738,196.839098341946,239.63020667715165,211.68431743743005,189.63785348736994,311.97750713497584
9.12,19.7458,0.0393,0.0748,167.829346945367,198.033112565506,241.08378921018124,213.95035687936902,191.68111695645013,314.2649842072709
9.14,20.6249,0.0466,0.0801,177.41028793585085,202.41880437244018,246.4228922794924,219.68146109672492,195.753404131342,321.58502108099907
9.16,21.5742,0.0387,0.0939,165.69170576104133,197.4246102628534,240.34300379825635,215.6679071156222,194.12942654860237,314.1903575502237
9.18,23.1457,0.0718,0.0952,208.63151618508832,215.62561283116108,262.50074605532654,236.8642873039476,206.55235136989367,340.84129905393115
9.2,26.3686,0.0605,0.1404,190.65861446156762,208.73727217989122,254.11494004508498,233.42456593305877,207.6218581423417,333.84303410154746
9.22,29.7092,0.0332,0.0779,156.65775820902033,191.03325187517885,232.56221967413077,220.99842684254492,201.0776393063847,309.23171026874087
9.24,32.7312,0.0225,0.0264,149.5250322996611,185.22654571662798,225.493186089808,220.26391806956767,197.54238716555244,294.3535037996054
9.26,34.3501,0.0525,0.0213,176.28653367349028,199.80338591781748,243.23890459560388,235.47434059441906,213.54161960953238,328.9265362402955
9.28,39.1735,0.2121,0.0739,340.9463796431601,262.2915308505049,319.3114288614842,304.7888828142546,244.50623484770725,394.9915672415057
9.3,41.0294,0.1928,0.0262,319.49512620072,256.1811855454346,311.8727476205291,299.67961012217773,244.3462453894687,390.46917915553985
9.32,43.657,0.171,0.0367,294.7151381308964,248.01343430677636,301.9293982865104,293.60301940585214,244.2428639531832,384.81135115572897
9.34,47.9255,0.11,-0.0131,229.26359096982065,220.4333546148465,268.3536490963349,271.56350296681705,238.7874212307132,363.8101048008048
9.36,48.4691,0.1293,0.07,248.2995758764642,228.9091063020922,278.6719554981992,280.0583335543473,242.5504809549455,371.76867538892685
9.38,44.1244,0.2682,-0.0418,386.6654559506791,276.115174433188,336.14021235344626,324.8194339179536,254.38180192592355,408.69312987709685
9.4,45.0651,0.2247,0.0278,344.77940695595623,264.4885861504896,321.9861048788569,312.5727605085647,251.58423887103572,399.67586199684774
9.42,45.5683,0.1928,0.0243,313.67690808646995,254.7140635684918,310.0866860833813,302.5925092306968,248.9518193712471,392.0420510017204
9.44,48.0891,0.1491,-0.0154,268.41043957006775,237.72954719034297,289.40988353606974,288.1889418294176,245.73861108861453,379.51322006027203
9.46,49.6459,0.1702,0.0093,287.6354988555091,244.88248002357824,298.1178017678344,296.9059219093179,249.74247419485613,386.39766404579575
9.48,50.9462,0.1307,-0.0238,247.8327899105058,228.08764797590698,277.6719192750172,282.39920620123365,245.38358844139526,373.6291212075557
9.5,48.4144,0.1859,0.0386,303.8294046837576,251.2645451061573,305.88727230314805,302.0052761991023,250.96404775647278,391.2001025093491
9.52,48.9152,0.2078,0.0516,324.05994981325966,258.2373150647424,314.3758618179473,309.68338734605356,253.81856637210274,397.1464714830591
