Depth,Qc,Fs,u
8.48,20.7552,0.0817,0.0752
8.5,20.5306,0.117,0.0597
8.52,20.2509,0.1766,0.0675
8.54,19.6982,0.1785,0.0469
8.56,19.1923,0.1771,0.0317
8.58,19.588,0.169,0.0286
8.6,18.7789,0.1585,-0.0333
8.62,16.8295,0.1059,0.0583
8.64,16.2123,0.0694,0.0619
8.66,15.2946,0.0734,0.0967
8.68,14.9325,0.0661,0.0817
8.7,14.6728,0.0781,0.0787
8.72,14.3287,0.0563,0.0651
8.74,13.8707,0.0596,0.0642
8.76,13.8297,0.0613,0.0791
8.78,13.8091,0.0563,0.0751
8.8,13.7677,0.0509,0.0748
8.82,13.6137,0.0493,0.0818
8.84,13.4349,0.0449,0.0798
8.86,13.2893,0.0454,0.0822
8.88,13.5848,0.0444,0.0851
8.9,14.2428,0.048,0.0877
8.92,15.0904,0.0515,0.0847
8.94,15.7839,0.0565,0.0726
8.96,16.2112,0.0578,0.0773
8.98,16.4809,0.0547,0.0816
9,16.7125,0.0528,0.0855
9.02,16.9916,0.0521,0.0828
9.04,17.3894,0.052,0.0849
9.06,17.9069,0.0574,0.0852
9.08,18.3436,0.0672,0.0861
9.1,18.9408,0.0374,0.0852
9.12,19.7458,0.0393,0.0748
9.14,20.6249,0.0466,0.0801
9.16,21.5742,0.0387,0.0939
9.18,23.1457,0.0718,0.0952
9.2,26.3686,0.0605,0.1404
9.22,29.7092,0.0332,0.0779
9.24,32.7312,0.0225,0.0264
9.26,34.3501,0.0525,0.0213
9.28,39.1735,0.2121,0.0739
9.3,41.0294,0.1928,0.0262
9.32,43.657,0.171,0.0367
9.34,47.9255,0.11,-0.0131
9.36,48.4691,0.1293,0.07
9.38,44.1244,0.2682,-0.0418
9.4,45.0651,0.2247,0.0278
9.42,45.5683,0.1928,0.0243
9.44,48.0891,0.1491,-0.0154
9.46,49.6459,0.1702,0.0093
9.48,50.9462,0.1307,-0.0238
9.5,48.4144,0.1859,0.0386
9.52,48.9152,0.2078,0.0516
9.54,49.9599,0.2122,0.0385
9.56,51.7925,0.1615,-0.0115
9.58,52.458,0.107,0.0222
9.6,56.5441,0.1749,-0.028
9.62,53.3501,0.2566,0.0044
9.64,52.2291,0.2556,0.0444
9.66,49.4116,0.2819,0.0572
9.68,47.1446,0.304,0.068
9.7,49.6344,0.2742,0.0724
9.72,53.4419,0.2262,0.0788
9.74,52.1418,0.068,0.0677
9.76,52.269,0.1037,0.041
9.78,53.0087,0.1501,0.0557
9.8,54.2246,0.1389,0.0918
9.82,55.2545,0.1337,0.0717
9.84,54.6405,0.1298,0.0424
9.86,54.7343,0.117,0.0768
9.88,55.3986,0.1024,0.0463
9.9,53.6259,0.0679,-0.0074
9.92,52.5132,0.1393,0.0426
9.94,53.4913,0.1384,-0.0032
9.96,53.3702,0.1085,-0.0074
9.98,54.1656,0.0976,-0.0119
10,53.5169,0.0941,0.0385
10.02,51.0255,0.1305,0.0102
10.04,49.9793,0.0742,0.0489
10.06,48.4524,0.0419,0.0614
10.08,44.796,0.0135,0.091
10.1,45.5969,0.0551,0.0619
10.12,47.0194,0.059,0.0939
10.14,45.8808,0.0487,0.0664
10.16,47.4429,0.0458,0.0433
10.18,48.8318,0.1567,0.0346
10.2,49.6467,0.2527,0.0095
10.22,50.2815,0.2496,0.0556
10.24,47.9502,0.2313,0.0901
10.26,46.5181,0.2035,0.0956
10.28,47.0395,0.2224,-0.0478
10.3,47.1398,0.1652,0.0072
10.32,49.1693,0.1202,0.0101
10.34,47.9005,0.0899,0.0757
10.36,46.693,0.127,0.1038
10.38,46.6007,0.129,0.0231
10.4,46.9487,0.1315,0.0879
10.42,44.3869,0.0695,0.0813
10.44,44.2214,0.0333,0.0037
10.46,42.3183,0.0273,0.0239
10.48,40.514,0.0316,0.0485
10.5,39.4805,0.034,-0.0111
10.52,39.2144,0.0522,-0.0109
10.54,40.4537,0.0375,0.0039
10.56,38.3071,0.0487,0.0534
10.58,37.5315,0.0763,0.0399
10.6,38.2,0.0583,0.0418
10.62,39.6546,0.0228,0.0032
10.64,40.6895,0.0236,0.0129
10.66,39.4041,0.0262,0.0105
10.68,41.7539,0.0593,0.0391
10.7,42.0187,0.106,0.0735
10.72,43.6011,0.1125,0.0808
10.74,45.0518,0.1115,0.0656
10.76,48.215,0.1449,-0.0405
10.78,47.8975,0.1602,-0.0476
10.8,46.8448,0.1864,0.0077
10.82,46.8525,0.1983,0.0129
10.84,47.2569,0.2117,0.0214
10.86,47.255,0.1567,0.0578
10.88,48.2507,0.1629,-0.0128
10.9,49.817,0.1482,0.0341
10.92,47.2098,0.177,-0.0022
10.94,45.1469,0.1855,0.0403
10.96,43.7216,0.18,-0.0002
10.98,42.5564,0.1871,-0.0187
11,39.4096,0.1834,0.0213
11.02,33.7682,0.1516,0.0108
11.04,32.5606,0.1254,0.0674
11.06,31.5853,0.1357,0.0997
