Depth,Qc,Fc,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic
0.23,2.1434,0.0022,-0.0002,383.1389251552466,83.59269373261827,101.76501845710051,170.55183342795812,39.398356762434446,83.7610302178504,2.1513688893869602
0.24,2.4856,0.0022,-0.0002,,,,,,,2.1513688893869602
0.25,2.6817,0.0022,-0.0002,330.23949658476636,88.14567241448091,107.30777511328111,164.83967124667146,41.64446580869595,85.68874092443616,2.0459834533303045
0.26,2.8739,0.0022,-0.0001,,,,,,,2.0459834533303045
0.27,3.0469,0.0022,0.0,302.45583579994104,91.15850476086854,110.97557101323126,162.04280148453182,43.33448232837394,87.45613631513802,1.9876950530768422
0.28,3.2122,0.0023,-0.0001,,,,,,,1.9876950530768422
0.29,3.3852,0.0071,-0.0001,353.04453357308694,97.05859990761651,118.15829553970705,175.8925536266113,49.46284052938834,103.78365425415326,2.0146026168951483
0.3,3.5698,0.0075,-0.0001,,,,,,,2.0146026168951483
0.31,3.762,0.008,-0.0001,334.3765070554606,100.067912767127,121.82180684693724,174.9551901628334,51.66936791635645,107.28377862081014,1.9721515396561455
0.32,3.9389,0.0084,-0.0001,,,,,,,1.9721515396561455
0.33,4.2541,0.0091,-0.0001,316.0844715912042,103.38940792003223,125.8653661635175,174.08970645667148,54.08955915942757,110.93595851530452,1.921651952851479
0.34,4.3964,0.0088,0.0,,,,,,,1.921651952851479
0.35,4.5348,0.0096,0.0,302.6686835573255,105.39426349069463,128.3060599017152,173.20543030125418,55.7367476984651,113.4390970972042,1.8937724702610226
0.36,4.704,0.0106,0.0,,,,,,,1.8937724702610226
0.37,4.8923,0.0118,0.0,306.28461356964726,108.60661765460279,132.21675192734253,176.4309750963187,58.21487811317219,118.23929983509082,1.8796228330569313
0.38,5.0769,0.0127,0.0,,,,,,,1.8796228330569313
0.39,5.2576,0.0123,0.0,292.10952433912075,110.62225144796764,134.67056698013454,175.2697179735325,59.89482688799494,120.53705967489631,1.8457528910963459
0.4,5.4306,0.0133,0.0,,,,,,,1.8457528910963459
0.41,5.5998,0.0142,0.0,292.971369713821,113.31088749969483,137.94368913006326,177.57188265682146,62.022391794286456,124.43083988732974,1.83145036812394
0.42,5.742,0.0143,0.0,,,,,,,1.83145036812394
0.43,5.8843,0.0147,0.0,283.68038047206454,114.93531657847345,139.92125496509811,177.06453978933712,63.48124631024652,126.55353179797834,1.8090039633249386
0.44,6.2072,0.0159,0.0,,,,,,,1.8090039633249386
0.45,6.3956,0.017,0.0,283.0373252435258,117.98137887814138,143.6295047212156,179.25474967066728,65.8544411509984,130.5402387769459,1.784589166906803
0.46,6.5917,0.0179,0.0,,,,,,,1.784589166906803
0.47,6.7762,0.018,0.0,276.49227071305313,119.90124460704826,145.96673256510223,179.45988410120324,67.53216307243937,133.02560327116458,1.761099374721171
0.48,6.9685,0.018,0.0,,,,,,,1.761099374721171
0.49,7.1684,0.018,0.0,264.030186992828,121.21113352225994,147.56137994014256,177.95141934800532,68.87486370874737,134.49152368387217,1.7294726750473215
0.5,7.376,0.0179,0.0,,,,,,,1.7294726750473215
0.51,7.5798,0.0179,0.0,252.14190254368972,122.41907903723977,149.03192230620496,176.42750063695973,70.17458436362979,135.81738716380855,1.697371240681809
0.52,7.9604,0.0179,0.0,,,,,,,1.697371240681809
0.53,8.1603,0.0179,0.0,239.5186317528303,123.84149137490355,150.7635547172739,174.81596751849943,71.68676762135364,137.22052284694843,1.6562504793164186
0.54,8.3718,0.0197,0.0,,,,,,,1.6562504793164186
0.55,8.6217,0.0233,0.0,258.0897195567297,127.90299987713354,155.70799985042345,181.98428274684258,74.61988420312838,143.40066756970043,1.6670933246362463
0.56,8.8524,0.0239,0.0,,,,,,,1.6670933246362463
0.57,9.0792,0.0238,0.0,250.71763357473387,129.26683163461618,157.36831677257624,181.5581214085288,76.06165525021925,145.1578912403512,1.6412555781432805
0.58,9.3329,0.0247,0.0,,,,,,,1.6412555781432805
0.59,9.579,0.0269,0.0,255.48032090356793,131.90558704562628,160.5807146642407,184.69011106590176,78.17974083832769,148.83836137310445,1.6318606275875958
0.6,10.0936,0.0276,0.0,,,,,,,1.6318606275875958
0.61,10.3498,0.0282,0.0,248.22243380380036,133.8108040971665,162.90010933568098,184.69314646920077,80.1051420741454,151.1092618939894,1.5958269255343454
0.62,10.5944,0.0287,0.0,,,,,,,1.5958269255343454
0.63,10.8238,0.031,0.0,251.658936446329,136.07293968974136,165.6540135353373,187.2987574349244,81.9913810422791,154.285227359228,1.5872334475629422
0.64,11.034,0.0318,0.0,,,,,,,1.5872334475629422
0.65,11.2175,0.0331,0.0,253.09963670626578,137.8735465263262,167.84605664074496,189.139080698728,83.58695314305399,156.8822122394308,1.5788290587711356
0.66,11.3933,0.0356,0.0,,,,,,,1.5788290587711356
0.67,11.7641,0.0367,0.0,258.1742814809441,140.38909852822354,170.90846777348955,192.29197509940477,85.60405855010416,160.28224002278975,1.5711095594947493
