depth_input,A07-H
11.01,0.362082053
11.51,0.290474534
12.01,0.348731607
12.51,0.300643815
13.01,0.652979474
13.51,0.142760086
14.01,0.54706552
14.51,0.572497713
15.01,0.556447377
15.51,0.643971892
16.01,0.307715803
16.51,0.571276
17.01,0.419164459
17.51,0.398202541
18.01,0.159102551
18.51,-0.045212461
19.01,0.218912141
19.51,0.285271375
20.01,0.000733404
20.51,-0.106089471
21.01,0.437830016
21.51,0.426197136
22.01,0.488686677
22.51,0.468301877
23.01,0.486438052
23.51,0.669109208
24.01,0.322467634
24.51,0.566843588
25.01,0.448307587
25.51,0.369428872
26.01,0.351050642
26.51,0.418165794
27,0.28545154
0.51,1.13416525
1.01,1.228869433
1.51,0.992230682
2.01,0.235774731
2.51,0.297836172
3.01,0.148939831
3.51,0.152124271
4.01,0.090255152
4.51,0.07123064
5.01,0.0711566
5.51,0.340074136
6.01,-0.131629844
6.51,0.447259687
7.01,0.171580035
7.51,0.140494872
8.01,0.140749206
8.51,0.09416897
9.01,0.179594186
9.51,0.170956993
10.01,-0.06478213
10.51,0.030810549
11.01,0.097537801
11.51,0.236099128
12.01,-0.028667398
12.51,0.079417972
13.01,-0.13622041
13.51,-0.092547547
14.01,-0.197982047
14.51,-0.025989239
15.01,0.010840705
15.51,0.031608101
16.01,-0.123283454
16.51,-0.015660742
17.01,-0.02328604
17.51,0.02984707
18.01,0.413706688
18.51,-0.019823381
19.01,0.444643152
19.51,0.246825101
20.01,0.549084305
20.51,0.416623863
21.01,0.522251887
21.51,0.517274117
22.01,0.252237972
22.51,0.228867079
23.01,0.431004859
23.51,0.361759185
24,0.118396037
0.51,0.910455623
1.01,1.04863814
1.51,1.00612828
2.01,-0.632668534
2.51,-0.711334565
3.01,-0.706860545
3.51,-0.469344956
4.01,0.185736849
4.51,0.216309605
5.01,0.194968085
5.51,0.210831487
6.01,0.067332326
6.51,0.14446742
7.01,-0.027877738
7.51,0.082194286
8.01,0.606570301
8.51,0.117962518
9.01,-0.165880136
9.51,-0.067608268
10.01,0.237791922
10.51,0.211826752
11.01,0.266134003
11.51,0.178817278
12.01,0.68843765
12.51,0.220205409
13.01,0.252678254
13.51,0.133124366
14.01,0.540029722
14.51,0.281379723
15.01,0.277634232
15.51,0.439054617
16.01,0.595761668
16.51,0.490980481
17.01,0.304225071
17.51,0.237298563
18.01,0.073919336
18.51,0.221282585
19.01,0.277175646
19.51,0.362239088
20.01,0.201712434
20.51,0.368339359
21.01,0.210382131
21.51,0.307056566
22.01,-0.017515634
22.51,0.309478159
23.01,0.677500225
23.51,0.090671763
24,0.277477803
0.1,0.697250746
0.5,0.442201051
1,0.381597553
1.5,0.526720628
2,0.372683352
2.5,0.299223987
3,0.165023689
3.5,0.342493101
4,0.293960893
4.5,0.139234627
5,-0.08998652
5.5,-0.083161745
6,-0.029916762
6.5,-0.129804697
7,0.057367187
7.5,-0.017284431
8,-0.180263063
8.5,-0.076575184
9,-0.167300674
9.5,0.200541984
10,-0.025581791
10.5,0.033210321
