Depth,Qc,Fs,u
5.74,0.429,0.0120,0.0290
5.75,0.437,0.0100,0.0290
5.76,0.446,0.0100,0.0290
5.77,0.454,0.0110,0.0300
5.78,0.454,0.0120,0.0300
5.79,0.463,0.0120,0.0300
5.80,0.463,0.0120,0.0300
5.81,0.463,0.0130,0.0300
5.82,0.463,0.0130,0.0300
5.83,0.471,0.0130,0.0300
5.84,0.471,0.0160,0.0300
5.85,0.480,0.0170,0.0300
5.86,0.488,0.0170,0.0310
5.87,0.497,0.0170,0.0310
5.88,0.514,0.0180,0.0310
5.89,0.514,0.0200,0.0310
5.90,0.522,0.0210,0.0310
5.91,0.531,0.0220,0.0310
5.92,0.522,0.0240,0.0310
5.93,0.522,0.0250,0.0320
5.94,0.522,0.0250,0.0320
5.95,0.522,0.0260,0.0320
5.96,0.522,0.0270,0.0320
5.97,0.522,0.0260,0.0320
5.98,0.522,0.0260,0.0330
5.99,0.522,0.0260,0.0330
6.00,0.514,0.0250,0.0330
6.01,0.514,0.0260,0.0330
6.02,0.514,0.0250,0.0330
6.03,0.514,0.0230,0.0330
6.04,0.505,0.0220,0.0330
6.05,0.505,0.0230,0.0330
6.06,0.497,0.0210,0.0330
6.07,0.497,0.0210,0.0330
6.08,0.497,0.0190,0.0330
6.09,0.497,0.0180,0.0330
6.10,0.497,0.0170,0.0340
6.11,0.488,0.0170,0.0340
6.12,0.488,0.0170,0.0340
6.13,0.488,0.0160,0.0340
6.14,0.488,0.0150,0.0340
6.15,0.488,0.0140,0.0340
6.16,0.480,0.0130,0.0350
6.17,0.471,0.0130,0.0350
6.18,0.463,0.0120,0.0350
6.19,0.454,0.0130,0.0350
6.20,0.446,0.0120,0.0350
6.21,0.454,0.0110,0.0350
6.22,0.446,0.0120,0.0350
6.23,0.437,0.0120,0.0350
6.24,0.437,0.0100,0.0360
6.25,0.429,0.0110,0.0360
6.26,0.429,0.0100,0.0360
6.27,0.437,0.0110,0.0360
6.28,0.429,0.0110,0.0360
6.29,0.429,0.0100,0.0360
6.30,0.437,0.0100,0.0370
6.31,0.437,0.0100,0.0370
