File Name, Hegazy Depth, Hegazy Vs, Andrus Depth, Andrus Vs, Rob Depth, Rob Vs, Mc15 Depth, Mc15 Vs, Mc18 Depth, Mc18 Vs
CPT_6457, 4.70, 274.57, 4.70, 212.11, 4.70, 249.26, 4.70, 177.56, 4.70, 303.43
CPT_6457, 4.72, 260.80, 4.72, 209.22, 4.72, 246.09, 4.72, 178.03, 4.72, 301.23
CPT_6457, 4.74, 248.54, 4.74, 206.15, 4.74, 242.74, 4.74, 177.98, 4.74, 298.82
CPT_6457, 4.76, 232.48, 4.76, 201.32, 4.76, 236.92, 4.76, 176.43, 4.76, 294.35
CPT_6457, 4.78, 214.93, 4.78, 195.77, 4.78, 231.00, 4.78, 175.30, 4.78, 289.33
CPT_6457, 4.80, 202.36, 4.80, 191.28, 4.80, 225.68, 4.80, 173.34, 4.80, 284.63
CPT_6457, 4.82, 193.26, 4.82, 187.98, 4.82, 223.12, 4.82, 173.43, 4.82, 281.97
CPT_6457, 4.84, 191.25, 4.84, 187.13, 4.84, 220.79, 4.84, 171.47, 4.84, 280.21
CPT_6457, 4.86, 210.59, 4.86, 194.27, 4.86, 228.70, 4.86, 174.44, 4.86, 288.32
CPT_6457, 4.88, 202.55, 4.88, 191.51, 4.88, 225.92, 4.88, 173.91, 4.88, 285.80
CPT_6457, 4.90, 200.08, 4.90, 190.71, 4.90, 225.59, 4.90, 174.42, 4.90, 285.55
CPT_6457, 4.92, 186.48, 4.92, 185.47, 4.92, 220.32, 4.92, 172.81, 4.92, 280.11
CPT_6457, 4.94, 209.14, 4.94, 194.21, 4.94, 230.05, 4.94, 176.80, 4.94, 290.18
CPT_6457, 4.96, 209.96, 4.96, 194.48, 4.96, 229.97, 4.96, 176.54, 4.96, 290.44
CPT_6457, 4.98, 215.87, 4.98, 196.59, 4.98, 232.32, 4.98, 177.42, 4.98, 292.86
CPT_6457, 5.00, 197.84, 5.00, 189.92, 5.00, 223.62, 5.00, 173.32, 5.00, 285.05
CPT_6457, 5.02, 184.43, 5.02, 184.83, 5.02, 219.20, 5.02, 172.58, 5.02, 280.08
CPT_6457, 5.04, 171.47, 5.04, 179.35, 5.04, 213.68, 5.04, 170.27, 5.04, 273.40
CPT_6457, 5.06, 176.58, 5.06, 181.59, 5.06, 216.48, 5.06, 172.06, 5.06, 276.95
CPT_6457, 5.08, 227.59, 5.08, 200.92, 5.08, 237.80, 5.08, 180.42, 5.08, 298.84
CPT_6457, 5.10, 194.96, 5.10, 189.14, 5.10, 223.66, 5.10, 174.73, 5.10, 285.91
CPT_6457, 5.12, 203.31, 5.12, 192.22, 5.12, 226.49, 5.12, 175.42, 5.12, 289.22
CPT_6457, 5.14, 201.57, 5.14, 191.49, 5.14, 225.05, 5.14, 174.43, 5.14, 288.24
CPT_6457, 5.16, 211.85, 5.16, 194.96, 5.16, 228.41, 5.16, 175.14, 5.16, 291.99
CPT_6457, 5.18, 221.06, 5.18, 198.02, 5.18, 231.90, 5.18, 176.35, 5.18, 295.53
CPT_6457, 5.20, 224.27, 5.20, 199.05, 5.20, 233.04, 5.20, 176.76, 5.20, 296.85
CPT_6457, 5.22, 246.62, 5.22, 206.12, 5.22, 241.98, 5.22, 180.16, 5.22, 304.73
CPT_6457, 5.24, 211.60, 5.24, 195.07, 5.24, 228.62, 5.24, 175.83, 5.24, 293.12
CPT_6457, 5.26, 199.70, 5.26, 190.91, 5.26, 223.82, 5.26, 174.17, 5.26, 288.60
CPT_6457, 5.28, 182.97, 5.28, 184.63, 5.28, 217.00, 5.28, 171.64, 5.28, 281.25
CPT_6457, 5.30, 172.57, 5.30, 180.39, 5.30, 212.51, 5.30, 169.69, 5.30, 275.82
CPT_6457, 5.32, 176.05, 5.32, 181.86, 5.32, 213.61, 5.32, 170.02, 5.32, 277.75
CPT_6457, 5.34, 170.08, 5.34, 179.40, 5.34, 211.04, 5.34, 168.90, 5.34, 274.51
CPT_6457, 5.36, 163.28, 5.36, 176.46, 5.36, 207.45, 5.36, 166.72, 5.36, 269.88
CPT_6457, 5.38, 161.85, 5.38, 175.86, 5.38, 206.83, 5.38, 166.46, 5.38, 269.09
CPT_6457, 5.40, 167.44, 5.40, 178.36, 5.40, 209.66, 5.40, 168.32, 5.40, 273.38
CPT_6457, 5.42, 174.93, 5.42, 181.56, 5.42, 212.97, 5.42, 170.09, 5.42, 278.17
CPT_6457, 5.44, 173.05, 5.44, 180.72, 5.44, 211.07, 5.44, 168.56, 5.44, 276.58
CPT_6457, 5.46, 172.11, 5.46, 180.30, 5.46, 210.10, 5.46, 167.81, 5.46, 275.88
CPT_6457, 5.48, 183.02, 5.48, 184.64, 5.48, 214.83, 5.48, 170.11, 5.48, 282.11
CPT_6457, 5.50, 291.35, 5.50, 215.54, 5.50, 252.49, 5.50, 181.30, 5.50, 317.87
CPT_6457, 5.52, 215.50, 5.52, 194.95, 5.52, 225.19, 5.52, 172.37, 5.52, 294.78
CPT_6457, 5.54, 211.35, 5.54, 193.94, 5.54, 224.22, 5.54, 172.58, 5.54, 293.88
CPT_6457, 5.56, 210.74, 5.56, 194.32, 5.56, 225.42, 5.56, 174.16, 5.56, 294.86
CPT_6457, 5.58, 199.07, 5.58, 190.59, 5.58, 221.31, 5.58, 173.11, 5.58, 290.69
CPT_6457, 5.60, 222.40, 5.60, 198.95, 5.60, 232.24, 5.60, 178.45, 5.60, 301.27
CPT_6457, 5.62, 221.71, 5.62, 199.46, 5.62, 234.27, 5.62, 180.93, 5.62, 302.77
CPT_6457, 5.64, 209.98, 5.64, 195.89, 5.64, 231.72, 5.64, 181.66, 5.64, 299.92
CPT_6457, 5.66, 212.09, 5.66, 196.99, 5.66, 234.99, 5.66, 184.72, 5.66, 302.57
CPT_6457, 5.68, 213.46, 5.68, 197.60, 5.68, 236.52, 5.68, 186.08, 5.68, 303.97
CPT_6457, 5.70, 219.18, 5.70, 199.72, 5.70, 238.66, 5.70, 186.82, 5.70, 306.28
CPT_6457, 5.72, 207.51, 5.72, 195.42, 5.72, 233.60, 5.72, 184.82, 5.72, 301.75
CPT_6457, 5.74, 186.91, 5.74, 187.27, 5.74, 223.79, 5.74, 180.16, 5.74, 291.92
CPT_6457, 5.76, 156.78, 5.76, 173.75, 5.76, 209.17, 5.76, 171.70, 5.76, 271.80
CPT_6457, 5.78, 153.54, 5.78, 172.38, 5.78, 206.68, 5.78, 169.55, 5.78, 268.39
CPT_6457, 5.80, 163.60, 5.80, 177.41, 5.80, 209.82, 5.80, 171.19, 5.80, 276.39
CPT_6457, 5.82, 173.46, 5.82, 181.70, 5.82, 212.94, 5.82, 172.22, 5.82, 282.26
CPT_6457, 5.84, 168.30, 5.84, 179.49, 5.84, 209.69, 5.84, 170.07, 5.84, 278.69
CPT_6457, 5.86, 170.81, 5.86, 180.44, 5.86, 209.68, 5.86, 169.50, 5.86, 279.81
CPT_6457, 5.88, 172.94, 5.88, 181.23, 5.88, 210.02, 5.88, 169.40, 5.88, 280.94
CPT_6457, 5.90, 178.92, 5.90, 183.68, 5.90, 212.95, 5.90, 171.11, 5.90, 284.79
CPT_6457, 5.92, 188.05, 5.92, 187.22, 5.92, 217.10, 5.92, 173.24, 5.92, 289.92
CPT_6457, 5.94, 181.96, 5.94, 185.42, 5.94, 217.29, 5.94, 175.25, 5.94, 288.81
CPT_6457, 5.96, 188.94, 5.96, 188.25, 5.96, 220.74, 5.96, 177.18, 5.96, 292.91
CPT_6457, 5.98, 195.31, 5.98, 190.64, 5.98, 223.08, 5.98, 178.03, 5.98, 295.96
CPT_6457, 6.00, 185.75, 6.00, 186.91, 6.00, 218.25, 6.00, 175.52, 6.00, 291.05
CPT_6457, 6.02, 184.59, 6.02, 186.16, 6.02, 216.00, 6.02, 173.46, 6.02, 289.58
CPT_6457, 6.04, 190.03, 6.04, 188.03, 6.04, 217.62, 6.04, 173.82, 6.04, 292.11
CPT_6457, 6.06, 185.92, 6.06, 186.41, 6.06, 215.34, 6.06, 172.57, 6.06, 289.96
CPT_6457, 6.08, 186.78, 6.08, 186.52, 6.08, 214.92, 6.08, 171.96, 6.08, 290.14
CPT_6457, 6.10, 185.39, 6.10, 185.98, 6.10, 214.13, 6.10, 171.58, 6.10, 289.55
CPT_6457, 6.12, 201.25, 6.12, 191.57, 6.12, 220.74, 6.12, 174.50, 6.12, 297.29
CPT_6457, 6.14, 207.08, 6.14, 193.65, 6.14, 223.41, 6.14, 175.89, 6.14, 300.24
CPT_6457, 6.16, 223.67, 6.16, 199.01, 6.16, 230.08, 6.16, 178.64, 6.16, 307.14
CPT_6457, 6.18, 238.43, 6.18, 203.45, 6.18, 235.72, 6.18, 180.82, 6.18, 312.71
CPT_6457, 6.20, 243.71, 6.20, 205.16, 6.20, 238.01, 6.20, 181.97, 6.20, 314.96
CPT_6457, 6.22, 246.59, 6.22, 205.99, 6.22, 239.05, 6.22, 182.42, 6.22, 316.16
CPT_6457, 6.24, 272.17, 6.24, 212.81, 6.24, 248.00, 6.24, 185.46, 6.24, 324.25
CPT_6457, 6.26, 264.92, 6.26, 211.03, 6.26, 245.62, 6.26, 184.87, 6.26, 322.46
CPT_6457, 6.28, 264.87, 6.28, 211.50, 6.28, 246.45, 6.28, 185.82, 6.28, 323.20
CPT_6457, 6.30, 268.40, 6.30, 212.19, 6.30, 247.20, 6.30, 185.84, 6.30, 324.24
CPT_6457, 6.32, 259.56, 6.32, 209.55, 6.32, 243.49, 6.32, 184.30, 6.32, 321.49
CPT_6457, 6.34, 255.88, 6.34, 208.37, 6.34, 241.79, 6.34, 183.57, 6.34, 320.39
CPT_6457, 6.36, 256.41, 6.36, 208.33, 6.36, 241.61, 6.36, 183.37, 6.36, 320.61
CPT_6457, 6.38, 257.04, 6.38, 208.28, 6.38, 241.40, 6.38, 183.12, 6.38, 320.83
