File Name, Depth, Hegazy Vs, Andrus Vs,  Rob Vs, Mc15 Vs,  Mc18 Vs
CPT_6458, 18.50, 240.38,  211.60,  235.30, 239.31,  414.67
CPT_6458, 18.52, 246.91,  214.98,  240.36, 243.82,  419.32
CPT_6458, 18.54, 249.85,  217.99,  245.82, 249.81,  423.31
CPT_6458, 18.56, 253.86,  220.93,  251.59, 255.86,  427.63
CPT_6458, 18.58, 253.59,  221.95,  255.01, 260.22,  429.63
CPT_6458, 18.60, 243.53,  219.16,  253.84, 261.75,  426.79
CPT_6458, 18.62, 229.94,  214.47,  250.06, 261.11,  421.35
CPT_6458, 18.64, 217.11,  209.57,  245.57, 259.37,  415.26
CPT_6458, 18.66, 211.86,  207.47,  243.80, 258.74,  412.71
CPT_6458, 18.68, 205.68,  204.93,  241.22, 257.36,  409.28
CPT_6458, 18.70, 206.97,  205.52,  241.70, 257.57,  410.10
CPT_6458, 18.72, 214.59,  208.70,  244.60, 258.93,  414.36
CPT_6458, 18.74, 219.90,  210.84,  246.29, 259.44,  417.06
CPT_6458, 18.76, 226.40,  213.35,  248.46, 260.20,  420.27
CPT_6458, 18.78, 230.55,  214.74,  248.24, 258.67,  421.42
CPT_6458, 18.80, 232.00,  215.05,  247.25, 256.99,  421.39
CPT_6458, 18.82, 227.36,  213.09,  243.68, 253.88,  418.25
CPT_6458, 18.84, 223.69,  211.46,  240.62, 251.13,  415.63
CPT_6458, 18.86, 223.59,  211.10,  239.21, 249.40,  414.94
CPT_6458, 18.88, 223.43,  210.67,  237.81, 247.71,  414.26
CPT_6458, 18.90, 224.26,  210.66,  237.14, 246.66,  414.27
CPT_6458, 18.92, 224.40,  210.65,  236.97, 246.43,  414.35
CPT_6458, 18.94, 223.23,  210.69,  237.77, 247.78,  414.58
CPT_6458, 18.96, 231.45,  213.78,  241.86, 250.55,  419.32
CPT_6458, 18.98, 237.54,  215.89,  244.43, 252.04,  422.51
CPT_6458, 19.00, 231.97,  214.23,  242.78, 251.59,  420.22
CPT_6458, 19.02, 222.77,  211.16,  239.41, 250.05,  415.84
CPT_6458, 19.04, 168.70,  189.43,  212.98, 231.87,  379.16
CPT_6458, 19.06, 175.82,  192.54,  216.45, 234.46,  385.13
CPT_6458, 19.08, 172.75,  191.30,  215.35, 233.89,  382.98
CPT_6458, 19.10, 168.29,  189.40,  213.51, 232.72,  379.51
CPT_6458, 19.12, 164.09,  187.50,  211.05, 230.64,  375.73
CPT_6458, 19.14, 159.94,  185.56,  208.24, 228.07,  371.64
CPT_6458, 19.16, 160.12,  185.60,  207.62, 227.29,  371.66
CPT_6458, 19.18, 166.42,  188.26,  209.62, 228.40,  377.09
CPT_6458, 19.20, 172.65,  190.79,  211.88, 229.71,  382.07
CPT_6458, 19.22, 178.81,  193.19,  214.21, 231.06,  386.68
CPT_6458, 19.24, 183.35,  194.92,  215.95, 232.06,  389.94
CPT_6458, 19.26, 189.22,  197.16,  218.41, 233.58,  394.04
CPT_6458, 19.28, 196.39,  199.83,  221.46, 235.47,  398.80
CPT_6458, 19.30, 203.15,  202.42,  224.67, 237.64,  403.25
CPT_6458, 19.32, 205.12,  203.53,  226.54, 239.45,  405.10
CPT_6458, 19.34, 205.58,  204.13,  227.93, 241.08,  406.12
CPT_6458, 19.36, 205.87,  204.70,  229.48, 242.94,  407.15
CPT_6458, 19.38, 206.63,  205.21,  230.54, 244.07,  408.11
CPT_6458, 19.40, 206.13,  205.22,  230.96, 244.77,  408.27
CPT_6458, 19.42, 209.68,  206.68,  232.94, 246.26,  410.72
CPT_6458, 19.44, 213.09,  208.11,  234.97, 247.85,  413.10
CPT_6458, 19.46, 213.89,  208.58,  235.90, 248.80,  413.98
CPT_6458, 19.48, 215.87,  209.50,  237.44, 250.17,  415.57
CPT_6458, 19.50, 217.22,  210.35,  239.52, 252.38,  417.20
CPT_6458, 19.52, 220.39,  211.68,  241.52, 253.97,  419.40
CPT_6458, 19.54, 227.67,  214.34,  244.53, 255.66,  423.39
CPT_6458, 19.56, 235.06,  216.91,  247.25, 256.96,  427.13
CPT_6458, 19.58, 240.01,  218.56,  248.91, 257.65,  429.54
CPT_6458, 19.60, 245.09,  220.15,  250.41, 258.12,  431.85
CPT_6458, 19.62, 249.64,  221.69,  252.25, 259.14,  434.14
CPT_6458, 19.64, 254.17,  223.20,  254.03, 260.11,  436.35
CPT_6458, 19.66, 258.88,  224.66,  255.61, 260.79,  438.48
CPT_6458, 19.68, 263.62,  226.07,  257.09, 261.35,  440.54
CPT_6458, 19.70, 267.37,  227.07,  257.99, 261.49,  442.06
CPT_6458, 19.72, 269.93,  227.70,  258.48, 261.46,  443.07
CPT_6458, 19.74, 271.98,  228.39,  259.35, 262.00,  444.13
CPT_6458, 19.76, 272.62,  228.78,  260.01, 262.65,  444.74
CPT_6458, 19.78, 270.83,  228.51,  260.01, 263.11,  444.44
CPT_6458, 19.80, 268.88,  228.25,  260.14, 263.78,  444.16
CPT_6458, 19.82, 265.93,  227.61,  259.77, 264.12,  443.38
CPT_6458, 19.84, 263.34,  226.93,  259.12, 264.05,  442.56
CPT_6458, 19.86, 190.75,  200.69,  230.73, 249.24,  404.52
CPT_6458, 19.88, 224.12,  212.73,  239.75, 251.30,  422.28
CPT_6458, 19.90, 229.32,  215.36,  244.74, 255.94,  426.47
CPT_6458, 19.92, 231.93,  216.60,  247.04, 258.03,  428.51
CPT_6458, 19.94, 232.88,  217.01,  247.66, 258.55,  429.23
CPT_6458, 19.96, 232.43,  216.63,  246.36, 257.15,  428.64
CPT_6458, 19.98, 231.93,  216.21,  245.09, 255.80,  428.04
CPT_6458, 20.00, 234.06,  216.56,  244.53, 254.61,  428.63
