depth_input,R09
9.51,0.259329886
10.01,0.557709562
10.51,0.375806053
11.01,0.517723878
11.51,0.391690913
12.01,0.553538802
12.51,0.33500074
13.01,0.54100247
13.51,0.460609333
14.01,0.404634513
14.51,0.651788895
15.01,0.357555327
15.51,0.435885446
16.01,0.600800412
16.51,0.520912802
17.01,0.477983638
17.51,0.5843232
18.01,0.449198343
18.51,0.350976715
19.01,0.449349411
19.51,0.569807258
20.01,0.475130281
20.51,0.461580919
21.01,0.474356881
21.51,0.454914746
22.01,0.574716409
22.51,0.197218724
23.01,0.60452048
23.51,0.650501813
24.01,0.466606803
24.51,0.793896881
25.01,0.428102352
25.51,0.204011258
26.01,0.564794167
26.51,0.523549686
27,0.645586168
0.51,0.591220693
1.01,0.447967506
1.51,0.744956731
2.01,0.851369485
2.51,0.84523283
3.01,-0.650667961
3.51,-0.683614947
4.01,-0.591486248
4.51,-0.740380301
5.01,-0.024624479
5.51,0.011556048
6.01,-0.156332225
6.51,-0.286413833
7.01,0.316570276
7.51,0.322238237
8.01,0.553893777
8.51,0.355347359
9.01,0.422157379
9.51,0.237479787
10.01,-0.208632109
10.51,0.423326725
11.01,0.607212744
11.51,0.491050687
12.01,0.632367223
12.51,0.560086702
13.01,0.911736555
13.51,0.216609988
14.01,0.60313935
14.51,0.63476311
15.01,0.613593408
15.51,0.736775103
16.01,0.300031744
16.51,0.700089876
17.01,0.475330447
17.51,0.477771385
18.01,0.224246854
18.51,-0.027263606
19.01,0.385679143
19.51,0.49302715
20.01,0.19202404
20.51,0.04930028
21.01,0.617828408
21.51,0.610690476
22.01,0.528454463
22.51,0.496134828
23.01,0.534456503
23.51,0.923588581
24.01,0.460533804
24.51,0.774396378
25.01,0.554450929
25.51,0.48413938
26.01,0.460632748
26.51,0.625450266
27,0.353594765
0.51,-0.838569215
1.01,-0.426464442
1.51,-0.691761431
2.01,-0.483496171
2.51,-0.165845381
3.01,0.021340267
3.51,0.189715776
4.01,0.030721521
4.51,-0.533956237
5.01,0.028418785
5.51,-0.254067836
6.01,-0.013015341
6.51,-0.450740939
7.01,-0.167189435
7.51,0.544672945
8.01,0.600156457
8.51,0.235768202
9.01,0.360491748
9.51,0.481231445
10.01,0.602769491
10.51,0.582004877
11.01,0.343050167
11.51,0.364354695
12.01,0.610442792
12.51,0.307781065
13.01,0.525952091
13.51,0.375988062
14.01,0.418273661
14.51,0.494483709
15.01,0.51746409
15.51,0.474522712
16.01,0.544967546
16.51,0.508679291
17.01,0.56792088
17.51,0.612444633
18.01,0.657597635
18.51,0.511178157
19.01,0.484800326
19.51,0.671783376
20.01,0.548166973
20.51,0.439291919
21.01,0.597443928
21.51,0.358068213
22.01,0.316218979
22.51,0.429124944
23.01,0.552845565
23.51,0.682473198
24.01,0.984058716
24.51,0.627186825
25.01,0.55732728
25.51,0.778707036
26.01,0.737228914
26.51,0.785852459
27.01,0.908821256
27.51,0.708982842
28.01,0.684298508
28.51,0.830552724
29,0.798939166
0.51,0.553897623
1.01,0.66959609
1.51,0.632813622
2.01,-0.070961678
2.51,0.056720627
3.01,-0.033182361
3.51,-0.019630153
4.01,-0.058892867
4.51,-0.054116082
5.01,-0.032245462
5.51,0.226494194
6.01,-0.205744451
6.51,0.393933245
7.01,0.141494509
7.51,0.121254894
8.01,0.135272429
8.51,0.09590966
9.01,0.205020912
9.51,0.210710428
10.01,-0.072815746
10.51,0.052271418
11.01,0.114257832
11.51,0.303171659
12.01,-0.051800777
12.51,0.115653224
13.01,-0.121571111
13.51,-0.053988784
14.01,-0.146771308
14.51,0.09220546
15.01,0.113818793
15.51,0.151632298
16.01,-0.05223291
16.51,0.09095803
17.01,0.080419459
17.51,0.154383546
18.01,0.803079901
18.51,0.128269608
19.01,0.83636762
19.51,0.514284433
20.01,0.776703635
20.51,0.597463243
21.01,0.600295605
21.51,0.532065995
22.01,0.405734293
22.51,0.246223635
23.01,0.519253561
23.51,0.311450319
24,0.094189063
0.51,0.449836589
1.01,0.675532474
1.51,0.712497249
2.01,-0.920009786
2.51,-0.975783479
3.01,-0.952081393
3.51,-0.614958816
4.01,0.044471053
4.51,0.104273989
5.01,0.087658458
5.51,0.122519108
6.01,-0.007772759
6.51,0.103916106
7.01,0.020906132
7.51,0.227326759
8.01,0.843660399
8.51,0.113767038
9.01,-0.155418724
9.51,-0.061092263
10.01,0.540225403
10.51,0.514301489
11.01,0.591268114
11.51,0.432772017
12.01,1.040000184
12.51,0.306274495
13.01,0.352077394
13.51,0.209414379
14.01,0.653063133
14.51,0.308328711
15.01,0.308630156
15.51,0.532605191
16.01,0.723646674
16.51,0.568181106
17.01,0.387915694
17.51,0.333931969
18.01,0.129621018
18.51,0.353839343
19.01,0.407525548
19.51,0.554401678
20.01,0.293361048
20.51,0.542539656
21.01,0.222932009
21.51,0.44691933
22.01,0.075775015
22.51,0.596846204
23.01,1.051440598
23.51,0.167205675
24,0.31625355
0.1,0.550097351
0.5,-0.29959705
1,-0.092495353
1.5,0.147940254
2,0.062693098
2.5,0.004751224
3,-0.090221225
3.5,0.098423802
4,0.092043749
4.5,-0.048287636
5,-0.284406186
5.5,-0.243397631
6,-0.163872953
6.5,-0.251278408
7,-0.010651773
7.5,-0.087288118
8,-0.294797391
8.5,-0.156005559
9,-0.212935136
9.5,0.178681771
10,-0.036865684
10.5,0.050923966
11,-0.204385517
11.5,-0.213475351
12,-0.106843588
12.5,-0.080251379
13,0.026944297
13.5,0.208650783
14,0.083297726
14.5,0.22225957
15,0.124289579
15.5,0.142760404
16,0.092117771
16.5,0.086668993
17,0.134879105
17.5,0.172778662
18,0.110689872
18.5,0.088883409
19,0.342222593
0.51,-0.3044195
1.01,0.010141321
1.51,0.014967493
2.01,0.041178746
2.51,0.136725786
3.01,0.001553263
3.51,0.055346604
4.01,-0.068209004
4.51,-0.116508668
5.01,-0.011428211
5.51,-0.079153527
6.01,-0.367627755
6.51,-0.156885097
7.01,-0.010028335
7.51,-0.251873349
8.01,0.123640626
8.51,0.178292858
9.01,0.056533208
9.51,0.148917825
10.01,0.054632405
10.51,-0.17955946
11.01,-0.153838629
11.51,-0.190749311
12.01,-0.099442928
12.51,-0.001571989
13.01,0.150065619
13.51,0.171442733
14.01,0.327394322
15.01,0.598677672
15.51,0.561603736
16.01,-0.011170895
16.51,0.121369042
17.01,0.483441208
17.51,0.654003965
18.01,0.806897159
18.51,0.690963509
19,0.279001787
0.51,0.240610375
1.01,0.275107677
1.51,0.275201636
2.01,0.07293365
2.51,0.277948994
4.01,1.398319316
4.51,1.514634566
5.01,1.815938888
6.01,0.061444158
6.51,0.157287113
7.01,0.086887528
7.51,0.231973743
8.01,0.050589645
8.51,0.039173904
9.01,-0.123352261
9.51,0.116798368
10.01,0.435934315
10.51,0.063788417
11.01,-0.02770228
11.51,0.13881654
12.01,0.179968983
12.51,0.195716774
13.01,0.29276478
13.51,0.299999965
14.01,0.230391008
14.51,0.138887801
15.01,0.150311589
15.51,0.227049832
16.01,0.386835932
16.51,0.354502568
17.01,0.187406329
17.51,0.01536246
18.01,-0.025962796
18.51,0.352199216
19.01,0.489552608
19.51,0.36928824
20.01,0.369803566
20.51,0.5062659
21.01,0.402716194
21.51,0.335988937
22.01,0.425050296
22.51,0.480366599
23,0.389467758
0.51,-0.839294969
1.01,-0.665443797
1.51,-0.68179746
2.01,-0.326996602
2.51,-0.501516701
3.01,-0.264149491
3.51,0.068397901
4.01,0.007659393
4.51,0.260214137
5.01,0.263683425
5.51,0.166654659
6.01,0.081259103
6.51,0.126829025
7.01,0.045778394
7.51,0.302384129
8.01,0.209904943
8.51,0.33628945
9.01,0.29041586
9.51,0.404331054
10.01,0.062760124
10.51,0.463998814
11.01,-0.23192964
11.51,0.097144994
12.01,-0.073591325
12.51,0.014620357
13.01,0.157323488
13.51,0.459291798
14.01,0.271914647
14.51,0.429032238
15.01,0.453444735
15.51,0.194474428
16.01,0.455048344
16.51,0.488924183
17,0.500365855
0.51,0.27274284
1.01,0.950660051
1.51,0.655458604
2.01,0.114713969
2.51,0.333358047
3.01,-0.985054482
3.51,-1.005416848
4.01,0.055674672
4.51,0.215710447
5.01,0.214296033
5.51,0.159138209
6.01,-0.079818624
6.51,-0.220625141
7.01,0.37302855
7.51,0.409783984
8.01,0.78970572
8.51,0.115408844
9.01,0.09404226
9.51,0.212937208
10.01,-0.129278069
10.51,0.286834
11.01,0.72840825
11.51,0.437855999
12.01,0.210078476
12.51,0.117370589
13.01,-0.056622474
13.51,0.045724887
14.01,0.075324646
14.51,0.303399883
15.01,0.451733808
15.51,0.422428229
16.01,0.436422549
16.51,0.468738037
17.01,0.267678401
17.51,0.363953368
18.01,0.009461111
18.51,0.373409317
19.01,0.1467069
19.51,0.209683284
20.01,0.150330502
20.51,0.128963156
21.01,0.257390823
21.51,0.091490012
22.01,0.148345056
