Station,easting,northing,vs30,uncertainty,q
CPT_185741_measurement_num_0,1566225.82,5174523.36,122.83,0.130691753,5
CPT_100589_measurement_num_0,1566240.49,5175696.71,144.81,0.131362944,5
CPT_45489_measurement_num_0,1566276,5176154,132.65,0.121794228,5
CPT_45524_measurement_num_0,1566298,5175572,138.43,0.128345722,5
CPT_215541_measurement_num_0,1566301.47,5180527.94,148.86,0.12501994,5
CPT_45491_measurement_num_0,1566362,5176157,139.84,0.126458452,5
CPT_45486_measurement_num_0,1566389,5176279,130.47,0.124223787,5
CPT_93255_measurement_num_0,1566390.68,5173198.09,141.01,0.127403956,5
CPT_45496_measurement_num_0,1566391,5176128,133.98,0.122578109,5
CPT_56822_measurement_num_0,1566396,5180986,170.18,0.131761589,5
CPT_93267_measurement_num_0,1566397.41,5173224.33,162.14,0.10954588,5
CPT_93265_measurement_num_0,1566399.64,5173182.58,152.26,0.122390629,5
CPT_45492_measurement_num_0,1566408,5176204,133.7,0.126911631,5
CPT_56821_measurement_num_0,1566432,5180961,168.17,0.133789264,5
CPT_45495_measurement_num_0,1566436,5176153,133.18,0.122922163,5
CPT_93248_measurement_num_0,1566437.8,5173170.45,156.22,0.123742051,5
CPT_93260_measurement_num_0,1566443.3,5173248.22,150.48,0.12234644,5
CPT_45493_measurement_num_0,1566447,5176241,137.51,0.124412116,5
CPT_128329_measurement_num_0,1566447.76,5174936.38,121.75,0.130046019,5
CPT_45522_measurement_num_0,1566457,5175633,125.21,0.131417203,5
CPT_93274_measurement_num_0,1566467,5173189.69,157.44,0.122063051,5
CPT_56820_measurement_num_0,1566468,5181009,168.17,0.130580685,5
CPT_45512_measurement_num_0,1566530,5176135,129.67,0.125828333,5
CPT_35309_measurement_num_0,1566601.59,5177408.38,115.66,0.130180815,5
CPT_25312_measurement_num_0,1566614.06,5177418.99,115.66,0.13182395,5
CPT_1260_measurement_num_0,1566639.7,5177329.97,112.38,0.128205913,5
CPT_90642_measurement_num_0,1566659,5177373,121.8,0.130262475,5
CPT_71885_measurement_num_0,1566660.86,5177337.09,121.81,0.133003388,5
CPT_45527_measurement_num_0,1566662,5175457,126.82,0.131875267,5
CPT_71884_measurement_num_0,1566678.79,5177353.39,127.09,0.126981209,5
CPT_129858_measurement_num_0,1566701.91,5180127.46,131.07,0.128644193,5
CPT_129857_measurement_num_0,1566703.17,5180150.79,138.12,0.126927558,5
CPT_62556_measurement_num_0,1566704.66,5177378.96,119.65,0.130261504,5
CPT_35639_measurement_num_0,1566715.41,5177276.34,124.66,0.129699451,5
CPT_62557_measurement_num_0,1566725.87,5177386.84,120.39,0.126169618,5
CPT_12302_measurement_num_0,1566726.33,5177344.91,121.06,0.130851226,5
CPT_123433_measurement_num_0,1566730.83,5178249.9,138.19,0.121693615,5
CPT_19582_measurement_num_0,1566731.09,5176061.2,131.88,0.12518478,5
CPT_8900_measurement_num_0,1566732,5177424,120.2,0.125971694,5
CPT_47031_measurement_num_0,1566741.01,5176068.77,124.46,0.122480606,5
CPT_19583_measurement_num_0,1566755.68,5176080.19,135.9,0.127381405,5
CPT_30343_measurement_num_0,1566761.56,5177415.39,123.43,0.12784975,5
CPT_174834_measurement_num_0,1566772,5176427,132.38,0.132266092,5
CPT_174837_measurement_num_0,1566775,5176430,131.69,0.124065042,5
CPT_19584_measurement_num_0,1566785.87,5176102.78,124.65,0.120784614,5
CPT_174835_measurement_num_0,1566787,5176407,132.91,0.126902073,5
CPT_23184_measurement_num_0,1566791.93,5177284.94,110.4,0.124723295,5
CPT_19585_measurement_num_0,1566804.46,5176118.68,126.99,0.130640817,5
CPT_57757_measurement_num_0,1566807.83,5177306.3,121.03,0.131231022,5
CPT_45519_measurement_num_0,1566824,5175672,122.78,0.128393806,5
CPT_1261_measurement_num_0,1566840.07,5177511.99,110.52,0.123884028,5
CPT_147159_measurement_num_0,1566888.8,5178247.82,143.77,0.136386098,5
